Song,Artist,Album,Lyrics
"""Jonathan Manalo Overture""",Andrea Brillantes,None,"

Tooo dooo tooo doooo
Tudurutduttutooo
Tooo dooo
Sa isang pangarap

Napakalayo ng tingin bakit
Napakalayo ng pangarap
Ngunit hindi mapiipigilan kahit
Sino man sa 'kin iharap
Pangarap, 'di isang iglap
Kahit maagap, mahirap
Tinatanggap hamon na magsusumikap
Ilang beses pa mang masasaktan
Magpapatuloy lang

Sa isang pangarap
Na mailap parang kay hirap abutin
May isang pangarap na tinatahak
Mahirap man tuloy tuloy
Tuloy ko lang

Umiiyak ka na naman mahal
Lagi na lang ika'y nasasaktan
Hindi kita iiwan
Hindi pababayaan
Hinding hindi ka sasaktan
O akin ka na lang

Pangarap ko ay ang pangarap mo
Iaalay sa yong syang unang nagbigay
Ng tiwala't pagmamahal na walang kapalit
Nang dahil sa yo'y mabubuo
Ang pangarap ko

Tara, ohhh ohhhhh ohhhh
Kabataan, ohhh ohhhhh ohhhh

Tara simulan mo na
Tena-a bagong pag-asa
Tara tena, o kabataan ang galing naman
Simulan pagbabago sa bayan
Tara tena

Tara wag kakabakaba
Tena, oo may laban ka
Galingan, sipagan, paghusayan, panawagan, kabataan
Sa isang pangarap, ako'y naniniwala
Ako ay lilipad at ang lahat makakakita
Patuloy ang pangarap
"
"""Sa Isang Pangarap""",Andrea Brillantes,None,"

Tooo dooo tooo doooo
Tudurutduttutooo...
Sa isang pangarap...

Napakalayo ng tingin bakit
Napakalayo ng pangarap
Ngunit hindi mappipigilan kahit
Sino man sa 'kin iharap
Mailap, 'di isang iglap
Kahit maagap, mahirap
Tinatanggap hamon na magsusumikap
Ilang beses pa mang masasaktan
Magpapatuloy lang

Sa isang pangarap
Na mailap parang kay hirap abutin
May isang pangarap
Na tinatahak mahirap man tuloy tuloy tuloy ko lang

Tooo dooo tooo doooo
Tudurutduttutooo...
Sa isang pangarap...

Sa buhay daming pagkakamali
Nais kong humingi ng tawad
Mga kahapo'y 'di mababalik
Bukas ay ating kaharap
Upang baguhin ang mali
Nang 'di maulit pasakit
Mga tinik sa puso nati'y pumunit
Lahat naman ay nagkakamali
Mahalaga kung paano ka babawi

Sa isang pangarap
Kahit na mailap pilit pa ring aabutin
Iisang pangarap
Ating tinatahak mahirap man tuloy tuloy tuloy pa rin

Pait ng nakaraan ating limutin
Alalahanin kung gaano natin
Minahal ang isa't isa

Tooo dooo tooo doooo
Tudurutduttutooo...
Sa isang pangarap...

Tooo dooo tooo doooo
Tudurutduttutooo...
Magkasama sa isang pangarap...

Sa isang pangarap
Na mailap sabay nating aabutin
Iisang pangarap
Na tinatahak kaya tuloy tuloy tuloy tuloy pa rin
Ooh ooh...
Sa isang pangarap
Ohh ohh...
Magkasama tayo sa iisang pangarap
"
"""Kabataang Pinoy""",Andrea Brillantes,None,"

Barkada namin may pangarap
Na nais abutin
Pangarap namin magtagumpay
Sa lahat ng gagawin

Iba na tayo ngayon
Walang di magagawa (Di nagagawa)
Sabihin niyo, sabihin mo
Kaya natin 'to (Kaya natin 'to!)

Kabataang pinoy pagbutihan mo
Pag-asa ka ng buong mundo
Kabataang pinoy, kayang kaya mo
Pinoy ako pinoy tayo

Hamon sa buhay handang daanan (Handang daanan)
Kaya namin 'yan
Ipaglalaban namin ang nararapat (Hey! Hey! Hey!)
At tamang gagawin

Iba na tayo ngayon (Iba na tayo)
Matibay ang loob (Matibay ang loob)
Sabihin mo sabihin nyo
Kaya natin to (Kayang kaya 'to!)

Kabataang pinoy pagbutihan mo
Pag-asa ka ng buong mundo
Kabataang pinoy kayang kaya mo
Pinoy ako pinoy tayo

Iba na tayo ngayon (Iba na tayo)
Walang di magagawa
Sabihin niyo, sabihin mo
Kaya natin 'to

Kabataang pinoy pagbutihan mo
Pag-asa ka ng buong mundo
Kabataang pinoy kayang kaya mo
Pinoy ako pinoy tayo

Kabataang pinoy pagbutihan mo
Pag-asa ka ng buong mundo
Kabataang pinoy kayang kaya mo
Pinoy ako pinoy tayo
"
"""Hindi Kita Iiwan""",Andrea Brillantes,None,"

Umiiyak ka na naman mahal
Lagi na lang ika'y nasasaktan
Sabi niya di ka iiwanan
Ikaw ay nabigo kayo'y nagkalayo

Ako'y nahihirapan
Pag ika'y nasasaktan
Kung pwede lang naman
Sa akin ka na lang

Hindi kita iiwan
Hindi pababayan
Sa akin ay hindi ka iiyak na kahit minsan
Hindi kita iiwan
Hindi pababayaan
Hinding hindi ka sasaktan
O akin ka na lang
Hindi kita iiwan

Lahat ay gagawin pag ika'y napasa akin
Lahat ng utos mo ay aking susundin
Hindi ko hahayaang ikaw ay masaktan
Mahal sana naman sa akin ka nalang

Hindi kita iiwan
Hindi pababayan
Sa akin ay hindi ka iiyak ng kahit minsan
Hindi kita iiwan
Hindi pababayaan
Hinding hindi ka sasaktan
O akin ka nalang
Hindi kita iiwan

Hindi kita iiwan
Hindi pababayaan
Hinding hindi ka sasaktan
O akin ka na lang
Hindi kita iiwan
Hindi pababayaan
Sa akin ay hindi ka iiyak na kahit minsan
Hindi kita iiwan
Hindi pababayaan
Hinding hindi ka sasaktan
O akin ka na lang
Hindi kita iiwan
Hindi kita iiwan
Hindi kita iiwan
"
"""Tara Tena""",Andrea Brillantes,None,"

Tena halina't sabayan
Bagong uso ay simulan
Oh dapat lang kabataan
Oras mo nang makialam

Oh, kakaba-kaba-kaba-kabataan
Mga katropa, tayo na
Wag nang umurong sulong pa
Buong loob sumama na

Tara tena, tara simulan mo na
Tena-a bagong pag-asa
Tara tena, o kabataan ang galing naman
Simulan pagbabago sa bayan
Tara tena
Tara wag kakabakaba
Tena, oo may laban ka
Galingan, sipagan, paghusayan, panawagan, kabataan
Tara tena

Maaasahan ka dito
Mahusay ang ideya mo
Pakita mong marunong ka
Bayan sayo'y umaasa

Oh, kakaba-kaba-kaba-kabataan
Mga katropa, tayo na
Wag nang umurong sulong pa
Buong loob sumama na

Tara tena, tara simulan mo na
Tena-a bagong pag-asa
Tara tena, o kabataan ang galing naman
Simulan pagbabago sa bayan
Tara tena
Tara wag kakabakaba
Tena, oo may laban ka
Galingan, sipagan, paghusayan, panawagan, kabataan
Tara tena

Tayo na tara na
Gamitin ang talino mo
Sa tunay na pagbabago
Tayo na tara na
Tawag sa diyos
Isama ka makakamtan
Malapit na
Tayo na tara na
Tara na tayo na
Tara tena
O sumama malapit na pagbabago sa bayan
Ohhhhhhh

Bitawan ang ginagawa
Takot ay alisin
Sabay sabay namamangha
Sabay sabay na abutin

Kung malayo simulan mo na ang byahe
Alam sa sarili na di kulang ang pamasahe
Walang makakapigil kahit ano pang sinabi
Basta tandaan mo lagi na lahat tayo kasali

Tara simulan mo na
Tena-a bagong pag-asa
Tara tena
O kabataan ang galing naman
Simulan pagbabago sa bayan
Tara tena, tara wag kakabakaba
Tena, oo may laban ka
Galingan, sipagan, paghusayan, panawagan, kabataan
Tara tena

Tara simulan mo na
Tena-a bagong pag-asa
Tara tena
O kabataan ang galing naman
Simulan pagbabago sa bayan
Tara tena
Tara wag kakabakaba
Tena, oo may laban ka
Galingan, sipagan, paghusayan, panawagan, kabataan
Tara tena

Tara simulan mo na
Tena-a bagong pag-asa
Tara tena
O kabataan ang galing naman
Simulan pagbabago sa bayan
Tara tena
Tara wag kakabakaba
Tena, oo may laban ka
Galingan, sipagan, paghusayan, panawagan, kabataan
Tara tena

Tara na, oh, tayo na (tara tena)
Tara na, oh, tayo na (tara tena)
Tara na, oh, tayo na (tara tena)
Tara na, oh, tayo na
Tara tena!
Ey
"
"""Boom Panes""",Andrea Brillantes,None,"

Mundo mo'y maganda Diyos may gumawa nito
Buhay ay maganda Diyos nagbigay nito
Wag mo ikahiya naging hitsura mo
Tayo'y magkakaiba walang perpekto

Wag maiinggit sa long hair nila
Ang mahalaga'y may buhok ka pa
Kahit konti na nga lang ang hibla
Kung mukhang panot pag sumimangot ipagsigawan mo

Boom panot boom boom panot panot
Boom panot boom boom panot panot 
Boom panot boom boom panot panot
Boom panot boom boom panot boom

Boom panes boom boom panes panes
Boom panes boom boom panes panes
Boom panes boom boom panes panes
Boom panes boom boom panes boom
"
"""Bituin""",Andrea Brillantes,None,"

Dati-rati ay naka tingin lamang
At nag aalin langan
Na baka diko kaya
Mag isa
Na habulin ang mga pinangarap
Na aking niyayakap
Baka diko mahanap
Magisa
Ito ang oras na hinihintay
Ko na ibibigay
Ko ang lahat ng kaya
Kahit na
Pigilan nila ay sasabay
Parang bitwin na makulay
Bitwin na makulay

Di basta basta mga bagay na
Sa kamay mo mapupunta
At wag na wag ka mangangamba
Wag na wag mahihiya
Mga payo sakin ni mama
Na manatili ang paa sa baba
At ang paalala naman ni papa
Kailan may di mababaliwala

Ngayong gabi
Ay mag liliwanag
Sa pag tupad
Sa mga pangarap

Kala ko dati ay hanggang pangarap nalang, at
Hanggang tingin na lamang
Hanggang diko namalayan
Ang lahat
Ay nasa kamay ko na
Mga sinabi ni papa
Sige lang mangarap ka
Ng katulad nilaa
Wag kang matakot sa
Mga pagkakamali
Kahit dahan dahan lang
Wag kang mag mamadali
Ngaung gabi
Ako ay mag nining ning ning

Di basta basta mga bagay na
Sa kamay mo mapupunta
At wag na wag ka mangangamba
Wag na wag mahihiya
Mga payo sakin ni mama
Na manatili ang paa sa baba
At ang paalala naman ni papa
Kailan may di mababaliwala

Ngayong gabi
Ay mag liliwanag
Sa pag tupad
Sa mga pangarap

Ngayong gabi
Ay mag liliwanag
Sa pag tupad
Sa mga pangarap

Di basta basta mga bagay na
Sa kamay mo mapupunta
At wag na wag ka mangangamba
Wag na wag mahihiya
Mga payo sakin ni mama
Na manatili ang paa sa baba
At ang paalala naman ni papa
Kailan may di mababaliwala

Ngayong gabi
Ay mag liliwanag
Sa pag tupad
Sa mga pangarap
"
"""Happy To Be Me""",Andrea Brillantes,None,"

Nakatitig ako sa salamin ng aking kwarto
Napapatanong kung tama ba sila't mali ako
Di alam ang gagawin o iisipin
Sapat na ba ako o kailangan bang baguhin
Ang sarili ko't bigla kong natawa
Tumigil na sa pagtanong kasi alam ko na

I gotta be happy to be me
Happy cause I'm free
Happiness is a choice, I'll never lose my voice
And nobody's gonna take my right
To be happy
You can't take that away from me

Oh oh oh oh oh
Oh oh oh oh oh

Kung ang sinasabi nila
Sabi nila, sabi nila, sabi nila'y
Di maganda ay balewala
Balewala, balewala, balewala
Nalang kung di naman
Makakatulong at may pupuntahan
Orasan nila'y nasasayang lang

I gotta be happy to be me
Happy cause I'm free
Happiness is a choice, I'll never lose my voice
And nobody's gonna take my right
To be happy
You can't take that away from me
You can't take that away from me
You can't take that away from me
You can't take that away from me
You can't take that away from me
You can't take that away from me

I gotta be happy to be me
Happy cause I'm free
Happiness is a choice, I'll never lose my voice
And nobody's gonna take my right
To be happy
You can't take that away from me

Happy to be me
Happy cause I'm free (happy cause I'm free)
Happiness is a choice, I'll never lose my voice
And nobody's gonna take my right
To be happy
You can't take that away from me

Oh oh oh oh oh
Oh oh oh oh oh
Oh oh oh oh oh
Oh oh oh oh oh
"
"""Make Me Feel Beautiful""",Andrea Brillantes,None,"

They say dreams are fantasies
It seems they make me face reality
Just can't believe what I see
My dream was brought to life and came to me

Love is being played like a game
Such a pain
And when you came I could face each day
Found ways

'Cause you make me, make me feel beautiful
Make me feel, make me feel beautiful
Such a thrill, when each day is wonderful
Make me feel, like every day's wonderful
Now where you go I'll go oh oh
Never saying no
'Cause you make me, make me feel beautiful
Make me feel, make me feel beautiful

Each morning is unbearable
Though I'm willing to wake up and get ready to fall
Sometimes I feel weak in this cruel world
But with you I am unbreakable
"
"""Never Give Up""",Andrea Brillantes,None,"

I'll never make it through
That's what people say
They don't understand
Won't give me a chance
People always make me
Feel like I don't exist
But that's okay
I will pull this through

Shine away
Show the world how beautiful you are

You can be the star of the universe
You can spread your wings and fly away
You can be the sun shining up all day
You can be the best, best among the rest
Never giving up

I can feel you too
What you're going through
No matter how you feel
Whatever they might say
I believe in you
You can do this too
Grab my hand, my dear
I'll always be here

Shine away
Show the world how beautiful you are

You can be the star of the universe
You can spread your wings and fly away
You can be the sun shining up all day
You can be the best, best among the rest
Never giving up

Don't be afraid to hold my hand
Don't let them take your dreams away

You can be the star of the universe
You can spread your wings and fly away
You can be the sun shining up all day
You can be the best, best among the rest

You can be the star of the universe
You can spread your wings and fly away
You can be the sun shining up all day
You can be the best, best among the rest

You can be the star of the universe
You can spread your wings and fly away
You can be the sun shining up all day
You can be the best, best among the rest
Never giving up

(You can be the star)
(You can be the star)
Never giving up

(You can be the star)
(You can be the star)
You can be the best
"
