Song,Artist,Album,Lyrics
"""Lyric & Beat""",Andrea Brillantes,"""Lyric And Beat, Vol. 01""","

Lyric and beat

Yeah, get up and dance
'Cause the lyric of your life awaits
There ain't no plans, it's yet to be written
Just take the chance and
Dance to your beat and get away
Only you can make it happen
Oh, let's make it happen
Na-na-na-na

Easy to get discouraged, be damaged
In your mind, those doubts got you tired of runnin' (Runnin')
Holdin' on despite the sadness now
Believe, it's not your fate

Get up and dance
'Cause the lyric of your life awaits
There ain't no plans, it's yet to be written
Just take the chance and
Dance to your beat and get away
Only you can make it happen
Oh, let's make it happen

Those demons in your head, want it left all unsaid
Don't let it waste your time and just live your life your way
Take a risk and just write a different lyric everyday
Don't need to drive this road on your own, you're not alone

There's no road map to the place you wanna go
(Navigate to the beat of your heart)
There's a million ways to go but no one knows
'Cause your journey's yours

Get up and dance
'Cause the way lyric of your life awaits
There ain't no plans, it's yet to be written
Just take the chance and
Dance to your beat and get away
Only you can make it happen
Oh, let's make it happen

Those demons in your head, want it left all unsaid
Don't let it waste your time and just live your life your way
Take a risk and just write a different lyric everyday
Don't need to drive this road on your own, you're not alone

Just call my name
Got your back when you fall
'Cause I'll be there
Don't be afraid when you're alone
'Cause we'll be victors
Yeah, that's who we are
We're like this shining stars, oh

'Di ka nag-iisa (Ayy)
Dito sa werpa, lahat tayo'y kapamilya
Mula noon, hanggang ngayon, anumang oras
'Yan ika'y makakaasa (Oh)
Kahit saan, kahit kailan, sabay-sabay tayong lalaban
Sa dami ng ating pinagdaanan
Lahat ng pangarap ay makakamtan (Oh)
Call your friends when you need it (Be there in a minute)
Friends who won't let you down (I will be down with you)
Call your friends when you need it (Be there in a minute)
Friends who won't let you down
You know, I won't let you down

You know, I won't let you down
You know, I won't let you down
You know, I won't let you down
You know, I won't let you down
You know, I won't let you down
You know, I won't let you down
You know, I won't let you down (Oh)
You know, I won't let you down

Get up and dance
'Cause the way lyric of your life awaits
There ain't no plans, it's yet to be written
(Here ain't no plans, it's yet to be written, oh)
Just take the chance and (Just take the chance)
Dance to your beat and get away
Only you can make it happen
Oh, let's make it happen

Call your friends when you need it
Friends who won't let you down
"
"""Jonathan Manalo Overture""",Andrea Brillantes,"""Lyric And Beat, Vol. 01""","

Tooo dooo tooo doooo
Tudurutduttutooo
Tooo dooo
Sa isang pangarap

Napakalayo ng tingin bakit
Napakalayo ng pangarap
Ngunit hindi mapiipigilan kahit
Sino man sa 'kin iharap
Pangarap, 'di isang iglap
Kahit maagap, mahirap
Tinatanggap hamon na magsusumikap
Ilang beses pa mang masasaktan
Magpapatuloy lang

Sa isang pangarap
Na mailap parang kay hirap abutin
May isang pangarap na tinatahak
Mahirap man tuloy tuloy
Tuloy ko lang

Umiiyak ka na naman mahal
Lagi na lang ika'y nasasaktan
Hindi kita iiwan
Hindi pababayaan
Hinding hindi ka sasaktan
O akin ka na lang

Pangarap ko ay ang pangarap mo
Iaalay sa yong syang unang nagbigay
Ng tiwala't pagmamahal na walang kapalit
Nang dahil sa yo'y mabubuo
Ang pangarap ko

Tara, ohhh ohhhhh ohhhh
Kabataan, ohhh ohhhhh ohhhh

Tara simulan mo na
Tena-a bagong pag-asa
Tara tena, o kabataan ang galing naman
Simulan pagbabago sa bayan
Tara tena

Tara wag kakabakaba
Tena, oo may laban ka
Galingan, sipagan, paghusayan, panawagan, kabataan
Sa isang pangarap, ako'y naniniwala
Ako ay lilipad at ang lahat makakakita
Patuloy ang pangarap
"
"""Sa Isang Pangarap""",Andrea Brillantes,"""Lyric And Beat, Vol. 01""","

Tooo dooo tooo doooo
Tudurutduttutooo...
Sa isang pangarap...

Napakalayo ng tingin bakit
Napakalayo ng pangarap
Ngunit hindi mappipigilan kahit
Sino man sa 'kin iharap
Mailap, 'di isang iglap
Kahit maagap, mahirap
Tinatanggap hamon na magsusumikap
Ilang beses pa mang masasaktan
Magpapatuloy lang

Sa isang pangarap
Na mailap parang kay hirap abutin
May isang pangarap
Na tinatahak mahirap man tuloy tuloy tuloy ko lang

Tooo dooo tooo doooo
Tudurutduttutooo...
Sa isang pangarap...

Sa buhay daming pagkakamali
Nais kong humingi ng tawad
Mga kahapo'y 'di mababalik
Bukas ay ating kaharap
Upang baguhin ang mali
Nang 'di maulit pasakit
Mga tinik sa puso nati'y pumunit
Lahat naman ay nagkakamali
Mahalaga kung paano ka babawi

Sa isang pangarap
Kahit na mailap pilit pa ring aabutin
Iisang pangarap
Ating tinatahak mahirap man tuloy tuloy tuloy pa rin

Pait ng nakaraan ating limutin
Alalahanin kung gaano natin
Minahal ang isa't isa

Tooo dooo tooo doooo
Tudurutduttutooo...
Sa isang pangarap...

Tooo dooo tooo doooo
Tudurutduttutooo...
Magkasama sa isang pangarap...

Sa isang pangarap
Na mailap sabay nating aabutin
Iisang pangarap
Na tinatahak kaya tuloy tuloy tuloy tuloy pa rin
Ooh ooh...
Sa isang pangarap
Ohh ohh...
Magkasama tayo sa iisang pangarap
"
"""Kabataang Pinoy""",Andrea Brillantes,"""Lyric And Beat, Vol. 01""","

Barkada namin may pangarap
Na nais abutin
Pangarap namin magtagumpay
Sa lahat ng gagawin

Iba na tayo ngayon
Walang di magagawa (Di nagagawa)
Sabihin niyo, sabihin mo
Kaya natin 'to (Kaya natin 'to!)

Kabataang pinoy pagbutihan mo
Pag-asa ka ng buong mundo
Kabataang pinoy, kayang kaya mo
Pinoy ako pinoy tayo

Hamon sa buhay handang daanan (Handang daanan)
Kaya namin 'yan
Ipaglalaban namin ang nararapat (Hey! Hey! Hey!)
At tamang gagawin

Iba na tayo ngayon (Iba na tayo)
Matibay ang loob (Matibay ang loob)
Sabihin mo sabihin nyo
Kaya natin to (Kayang kaya 'to!)

Kabataang pinoy pagbutihan mo
Pag-asa ka ng buong mundo
Kabataang pinoy kayang kaya mo
Pinoy ako pinoy tayo

Iba na tayo ngayon (Iba na tayo)
Walang di magagawa
Sabihin niyo, sabihin mo
Kaya natin 'to

Kabataang pinoy pagbutihan mo
Pag-asa ka ng buong mundo
Kabataang pinoy kayang kaya mo
Pinoy ako pinoy tayo

Kabataang pinoy pagbutihan mo
Pag-asa ka ng buong mundo
Kabataang pinoy kayang kaya mo
Pinoy ako pinoy tayo
"
"""Hindi Kita Iiwan""",Andrea Brillantes,"""Lyric And Beat, Vol. 01""","

Umiiyak ka na naman mahal
Lagi na lang ika'y nasasaktan
Sabi niya di ka iiwanan
Ikaw ay nabigo kayo'y nagkalayo

Ako'y nahihirapan
Pag ika'y nasasaktan
Kung pwede lang naman
Sa akin ka na lang

Hindi kita iiwan
Hindi pababayan
Sa akin ay hindi ka iiyak na kahit minsan
Hindi kita iiwan
Hindi pababayaan
Hinding hindi ka sasaktan
O akin ka na lang
Hindi kita iiwan

Lahat ay gagawin pag ika'y napasa akin
Lahat ng utos mo ay aking susundin
Hindi ko hahayaang ikaw ay masaktan
Mahal sana naman sa akin ka nalang

Hindi kita iiwan
Hindi pababayan
Sa akin ay hindi ka iiyak ng kahit minsan
Hindi kita iiwan
Hindi pababayaan
Hinding hindi ka sasaktan
O akin ka nalang
Hindi kita iiwan

Hindi kita iiwan
Hindi pababayaan
Hinding hindi ka sasaktan
O akin ka na lang
Hindi kita iiwan
Hindi pababayaan
Sa akin ay hindi ka iiyak na kahit minsan
Hindi kita iiwan
Hindi pababayaan
Hinding hindi ka sasaktan
O akin ka na lang
Hindi kita iiwan
Hindi kita iiwan
Hindi kita iiwan
"
"""Tara Tena""",Andrea Brillantes,"""Lyric And Beat, Vol. 01""","

Tena halina't sabayan
Bagong uso ay simulan
Oh dapat lang kabataan
Oras mo nang makialam

Oh, kakaba-kaba-kaba-kabataan
Mga katropa, tayo na
Wag nang umurong sulong pa
Buong loob sumama na

Tara tena, tara simulan mo na
Tena-a bagong pag-asa
Tara tena, o kabataan ang galing naman
Simulan pagbabago sa bayan
Tara tena
Tara wag kakabakaba
Tena, oo may laban ka
Galingan, sipagan, paghusayan, panawagan, kabataan
Tara tena

Maaasahan ka dito
Mahusay ang ideya mo
Pakita mong marunong ka
Bayan sayo'y umaasa

Oh, kakaba-kaba-kaba-kabataan
Mga katropa, tayo na
Wag nang umurong sulong pa
Buong loob sumama na

Tara tena, tara simulan mo na
Tena-a bagong pag-asa
Tara tena, o kabataan ang galing naman
Simulan pagbabago sa bayan
Tara tena
Tara wag kakabakaba
Tena, oo may laban ka
Galingan, sipagan, paghusayan, panawagan, kabataan
Tara tena

Tayo na tara na
Gamitin ang talino mo
Sa tunay na pagbabago
Tayo na tara na
Tawag sa diyos
Isama ka makakamtan
Malapit na
Tayo na tara na
Tara na tayo na
Tara tena
O sumama malapit na pagbabago sa bayan
Ohhhhhhh

Bitawan ang ginagawa
Takot ay alisin
Sabay sabay namamangha
Sabay sabay na abutin

Kung malayo simulan mo na ang byahe
Alam sa sarili na di kulang ang pamasahe
Walang makakapigil kahit ano pang sinabi
Basta tandaan mo lagi na lahat tayo kasali

Tara simulan mo na
Tena-a bagong pag-asa
Tara tena
O kabataan ang galing naman
Simulan pagbabago sa bayan
Tara tena, tara wag kakabakaba
Tena, oo may laban ka
Galingan, sipagan, paghusayan, panawagan, kabataan
Tara tena

Tara simulan mo na
Tena-a bagong pag-asa
Tara tena
O kabataan ang galing naman
Simulan pagbabago sa bayan
Tara tena
Tara wag kakabakaba
Tena, oo may laban ka
Galingan, sipagan, paghusayan, panawagan, kabataan
Tara tena

Tara simulan mo na
Tena-a bagong pag-asa
Tara tena
O kabataan ang galing naman
Simulan pagbabago sa bayan
Tara tena
Tara wag kakabakaba
Tena, oo may laban ka
Galingan, sipagan, paghusayan, panawagan, kabataan
Tara tena

Tara na, oh, tayo na (tara tena)
Tara na, oh, tayo na (tara tena)
Tara na, oh, tayo na (tara tena)
Tara na, oh, tayo na
Tara tena!
Ey
"
"""Boom Panes""",Andrea Brillantes,"""Lyric And Beat, Vol. 01""","

Mundo mo'y maganda Diyos may gumawa nito
Buhay ay maganda Diyos nagbigay nito
Wag mo ikahiya naging hitsura mo
Tayo'y magkakaiba walang perpekto

Wag maiinggit sa long hair nila
Ang mahalaga'y may buhok ka pa
Kahit konti na nga lang ang hibla
Kung mukhang panot pag sumimangot ipagsigawan mo

Boom panot boom boom panot panot
Boom panot boom boom panot panot 
Boom panot boom boom panot panot
Boom panot boom boom panot boom

Boom panes boom boom panes panes
Boom panes boom boom panes panes
Boom panes boom boom panes panes
Boom panes boom boom panes boom
"
"""Ako Naman Muna""",Andrea Brillantes,"""Angela Ken""","

Kada hakbang sa lupa'y para akong inaalon
At nalulunod sa batikos ng mundo
Sa kung ano lamang ang kaya ko

Pigang-piga na sa mga problemang 'di masolusyonan agad
Parang wala ng bukas, pwede bang umiwas?
Hinahanap ang sarili ngunit 'di na
Kakayanin sa ligaw na dinadaanan ko
'San na 'to patungo?
'San na 'ko patungo?

Dahan-dahan nating simulan muli ang pag-hakbang
Dahan-dahang tumingin sa salamin upang makita ang ating kagandahan
Dahan-dahang iangat ang mukha upang masilayan ang payapang kalangitan
Oo, pagod ka na
Pero 'di ka nag-iisa
Kaya't lumaban ka
At sabihing, ""Ako naman muna""

Kada langhap sa hangin pansin ko na lagi nalang usok
Walang malinis halos puro polusyon, parang ako raw na konsumisyon
Gulong-gulo ang isip 'san ba lulugar kapag nag-kamali
Grabe sila manghusga, bakit perpekto ba sila?
Huminga ka ng malalim at isipin ng mabuti
Ang mga desisyong ilalaan para sa kinabukasan
Nang makapunta sa paroroonan kung

Dahan-dahan nating simulan muli ang pag-hakbang. (muli ang paghakbang)
Dahan-dahang tumingin sa salamin upang makita ang ating kagandahan
Dahan-dahang iangat ang mukha upang masilayan ang payapang kalangitan
Oo, pagod ka na
Pero 'di ka nag-iisa ('di ka nag-iisa)
Kaya't lumaban ka
At sabihing, ""Ako naman muna""
""Ako naman muna""

Huwag papalamon sa lungkot
Huwag hahayaang malugmok ang puso mo sa ibabato sa'yo ng iba
Tandaan mong sapat ka

Dahan-dahang tanggalin ang maskara at
Hayaang tumulo ang bumabadyang mga luha
Dahan-dahang iangat ang mukha upang
Masilayan ang mga taong ika'y pinapahalagahan
Oo, pagod ka na
Pero 'di ka nag-iisa
Kaya't lumaban ka
At sabihing, ""Ako naman muna""
""Ako naman muna""
"
"""Bituin""",Andrea Brillantes,No Album,"

Dati-rati ay naka tingin lamang
At nag aalin langan
Na baka diko kaya
Mag isa
Na habulin ang mga pinangarap
Na aking niyayakap
Baka diko mahanap
Magisa
Ito ang oras na hinihintay
Ko na ibibigay
Ko ang lahat ng kaya
Kahit na
Pigilan nila ay sasabay
Parang bitwin na makulay
Bitwin na makulay

Di basta basta mga bagay na
Sa kamay mo mapupunta
At wag na wag ka mangangamba
Wag na wag mahihiya
Mga payo sakin ni mama
Na manatili ang paa sa baba
At ang paalala naman ni papa
Kailan may di mababaliwala

Ngayong gabi
Ay mag liliwanag
Sa pag tupad
Sa mga pangarap

Kala ko dati ay hanggang pangarap nalang, at
Hanggang tingin na lamang
Hanggang diko namalayan
Ang lahat
Ay nasa kamay ko na
Mga sinabi ni papa
Sige lang mangarap ka
Ng katulad nilaa
Wag kang matakot sa
Mga pagkakamali
Kahit dahan dahan lang
Wag kang mag mamadali
Ngaung gabi
Ako ay mag nining ning ning

Di basta basta mga bagay na
Sa kamay mo mapupunta
At wag na wag ka mangangamba
Wag na wag mahihiya
Mga payo sakin ni mama
Na manatili ang paa sa baba
At ang paalala naman ni papa
Kailan may di mababaliwala

Ngayong gabi
Ay mag liliwanag
Sa pag tupad
Sa mga pangarap

Ngayong gabi
Ay mag liliwanag
Sa pag tupad
Sa mga pangarap

Di basta basta mga bagay na
Sa kamay mo mapupunta
At wag na wag ka mangangamba
Wag na wag mahihiya
Mga payo sakin ni mama
Na manatili ang paa sa baba
At ang paalala naman ni papa
Kailan may di mababaliwala

Ngayong gabi
Ay mag liliwanag
Sa pag tupad
Sa mga pangarap
"
"""Happy To Be Me""",Andrea Brillantes,No Album,"

Nakatitig ako sa salamin ng aking kwarto
Napapatanong kung tama ba sila't mali ako
Di alam ang gagawin o iisipin
Sapat na ba ako o kailangan bang baguhin
Ang sarili ko't bigla kong natawa
Tumigil na sa pagtanong kasi alam ko na

I gotta be happy to be me
Happy cause I'm free
Happiness is a choice, I'll never lose my voice
And nobody's gonna take my right
To be happy
You can't take that away from me

Oh oh oh oh oh
Oh oh oh oh oh

Kung ang sinasabi nila
Sabi nila, sabi nila, sabi nila'y
Di maganda ay balewala
Balewala, balewala, balewala
Nalang kung di naman
Makakatulong at may pupuntahan
Orasan nila'y nasasayang lang

I gotta be happy to be me
Happy cause I'm free
Happiness is a choice, I'll never lose my voice
And nobody's gonna take my right
To be happy
You can't take that away from me
You can't take that away from me
You can't take that away from me
You can't take that away from me
You can't take that away from me
You can't take that away from me

I gotta be happy to be me
Happy cause I'm free
Happiness is a choice, I'll never lose my voice
And nobody's gonna take my right
To be happy
You can't take that away from me

Happy to be me
Happy cause I'm free (happy cause I'm free)
Happiness is a choice, I'll never lose my voice
And nobody's gonna take my right
To be happy
You can't take that away from me

Oh oh oh oh oh
Oh oh oh oh oh
Oh oh oh oh oh
Oh oh oh oh oh
"
