Song,Artist,Album,Lyrics
"""Kumpas""",Barbie Almalbis,"""Scenes From Inside""","

Tumatalon ang puso ko
Susunod nalang sa'yo
Wag mawala, bilangin ko
Anim, tatlong sampu't tatlo

Saan tayo pupunta?
Dinig mo ba? Dinig ko ba?
Sa labi mo nag umpisa
Alingawngaw, dinggin ko na

Pakinggan ang mga yapak
Magtatagpo pag naghanap
Kahit saan man mapadpad
Mahahanap din sa iyong palad

Saan tayo pupunta?
Dinig mo ba? Dinig ko ba?
Sa labi mo nag umpisa
Alingawngaw, dinggin ko na

Saan tayo pupunta?
Dinig mo ba? Dinig ko ba?
Sa labi mo nag umpisa
Alingawngaw, dinggin ko na

Saan tayo pupunta?
Dinig mo ba? Dinig ko ba?
Sa labi mo
Noon pa ma'y sumisigaw
Dinggin, dinggin ko na
"
"""Peace Where We Go""",Barbie Almalbis,"""Scenes From Inside""","

Lay down a while
The sky could be falling
Lay it down a while
'Cause soon comes the morning

Your mind has a tongue and your tongue is a gun
That can cause a great big fire
Your heart is a child being trained in the wild
'Til you know your true desire

Count all your mornings
But don't heed every warning
Come on, let's take shelter
In the arms of our brother

Your mind has a tongue and your tongue is a gun
That can cause a great big fire
Your heart is a child being trained in the wild
'Til you know your true desire

Lay your load on me
Peace where do you go
Lay your load on me
Peace where do you go

Lay your load on me
Peace where do you go
Lay your load on me
Peace where do you go

Lay your load on me
Peace where do we go
Lay your load on me
Peace where do we go

Peace where do we go
Peace where do we go
Peace where do we go
Peace where do we go
"
"""Days Are Long""",Barbie Almalbis,"""Scenes From Inside""","

Twenty-three you knew you've seen this from before
Quiet and confused always breaking through the door
Thought the world was easy, all the places to go
And you sleep soundly when you don't know

One day you wake up and the colors aren't the same
You laugh and cry and pray just to get back in the game
When the world was easy, all the places to go
And you sleep soundly when you don't know

Days are long, but years they fly
You set your heart where you fix your eyes
So let me fix my eyes on you...

When my time is done, and all the songs have been sung
You'll always be the name on the tip of my tongue
And the world was easy, all the places to go
And you sleep soundly when it's time to go

Days are long, but years they fly
You set your heart where you fix your eyes
Days are long, but years they fly
You set your heart where you fix your eyes
Oh, let me fix my eyes on you...
"
"""An Aspin's Song (For Tata)""",Barbie Almalbis,"""Scenes From Inside""","

I know you need somebody
To be there by your side
You know I'm always ready
To do what makes you smile

Don't go looking elsewhere
For someone prettier than me
Are they brighter, stronger, sweeter?
Look into my eyes, you'll see

Why can't it be me?
Why can't I be your best buddy?
The places we could see
Hand on my head
Choose me instead
I've so much love to give, you'll see

I don't need fancy dresses
Or shoes for my little feet
No need for pedigree or papers
To show you what you mean to me

I'll be always faithful
If you choose to take me home
Look beyond what's on the outside
You know I'll live for you alone

Why can't it be me?
Why can't I be your best buddy?
The places we could see
Hand on my head
Choose me instead
I've so much love to give, you'll see

I dream of a day when I'm old and gray
When I can't run so far anymore
But there you'd be as you promised me
Yours will be the last face I'll see
'Cause yes it could be me

Oh, can I be your best buddy?
The places we could see
Hand on my head
Choose me instead
I've so much love to give, you'll see
"
"""Iyong-Iyo""",Barbie Almalbis,"""Scenes From Inside""","

Sabado ako'y naghihintay
Isang litrong buhay
Na pulang pula
Sa iyo aking mga paa
Na di na kayang pumunta
Itakbo mo nalang ako

Saan ka pupunta
Nag-iisa lang ba ako
Naririnig mo ba'ng
Mga salitang nagmumula sa labi ko

Sakto sa huling paghinga
Ang di inakalang pagtatagpo
Nakita sa iyong mga mata
Ang aking muhka
Dahil sa lapit mo

Narinig kita
Di nawala ang boses mo
Di pinagkaila
Mga salitang
Nagmumula sa labi mo

Sabado noong akoy naghihintay
Binalik mo ang aking buhay
Na iyong-iyo
"
"""Comment""",Barbie Almalbis,"""Scenes From Inside""","

Isang milyong likes
Isang milyong smiles
Isang milyong love
Sumusunod sayo

Isang milyong hearts
Lahat tumitibok
Dalawang milyong eyes
Nakatingin sayo

Nakita mo ba ang pinost ko
Bagong dilig kong mga halaman
Tinag pa kita para makita mo
Para makita mo

Pasmadong kamay
Ngawit na ngiti
Hingal na puso
Kaka-follow sa iyo

Nakita mo ba ang pinost ko
Namumulaklak kong mga halaman
Tinag ka ulit para makita mo
Para makita mo

Isa lang naman
Ang magpapangiti
Ang iyong matamis
Na comment
"
"""Umagang Kay Ganda""",Barbie Almalbis,"""Scenes From Inside""","

Halika na pumikit limutin ang problema
Hihintayin ang umaga
Magpahinga, panaginip ang ikaliligaya
Darating din ang umaga

Basta't tayo'y magkasama
Laging mayro'ng umagang kay ganda
Pagsikat ng araw
May dalang liwanag
Sa ating pangarap, ooh...
Haharapin natin (haharapin natin)

Gumising na
Araw ng pag-asa'y narito na
Dumating din, harapin natin

Basta't tayo'y magkasama
Laging mayro'ng umagang kay ganda
Pagsikat ng araw
May dalang liwanag
Sa ating pangarap, ooh
Haharapin natin (haharapin natin)
Oooh haharapin nation oohh

Basta't tayo'y magkasama
Laging mayro'ng umagang kay ganda
Pagsikat ng araw
May dalang liwanag
Sa ating pangarap, ooh
Haharapin natin (haharapin natin)
"
"""Silaw""",Barbie Almalbis,"""Scenes From Inside""","

Nakagapos sa dilim
Tila kulang sa liwanag
Takot, nakapikit
Palipasin ang pag-ikot
Sa paglalim ng gabi
May nakitang maliwanag
At sa'yong pansin
Naaninagan ang may tawag

Sa'yo ako'y nasisilaw
Nasisilaw sa paglapit mo
Ngayon ay di itatago
Mananatili sayo
Walang takot sa pag-ibig mo

Nais mong hingin
Mga luha, mga lihim
Kuniha mo sa'kin
Ang bigat ng sinumpaan

Sa'yo ako'y nasisilaw
Nasisilaw sa paglapit mo
Ngayon ay di itatago
Mananatili sayo
Walang takot sa pag-ibig mo

Lahat binubuo
Lahat napupuno
Nang umagos sa mundo
Ang pag-ibig mo

Sa'yo ako'y nasisilaw
Nasisilaw sa paglapit mo
Ngayon ay di itatago
Mananatili sayo
Walang takot sa pag-ibig mo
"
"""Cover (Acoustic Version)""",Barbie Almalbis,"""Scenes From Inside""","

On the open coast
Staring out in wonder
I never would've known
We would find each other

Driving down the same road all these years
And living in the same cloud
My head in a whirl wasting all those hours
Yet here you are now
Here you are now

When I was cold you were my cover
You let me inside your heart
And I will go with you forever
Let nothing keep us apart
'Cause He built this right from the start

Ordinary day
Back in Pixie Hollow
I never could've known
But where you lead I will follow

Driving down the long road all these years
Molded by the same fire
My heart in His hands waiting all those hours
Yet here we are now
Here we are now

When I was cold you were my cover
You let me inside your heart
And I will go with you forever
Let nothing keep us apart
'Cause He built this right from the start

This legendary day
Looking up in wonder

When I was cold you were my cover
You let me inside your heart
And I will go with you forever
Let nothing keep us apart

When I was cold you were my cover
You let me inside your heart
And I will go with you forever
Let nothing keep us apart
'Cause He built this right from the start
"
"""Tiger""",Barbie Almalbis,"""Barbie Almalbis: Tower Sessions Live""","

Inaantok nalilito
Pinagmamasdan ang kawalan
Naghahabol nagugutom
Naghananap kung saan saan

Inaantok nalilito
Pinagmamasdan ang kawalan
Kung makatingin, nanlilisik
Nakikipag titigan

Gusto kitang tawagin
'Wag mo naman akong awayin
Gusto kitang tawagin
Lagi kitang hahanapin

Umiiyak sa isang tabi
Naghahanap ng kayakap
Nagmumukmok sa isang sulok
Naglalagas puting buhok

Inaantok nalilito
Pinagmamasdan ang kawalan
Kung makatingin, nanlilisik
Nakikipag titigan

Gusto kitang tawagin
'Wag mo naman akong awayin
Gusto kitang tawagin
Lagi kitang hahanapin

Nangangalmot, naliligo
Ang bango bango ng pusa ko
"
