Song,Artist,Album,Lyrics
"""Iingatan Ka""",Carol Banawa,"""Carol""","

Sa buhay kong ito
Tanging pangarap lang
Ang iyong pag mamahal
Ay makamtan
Kahit na sandali
Ikaw ay mamasdan
Ligaya'y tila ba
Walang hanggan
Sana'y di na magising
Kung nangangarap man din
Kung ang buhay na makulay
Ang tatahakin
Minsan ay nadarapa
Minsan din ay luluha
Di ka na maninimdim
Pagkat sa buhay mo
Ay may nag mamahal parin

Iingatan ka
Aalagaan ka
Sa puso ko ikaw ang pag-asa
Sa 'ting mundo'y
May gagabay sa iyo
Ang alay ko'y itong pagmamahal ko
May nag mamahal aakay sa iyo
Aking inay ikaw ang nagbigay
Ng buhay ko
Buhay na kay ganda
Pangarap ko na makamtan ko na

Sana'y di na magising
Kung nangangarap man din
Kung ang buhay na makulay
Ang tatahakin
Minsan ay nadarapa
Minsan din ay luluha
Di ka na maninimdim
Pagkat sa buhay mo
Ay may nag mamahal parin

Iingatan ka
Aalagaan ka
Sa puso ko ikaw ang pag-asa
Sa 'ting mundo'y
May gagabay sa iyo
Ang alay ko'y itong pagmamahal ko
May nagmamahal aakay sa iyo
Aking inay ikaw ang nagbigay
Ng buhay ko
Buhay na kay ganda
Pangarap ko na makamtan ko na

Iingatan ka
Aalagaan ka
Sa puso ko ikaw ang pag-asa
Sa 'ting mundo'y
May gagabay sa iyo
Ang alay ko'y itong pagmamahal ko
May nagmamahal aakay sa iyo
Aking inay ikaw ang nagbigay
Ng buhay ko
Buhay na kay ganda
Pangarap ko na makamtan ko na
Pangarap ko na makamtan ko na
"
"""Saan Ka Man Naroroon""",Carol Banawa,"""Carol""","

Saan ka man naroroon sinta
Pag-ibig kong wagas
Ang 'yong nadarama
Kailan pa man
Sa iyo'y lilimot
Pusong uhaw sa iyong pag-ibig
Saan ka man naroroon sinta
Pangarap ko'y ikaw
Pagkat mahal kita

Asahan mong sa habang panahon
Ala-ala kita
Saan ka man naroroon
...
"
"""Only World""",Carol Banawa,"""Carol""","

It is time to change our ways
Speak a one united phrase
In every song that we sing
In every dream that we dream
Telling it is up to us to decide

All the conflicts in our hearts
Let's forget the way it starts
Let's be together like then
Together hand and hand
For this world can be stronger again

For we were born in love
That's how we came about
The time has come for us
To make our voice as one in sharing
Replace the hate we have with caring
So happy we can be
If we would all agree
And there would be delight
For all the things we see
Let's cherish
The only world we have

All the conflicts in our hearts
Let's forget the way it starts
Let's be together like then
Together hand and hand
For this world can be stronger again

For we were born in love
That's how we came about
The time has come for us
To make our voice as one in sharing
Replace the hate we have with caring
So happy we can be
If we would all agree
And there would be delight
For all the things we see
Let's cherish
The only world we have

Ooh one love is all that we need
Ooh one earth is all that we have
We were given hearts to love
By the heavens up above

Yeah... Yeah

Ooh we were born in love
That's how we came about
The time has come for us
To make our voice as one in sharing
Replace the hate we have with caring
So happy we can be
If we would all agree
And there would be delight
For all the things we see
Let's cherish
The only world we have

Ooh we were born in love
That's how we came about
The time has come for us
To make our voice as one in sharing
Replace the hate we have with caring
So happy we can be
If we would all agree
And there would be delight
For all the things we see
Let's cherish
The only world we have

Ooh let's cherish
The only world we have
"
"""Bakit 'Di Totohanin""",Carol Banawa,"""Carol""","

Pag akoy binibiro mo
Ang lahat ng yan
Saakiy totoo
Mga titig mo
Ay tumutunaw
Sa puso ko

Pag akoy nasa tabi mo
Ay kay lakas ng kaba
Sa dibdib ko
Ang hiling ko lang
Sanay malaman
Na ang puso koy
Sawa na sa biruan

[Chorus:]
Bakit di na lang
Totohanin ang lahat
Ang kailangan koy
Paglingap
Dahil habang
Tumatagal
Ay lalo kong
Natututunang
Magmahal
Baka masaktan lang

Pag akoy nasa tabi mo
Ay kay lakas ng kaba
Sa dibdib ko
Ang hiling ko lang
Sanay malaman
Na ang puso koy
Sawa na sa biruan

[Chorus]

Umaasa sa yo ang
Pusot damdamin
Pangarap ko
Ay mapansin

[Chorus x2]
"
"""Kailan Nga Ba""",Carol Banawa,"""Carol""","

Isang araw sa aking paglalakad
Nakasalubong ka at nakausap
At iyong 'tinanong
Noon ding araw na iyon
Pangalan ko at tirahan namin
Kung sa'n naroon
Hindi ako nakakibo sa iyo
At 'di ko rin alam ang isasagot ko
Dibdib ko ay kumakaba
Ngunit may halong saya
Ano pa kaya itong aking nadarama

Kailan kita muling makikita
Sa bahay namin ba ikaw ay pupunta
Ngunit hindi ko na nabanggit kung saan ba
Kailan nga ba magbabalik ka
Kailan nga ba

Hindi ako nakakibo sa iyo
At 'di ko rin alam ang isasagot ko
Dibdib ko ay kumakaba
Ngunit may halong saya
Ano pa kaya itong aking nadarama

Kailan kita muling makikita
Sa bahay namin ba ikaw ay pupunta
Ngunit hindi ko na nabanggit kung saan ba
Kailan nga ba magbabalik ka

Kailan kita muling makikita
Sa bahay namin ba ikaw ay pupunta
Ngunit hindi ko na nabanggit kung saan ba
Kailan nga ba magbabalik ka
Kailan nga ba
Kailan nga ba
"
"""Till It's Time""",Carol Banawa,"""Carol""","

I just, can't tell
This feeling here inside me
I feel, so strange
Whenever you are near me

Everytime I see you pass I smile
But then you never seem to realize
Its for your eyes
If you would say hello
It would be nice

[Chorus:]
Your in my mind
Almost all the time
Every single minute all I do is think of you
And deep inside
In this heart of mine
I have to go on wishing till its time

One day, you came
And you are oh so near me
I smiled, and then
You turn and did not see me
How am I supposed to get to meet you
What should I do
Your in my dreams, I feel it seems
That you don't feel it queit the way I do

[Chorus]

Yes deep inside
In this heart of mine
I have to go on wishing till its time

[Chorus]

Yeah...
Till it's time...
"
"""With This Song""",Carol Banawa,"""Carol""","

Some started with a smile
They ended of with a cry
Is this right? Or wrong?
Because I started with a song

From the very day I saw you
I knew that you're love is true
Your eyes brings the song in you
Your voice has made my dreams come true

[Chorus:]
With this song I gave you my love
With this song you be in my heart
I will cherished every tune you make
I will keep every breath you take
With this song I gave you my love

From the very day I saw you
I knew that you're love is true
Your eyes brings the song in you
Your voice has made my dreams come true

[Chorus]

Now that you're here with me
Singing songs under the tree
I wish our love will be forever
Cause our love's like no other

[Chorus]
"
"""Wait And Understand""",Carol Banawa,"""Carol""","

I saw you yesterday with another girl
When you looked my way
I just pretended I didn't see you
What else can I do

You were all I've wanted
'Cause you just don't seem to care
You took me for granted
And I don't think it is fair
But my heart keeps telling me
That you'd be there for me
And I'll just wait and understand

When you looked my way
I just pretended I didn't see you
What else can I do

You were all I've wanted
'Cause you just don't seem to care
You took me for granted
And I don't think it is fair
But my heart keeps telling me
That you'd be there for me
And I'll just wait and understand

But my heart keeps telling me
That you'd be there for me
So I'll just wait and understand
"
"""Kanino Ba""",Carol Banawa,"""Carol""","

Laging may nagsasabi
Pag-ibig muna'y iisantabi
Dahil bata pa raw ang katulad ko
At baka magsisi lang sa huli

Ako'y laging nakikinig
Ngunit minsa'y napipilit
Dahil may kakaibang nadarama
Nguni't 'di ko lang alam kung bakit

Kanino ba ako lalapit
Upang sabihin ang laman ng dibdib
Kung mayro'n mang manliligaw sa akin
Agad ko ba siyang sasagutin
O maghihintay ng tamang panahon
'Pagkat darating naman din iyon

Ang susundin ko ba ay kayo
O ang bulong ng puso ko
Ngunit huwag daw akong magmamadali
Baka ako ay magkamali

Kanino ba ako lalapit
Upang sabihin ang laman ng dibdib
Kung mayro'n mang manliligaw sa akin
Agad ko ba siyang sasagutin
O maghihintay ng tamang panahon
'Pagkat darating naman din iyon
...

O maghihintay ng tamang panahon
'Pagkat darating naman din iyon
Darating 'yon, ahh
Darating 'yon, ooh
"
"""'Pag Puso'y Nakialam""",Carol Banawa,"""Carol""","

Nang minsang ikaw ay nakita
Puso ko'y nalito at iiwas na sana
Ngunit bakit sadyang nagpumilit ka
At sa akin pa nga ay humabol pa
At 'di na nga naiwasan kita

Bakit kaya 'di ko maunawaan
Ang aking gagawin ay hindi ko malaman
'Pag ikaw ay aking nakikita
Sa iyo ay parang naiinis pa
Kung wala naman ay hinahanap ka

Tunay kayang may pagtingin
Ang aking puso't damdamin
Isip ay nalilito
Ano nga kaya ito
Laging naiisip ka
Kapag 'di na nakikita
Tunay nga kayang ganyan
'Pag puso'y nakialam

Bakit kaya 'di ko maunawaan
Ang aking gagawin ay hindi ko malaman
'Pag ikaw ay aking nakikita
Sa iyo ay parang naiinis pa
Kung wala naman ay hinahanap ka

Tunay kayang may pagtingin
Ang aking puso't damdamin
Isip ay nalilito
Ano nga kaya ito
Laging naiisip ka
Kapag 'di na nakikita
Tunay nga kayang ganyan
'Pag puso'y nakialam
...
"
