Song,Artist,Album,Lyrics
"""BMG""",Edward Barber,"""#E0806""","

You u u u
You are my
Huh, 1 2 3!

I didn't even realize
'Til I looked in your eyes
And everything was clear
You'll never shed a tear
If only you would pick me
I would take away your fears
And this feels so right

'Cause you u u u u
You are my everything
You are my sweetest thing
And I will never leave your side
Oh u u u u
You mean the world to me
You're everything I see
If only you can be

(My girl, oh my girl)
(My girl, oh my girl)

This, this I promise you
My love will always be forever true
And now that you are here
I promise I'll be here
Whenever you are down
I will always give a cheer
And this feels so right

'Cause you u u u u
You are my everything
You are my sweetest thing
And I will never leave your side
Oh u u u u
You mean the world to me
You're everything I see
If only you can be

We will watch the stars tonight
Until our hearts collide
I'll hold you in my arms
Until the sunrise comes
Yeaaaaah

You u u u u
You are my everything
And you u u u u
You mean the world to me

'Cause you u u u u
You are my everything
You are my sweetest thing
And I will never leave your side
Oh u u u u
You mean the world to me
You're everything I see
If only you can be

My girl
(Oh my girl)
If you could only be
My girl
(Oh my girl)
If you could only be
My girl
(Oh my girl)
If you could only be
My girl
(Oh my girl)
If you could only be
"
"""Please Stay""",Edward Barber,"""#E0806""","

The first time we met
I knew you'd be someone hard to forget
And then when we talked
I couldn't keep you out of my head
When I look in your eyes
I know there's no saying of bitter goodbyes
I can finally say
I think I found someone worth it to wait for

I want to know if you feel the same way
'Cause right now I want to say

Oh girl please stay right here in my life
You're perfect, no lies
You're my angel in disguise
I just want you to stay with me the whole time
I don't want you to go
Oh I want you to know
That I love you so

What do I have to do? Tell me
I just want you to feel the same way too
You're so beautiful in my eyes
My heart is racing and I can't deny

I want to know if you feel the same way
'Cause right now I want to say

Oh girl please stay right here in my life
You're perfect, no lies
You're my angel in disguise
I just want you to stay with me the whole time
I don't want you to go
Oh I want you to know
That I love you so

I love your eyes
I love your smile
I want you to stay

Oh girl please stay right here in my life
You're perfect, no lies
You're my angel in disguise
I just want you to stay with me the whole time
I don't want you to go
Oh I want you to know
That I love you so
That I love you so
That I love you so
"
"""Meant To Be""",Edward Barber,"""#E0806""","

Heart shaped clouds
Whenever we're together
Look around
Signs are everywhere

Baby, can't you see the stars?
They're not just shining
They're trying to show us something
That we were meant to be

With you I'm invincible
Heart becomes fixable
Girl, you are meant for me
Love ain't mythical
And we're not fictional
Girl, we were meant to be

You're like a puzzle piece that's been missin'
You are the one I have been waiting for
Girl, we were meant to be

All alone
In a stormy weather
You're the sunshine
After the rain

Baby, can't you hear the birds?
They're not just singin'
They're trying to tell us something
That we were meant to be

With you I'm invincible
Heart becomes fixable
Girl, you are meant for me
Love ain't mythical
And we're not fictional
Girl, we were meant to be

You're like a puzzle piece that's been missin'
You are the one I have been waiting for
Girl, we were meant to be

(Meant to be)
Meant to be
(Meant to be)

You're like a puzzle piece that's been missin'
You are the one I have been waiting for
Girl, we were meant to be

With you I'm invincible
Heart becomes fixable
Girl, we were meant to be
Love ain't mythical
And we're not fictional
Girl, we were meant to be

You're like a puzzle piece that's been missin'
You are the one I have been waiting for
Girl, we were meant to be

(Meant to be)
Meant to be
(Meant to be)
"
"""No One Else""",Edward Barber,"""#E0806""","

It's just you and me right now
I can't seem to say the words somehow
Looking at you feels so right
Falling for you I just might
But I'm still waiting for the right time 'cause

There's no one else in the world
I would rather spend my time with
There's no one else in the world
Who could make me smile

There's no one else in the world
I would love to sing this song to
There's no one else in my heart but you
There's no one else but you

Oh my, my
Oh my, my

I can't help control what I'm feeling
Will this be just as what I've been dreaming?
As I look into your eyes
I'm hoping you won't be surprised
But I'm still waiting for the right time 'cause

There's no one else in the world
I would rather spend my time with
There's no one else in the world
Who could make me smile

There's no one else in the world
I would love to sing this song to
There's no one else in my heart but you
There's no one else but you

Oh my, my
Oh my, my
"
"""'Di Makatulog""",Edward Barber,"""#E0806""","

'Di alam ang gagawin ko
Sa umaga sa gabi ikaw ang nasa isip ko
'Di malaman kung ano nga ba to
Pag-ibig nga ba ito?

'Di naman dating ganito
Sa'n ba kelan nga nagsimulang umibig sa'yo?
Pa'no ba aamin sa'yo?
Ayaw ko ng itulog ito

Gising parati hanggang alas kwatro
Gusto ko lang malaman mo

Nang makilala ka 'di makatulog
Ang 'yong mukha ang nagsisilbing kumot
Sa yakap mo ako'y sana'y mabalot
Ikaw na yata ang sagot

Ano ba ang ginawa mo sa akin?
'Pag nariyan ka'y lumulutang sa hangin
Mayroong nais sa'king damdamin
Na sana'y ika'y mapasakin

Parati nalang puyat
Nag-iisip kung pa'no magtatapat
Natatakot baka 'di pa sapat
Ang puso kong handang ibigay ang lahat

Gising parati hanggang alas kwatro
Gusto ko lang malaman mo

Nang makilala ka 'di makatulog
Ang 'yong mukha ang nagsisilbing kumot
Sa yakap mo ako'y sana'y mabalot
Ikaw na yata ang sagot

Ano ba ang ginawa mo sa akin?
'Pag nariyan ka'y lumulutang sa hangin
Mayroong nais sa'king damdamin
Na sana'y ika'y mapasakin

Ilang gabi nang napupuyat
Sana nama'y ako'y maharap
Baka sakaling mapagbigyan
Ang puso kong ikaw ang laman

Nang makilala ka 'di makatulog
Ang 'yong mukha ang nagsisilbing kumot
Sa yakap mo ako'y sana'y mabalot
Ikaw na yata ang sagot

Ano ba ang ginawa mo sa akin?
'Pag nariyan ka'y lumulutang sa hangin
Mayroong nais sa'king damdamin
Na sana'y ika'y mapasakin

Nang makilala ka 'di makatulog
Ang 'yong mukha ang nagsisilbing kumot
Sa yakap mo ako'y sana'y mabalot
Ikaw na yata ang sagot

Ano ba ang ginawa mo sa akin?
'Pag nariyan ka'y lumulutang sa hangin
Mayroong nais sa'king damdamin
Na sana'y ika'y mapasakin
"
"""Baliw""",Edward Barber,"""Maymay""","

Nang makita kita, napangiti mo na ako
At nang lumapit ka sinabi mo na gusto mo rin ako
At ngayon gusto kong sabihin saâyo
Ang nararamdaman kong ito
Na ikaw ang nilalaman ng aking puso

Baliw na baliw ako saâyo, aking sinta
Oh Maymay aking prinsesa
Gusto na gusto kita
Baliw na baliw ako saâyo, aking sinta
Oh Maymay aking prinsesa
Masasabi ko saâyo na mahal na mahal kita

Ah ah aha ahhha
Ah ah aha ahhha
Ah ah aha ahhha
Masasabi ko saâyo na mahal na mahal kita

Nang makita kita, napatibok mo na ang puso ko
At nang isang iglap, napatibok ko rin ang puso mo
At ngayon gusto kong sabihin saâyo
Ang nararamdaman kong ito
Na ikaw ang nilalaman ng aking puso

Baliw na baliw ako saâyo, aking sinta
Oh Maymay aking prinsesa
Gusto na gusto kita
Baliw na baliw ako saâyo, aking sinta
Oh Maymay aking prinsesa
Masasabi ko saâyo na mahal na mahal kita

Ah ah aha ahhha
Ah ah aha ahhha
Ah ah aha ahhha
Masasabi ko saâyo na mahal na mahal kita

Ah ah aha ahhha
Ah ah aha ahhha
Ah ah aha ahhha
Oh, Maymay ko mahal na mahal kita
"
"""Baliw (Punk Version)""",Edward Barber,"""Maymay""","

Nang makita kita, napangiti mo na ako
At nang lumapit ka sinabi mo na gusto mo rin ako
At ngayon gusto kong sabihin sa'yo
Ang nararamdaman kong ito
Na ikaw ang nilalaman ng aking puso

Baliw na baliw ako sa'yo, aking sinta
Oh Maymay aking prinsesa
Gusto na gusto kita
Baliw na baliw ako sa'yo, aking sinta
Oh Maymay aking prinsesa
Masasabi ko sa'yo na mahal na mahal kita

Ah ah aha ahhha
Ah ah aha ahhha
Ah ah aha ahhha
Masasabi ko sa'yo na mahal na mahal kita

Nang makita kita, napatibok mo na ang puso ko
At nang isang iglap, napatibok ko rin ang puso mo
At ngayon gusto kong sabihin sa'yo
Ang nararamdaman kong ito
Na ikaw ang nilalaman ng aking puso

Baliw na baliw ako sa'yo, aking sinta
Oh Maymay aking prinsesa
Gusto na gusto kita
Baliw na baliw ako sa'yo, aking sinta
Oh Maymay aking prinsesa
Masasabi ko sa'yo na mahal na mahal kita

Ah ah aha ahhha
Ah ah aha ahhha
Ah ah aha ahhha
Masasabi ko sa'yo na mahal na mahal kita

Ah ah aha ahhha
Ah ah aha ahhha
Ah ah aha ahhha
Oh, Maymay ko mahal na mahal kita
"
"""Pagbigyang Muli""",Erik Santos,"""This Is The Moment""","

Muli ay 'yong pagbigyan,
Ako'y nagkamali,
Muli ay 'yong patawarin,
Ako'y nagsisisi,
Alam kong ako'y nangakong di na mauulit pa
Ako'y nagkamali sa'yo,
Muli ay patawarin mo

Ako ba'y 'yong yayakapin?
Nakaraa'y kayang limutin?
Magtiwalang muli
Mahalin mong muli
Magbalik ka sa'kin

[CHORUS:]
'Di ko kakayanin kung ika'y mawawala sa aking piling,
'Di ko kakayanin pag nalaman kong wala nang pag-ibig sa akin
'Di kayang mag-isa, gustong kasama kita
Sa'yo lang ang pag-ibig ko
Magtiwalang muli, ito na ang huling pagkakamali
Pag-ibig ko'y muling tanggapin

Muli ay 'yong pagbigyan,
Pag-ibig natin,
Sabihin mo sa akin,
Ang 'yong gusto'y susundin,
Magtiwalang 'di sinasadyang maging di' tapat sa'yo
Doo'y nakalimot nga ako, nangyari'y 'di ko ginusto...

Ako pa ba'y kayang yakapin?
Ang init ng halik sa akin, kaya bang inalik?
Dama ang bawat saglit ng sakit ngayong wala ka na...

[REPEAT CHORUS]

[BRIDGE:]
Muling mahalin,
'Di kakayaning ika'y mawala sa aking piling,
Muling tanggapin, muling mahalin,
Ika'y magbalik, magtiwalang muli,
Muling ibalik ang pag-ibig na dati'y sa atin...
Pagkat...

[REPEAT CHORUS]

Muling tanggapin...
Muling tanggapin...
"
"""Di Ko Kaya""",Erik Santos,"""This Is The Moment""","

Kung mahal
Bakit 'di mo maunawaan
Ang pusong hindi alam ang kasalanan?
Sana'y pakinggan mo
Mga paliwanag ko
Kailan man ay hindi ako sa'yo magbabago

[CHORUS:]
'Di ko kaya na saktan ka
'Di ko kayang pasakitan ka
'Di ko kayang ang puso mo'y paluhain pa
'Di ko kaya na iwan ka
'Di ko kaya na lokohin
'Di ko kayang damdamin mo'y nagdurusa...

Kung tunay
Pag-ibig mo para sa akin
Ay huwag naman
Parusahan ang aking damdamin
Ako'y kausapin mo
Upang malaman ko
Bakit kailangan na ikaw sa aki'y magtampo

[REPEAT CHORUS]

Sana ay pagbigyan ang paki-usap ko
Naririto ako sumasamo muling buksan ang 'yong puso...

[REPEAT CHORUS]
"
"""Kung Akin Ang Mundo""",Erik Santos,"""This Is The Moment""","

Kung ako ang may-ari ng mundo
Ibibigay lahat ng gusto mo
Araw-araw pasisikatin ang araw
Buwan-buwan pabibilugin ko ang buwan
Para sa'yo, para sa'yo

Susungkitin mga bituin, para lang makahiling
Na sana'y maging akin
Puso mo at damdamin
Kung pwede lang, kung kaya lang
Kung akin ang mundo
Ang lahat ng ito'y iaalay ko sa'yo...

Kung ako ang hari ng puso
Lagi kitang pababantay kay kupido
Hindi na luluha ang 'yong mga mata
Mananatiling may ngiti sa 'yong labi
Para sa'yo, para sa'yo

Susungkitin mga bituin, para lang makahiling
Na sana'y maging akin
Puso mo at damdamin
Kung pwede lang, kung kaya lang
Kung akin ang mundo
Ang lahat ng ito'y iaalay ko sa'yo...
"
