Song,Artist,Album,Lyrics
"""Sa Paskong Darating""",Freddie Aguilar,"""Diwa Ng Pasko""","

Sa Paskong darating
Nais ko'y ikaw pa rin
Ang aking kapiling
At sa mga araw pang darating

Walang ibang hinihiling
Pangarap ko'y ikaw pa rin
Kung ito'y panaginip ay araw
Ayaw ko nang magising

Pag-ibig ko'y iyo
Kahit na hindi Pasko
Ang buhay kong ito
Ay laging laan sa'yo

Sana'y 'wag magbabago
Ang matamis mong pagtingin
Kahit na hindi Pasko, giliw
Ako'y lagi mong mahalin

Pag-ibig ko'y iyo
Kahit na hindi Pasko
Ang buhay kong ito
Ay laging laan sa'yo

Sa Paskong darating
Nais ko'y ikaw pa rin
Ang aking kapiling
At sa mga araw pang darating

Pag-ibig ko'y iyo
Kahit na hindi Pasko
Ang buhay kong ito
Ay laging laan sa'yo

Pag-ibig ko'y iyo
Kahit na hindi Pasko
Ang buhay kong ito
Ay laging laan sa'yo

Sa Paskong darating
Pag-ibig ko'y ikaw pa rin
"
"""Himig Pasko""",Freddie Aguilar,"""Diwa Ng Pasko""","

Malamig ang simoy ng hangin
Kay saya ng bawat damdamin
Ang tibok ng puso sa dibdib
Para bang hulog na langit

Himig Pasko'y laganap
Mayro'ng sigla ang lahat
Wala ang kalungkutan
Lubos ang kasayahan

Himig ng Pasko'y umiiral
Sa loob ng bawat tahanan
Masaya ang mga tanawin
May awit ang simoy ng hangin

Himig Pasko'y laganap
Mayro'ng sigla ang lahat
Wala ang kalungkutan
Lubos ang kasayahan

Malamig ang simoy ng hangin
Kay saya ng bawat damdamin
Ang tibok ng puso sa dibdib
Para bang hulog na langit

Himig Pasko'y laganap
Mayro'ng sigla ang lahat
Wala ang kalungkutan
Lubos ang kasayahan

Himig ng Pasko'y umiiral
Sa loob ng bawat tahanan
Masaya ang mga tanawin
May awit ang simoy ng hangin
May awit ang simoy ng hangin
May awit ang simoy ng hangin
"
"""Pasko Na Naman Kaibigan""",Freddie Aguilar,"""Diwa Ng Pasko""","

Pasko na naman aking kaibigan
Panahon na naman ng pagmamahalan
Ang paligid natin ay makakalasap na naman nitong katahimikan
Pasko

Pasko na naman aking kaibigan
Panahon na naman ng pagbibigayan
Lalaganap na naman ang kabutihan sa ating kapaligiran
Pasko

Pasko na naman
Pasko na naman
Pasko na naman
Pasko

Pasko na namang aking kaibigan
Panahon na naman ng pagmamahalan
Ang paligid natin ay makakalasap na naman nitong katahimikan
Pasko

Pasko na naman
Pasko na naman
Pasko na naman
Pasko

Pasko na naman
Pasko na naman
Pasko na naman
Pasko

Pasko na naman
Pasko na naman
Pasko na naman
Pasko

Pasko na naman
Pasko na naman
Pasko na naman
Pasko

Pasko na naman
Pasko na naman
Pasko na naman
Pasko
"
"""Pasko Ang Damdamin""",Freddie Aguilar,"""Diwa Ng Pasko""","

Nagbunga ng lahat itong mga pagtitiis
Sa lupang sinilangan akoây muling magbabalik
O kay tagal di naman ng aking pagkalayo
Sa kagustuhan kong sa hirap buhay mahango
Maramin araw at gabi ang aking binuno

Mga mahal ko ang nagpalakas ng aking loob
Hindi ko napansin ang takbo ng mga oras
Ngayon na akoây pabalik na sa Pilipinas
Pabilis ng pabilis ang tibok ng aking dibdib
Habang ang eroplanoây palapit ng palapit
Sa bayan kong kay tagal ding hindi na silip

Ngayon ay muli ko na itong mamamasid
Unti-unting bumababa itong sinasakyan
Ang sabi ng stewardess ituwid ang upuan
Lalapag na ang eroplano saâking inang bayan
Ang sayaâng nadarama walang mapag-sidlan

Pasko ang damdamin

Nagbunga ng lahat itong mga pagtitiis
Sa lupang sinilangan akoây muling magbabalik
O kay tagal di naman ng aking pagkalayo
Sa kagustuhan kong sa hirap buhay mahango
Maramin araw at gabi ang aking binuno

Mga mahal ko ang nagpalakas ng aking loob
Hindi ko napansin ang takbo ng mga oras
Ngayon na akoây pabalik na sa Pilipinas
Pabilis ng pabilis ang tibok ng aking dibdib
Habang ang eroplanoây palapit ng palapit
Sa bayan kong kay tagal ding hindi na silip

Ngayon ay muli ko na itong mamamasid
Unti-unting bumababa itong sinasakyan
Ang sabi ng stewardess ituwid ang upuan
Lalapag na ang eroplano saâking inang bayan
Ang sayaâng nadarama walang mapag-sidlan

Pasko ang damdamin
"
"""Pasko Na Sinta Ko""",Freddie Aguilar,"""Diwa Ng Pasko""","

Pasko na sinta ko hanap-hanap kita
Bakit nagtatampo nilisan ko
Kung mawawala ka sa piling ko sinta
Paano ang pasko inulila mo

Sayang sinta ang sinumpaan
At pagtitinginang tunay
Nais mo bang kalimutang ganap
Ang ating suyuan at galak

Kung mawawala ka sa piling ko sinta
Paano ang paskong alay ko sa'yo

Sayang sinta ang sinumpaan
At pagtitinginang tunay
Nais mo bang kalimutang ganap
Ang ating suyuan at galak

Sayang sinta ang sinumpaan
At pagtitinginang tunay
Nais mo bang kalimutang ganap
Ang ating suyuan at galak

Pasko na sinta ko hanap-hanap kita
Paano ang paskong alay ko sa'yo
Pasko na sinta ko
"
"""Diwa Ng Pasko""",Freddie Aguilar,"""Diwa Ng Pasko""","

Naririto ang Pasko
Lahat tayo ay magsaya
Ito'y araw na dakila
Sa Diyos na atin lumikha

Limutin n'yo ang alitan
Lahat tayo'y magmahalan
Ang diwa ng Pasko'y itanim sa puso mo magpakailan man

La la la
La la la

Mahalin mo ang iyong kapwa
Kahit na hindi Pasko
Ito'y ugaling maka-Diyos
Tandaan mo magpakailan man

Naririto ang Pasko
Lahat tayo ay magsaya
Ito'y araw na dakila
Sa Diyos na atin lumikha

La la la
La la la

Naririto ang Pasko
Lahat tayo ay magsaya
Ito'y araw na dakila
Sa Diyos na atin lumikha

Naririto ang Pasko
Lahat tayo ay magsaya
Ito'y araw na dakila
Sa Diyos na atin lumikha

Naririto ang Pasko
Lahat tayo ay magsaya
Ito'y araw na dakila
Sa Diyos na atin lumikha

Naririto ang Pasko
Lahat tayo ay magsaya
Ito'y araw na dakila
Sa Diyos na atin lumikha

Naririto ang Pasko
Lahat tayo ay magsaya
Ito'y araw na dakila
Sa Diyos na atin lumikha

Naririto ang Pasko
"
"""Dahil Sa Pasko""",Freddie Aguilar,"""Diwa Ng Pasko""","

Tumigil na naman ang digmaan ng bawat panig
Dahil sa pagdiriwang ng Pasko
Mga taong labas at tao ng pamahalaan
Nagkasundong itigil ang putukan

Payapa ang mundo
Dahil sa Pasko

Pati mga batang ulila ay may tahanan
Tuwing sasapit araw ng Pasko
Babae at lalaki, maliit o malaki
Nagdiriwang sa araw na ito

Payapa ang mundo
Dahil sa Pasko

Sana ay panatilihin diwa ng Pasko
Nang manatiling mapayapa na mundo
Sana ay panatilihin diwa ng Pasko
Nang manatiling mapayapa na mundo
Sana ay panatilihin diwa ng Pasko
Nang manatiling mapayapa na mundo

Payapa ang mundo
Dahil sa Pasko
Payapa ang mundo
Dahil sa Pasko
"
"""Sa Araw Ng Pasko""",Freddie Aguilar,"""Diwa Ng Pasko""","

Sa araw ng Pasko, ang tanging dasal ko
Sana'y makamtan ang mga pangarap mo
Walang ibang hiling kundi ligaya mo
'Pag tagumpay ka'y gano'n na rin ako

Ako'y asahan mo sa habang panahon
Laging karamay mo, lahat nang pagkakataon
Kaya sa darating na araw ng Pasko
Sana'y mangyari ang pangarap mo

At kung sakaling hindi mo makamit
Huwag kang malungkot, may pagkakataon
Habang may buhay ay may pag-asa
May bukas pang muli kaya huwag kang mangangamba

Sa araw ng Pasko, ang tanging dasal ko
Sana'y makamtan ang mga pangarap mo
Walang ibang hiling kundi ligaya mo
'Pag tagumpay ka'y gano'n na rin ako

At kung sakaling hindi mo makamit
Huwag kang malungkot, may pagkakataon
Habang may buhay ay may pag-asa
May bukas pang muli kaya huwag kang mangangamba

At kung sakaling hindi mo makamit
Huwag kang malungkot, may pagkakataon
Habang may buhay ay may pag-asa
May bukas pang muli kaya huwag kang mangangamba

Sa araw ng Pasko, ang tanging dasal ko
Sana'y makamtan ang mga pangarap mo
Walang ibang hiling kundi ligaya mo
'Pag tagumpay ka'y gano'n na rin ako
'Pag tagumpay ka'y gano'n na rin ako
"
"""Pasko Blues""",Freddie Aguilar,"""Diwa Ng Pasko""","

Hindi ko madama itong Pasko
Pagka't malayo ka sa piling ko
Naglalakad ang aking isipan
Nais marating ang pugad mo

Langit ay makulimlim
Paligid ay nagdidilim
Nagbabadya itong ulan
Nakikisama sa akin

Kahit naano'ng gawin ko
Ay ikaw ang hanap ng damdamin, damdamin

Hindi ko madama itong Pasko
Pagka't malayo ka sa piling ko
Naglalakad ang aking isipan
Nais marating ang pugad mo

Langit ay makulimlim
Paligid ay nagdidilim
Nagbabadya itong ulan
Nakikisama sa akin

Kahit naano'ng gawin ko
Ay ikaw ang hanap ng damdamin, damdamin

Langit ay makulimlim
Paligid ay nagdidilim
Nagbabadya itong ulan
Nakikisama sa akin

Kahit naano'ng gawin ko
Ay ikaw ang hanap ng damdamin, damdamin

Hindi ko madama itong Pasko
Pagka't malayo ka sa piling ko
Giliw ko
Giliw ko
"
"""Tuwing Pasko""",Freddie Aguilar,"""Diwa Ng Pasko""","

Tuwing Pasko, aking naririnig
Mga awit na kay saya
Mga tao ay masisigla
Lahat sila'y pawang masasaya

Sana ay laging ganito
Kahit na 'di araw ng Pasko
Masaya lagi ang mundo
Habang nabubuhay tayo

Sana'y laging ganito
Masayang lagi ang mundo
Ang mundo

Tuwing Pasko, aking naririnig
Mga awit na kay saya
Mga tao ay masisigla
Lahat sila'y pawang masasaya

Sana'y laging ganito
Masayang lagi ang mundo
Ang mundo
Tuwing Pasko
"
