Song,Artist,Album,Lyrics
"""(Everybody) Get Down""",Gary Valenciano,"""Interactive""","

Everybody's got to know
If you wanna get up,
You know you gotta get low
Everybody all around
If you wanna get up,
You know you gotta get down

Hey, what's up?
Now do you wanna get goin'?
I can see you movin' up just fine
But when you're there,
Don't you ever forget
All who's been behind you all the time

There's a need to play,
There's a time to pray
There ain't nothin' wrong
why you should do it everyday
It's for everyone to have some fun
What we all need to know
Is that the only way to get up is to get down

Everybody get down
Everybody get down
Get down
Get down, get down
You know the only way to get up is if you get down
Everybody get down

Hey there's nothing wrong if you wanna go on
I know it's your desire, you wanna make it strong
But when the going gets too rough and when you wanna give up
There may be something that you know you gotta do

There's a need to play,
There's a time to pray
There ain't nothin' wrong why you should do this everyday
It's for everyone out to have some fun
What we all need to know
Is that the only way to get up is to get down

Everybody get down
Everybody get down
Get down
Get down, get down
You know the only way to get up is if you get down
Everybody get down

Everybody's got to know
If you wanna get up,
You've gotta gotta get low
Everybody all around
If you wanna get up,
You've gotta first get down

Don't just say it in your mind, say it loud, let Him know
Many times you find what you never thought of before
More precios than silver, more precious than gold,
More than any other treasure you could ever own
Yeah yeah, yeah yeah

Na na na na na (na na na na na) [x4]

Everybody's got to know
If you wanna get up,
You've gotta get low
Everybody all around
If you wanna get up,
You've gotta, you've gotta get down

Everybody all around
If you wanna get up,
You've gotta get down

Everybody all around
If you wanna get up,
You've gotta get down
"
"""Only I""",Gary Valenciano,"""Interactive""","

Only I, no one else but only I
No one else but only I
Nobody else but I can call her mine
Only I, no one else but only I

Some people call her an angel
The answer to my prayers
She's all this heart of mine desires and knows
They say she's deep as a river
And gracious as the morn
Some people say
She's as lovely as a rose

They call her gentle
They call her true
They call her warm and kind
But only I, only I can call her mine

Some people say she's a candle
Glowing in the dark
They say she's the wind
That blows the clouds away
They say that she's like the sunshine
Through the pouring rain
Her smile can brighten up anybody's day

They call her radiant
They call her bright
They call her a star that shines
But only I, only I can call her mine

Only I have her heart
And only she has mine
Who'd have ever thought
A man like me could be
The one to say
She's with me all the way
The one to say she loves only me (only me)

Some people say she's the best thing
To ever come my way
They say she's a blessing
The best one in my life
They say that she's a jewel
So rare, so hard to find
They call her a wonder
They call her one of a kind

They call her precious
They call her dear
They call her divine
But only I, only I can call her...
The one that I'll love forever
Only I, only I can call her mine
(Only I, no one else but only I)
(No one else but only I)
(Only I, no one else but only I)
Only I, can call her mine
"
"""More And More""",Gary Valenciano,"""Interactive""","

There's something about the rain when it pours
It gets me thinkin' of you more and more
There's something about the way you are
That takes this empty feeling oh so far

Now I know can't deny what I am feeling
Can I hold you, can I have you a little longer
Can I know you, through my eyes let me tell you
I'm loving you more and more

There's something about the warmth of your touch
That came for a moment yet told me so much
I wish I didn't have to waste all that time
When I made believe that you are mine

Now I know can't deny that I am falling
'Cause I love you, wanna have you by me forever (and ever)
Can I hold you, through my eyes let me tell you
(I'm lovin' you more)

If you knew what I've been going through
Would you feel the same way too
Tell me now what more can I do to get to know you
And open up your heart
Show me where to start
'Cause I'm loving you more and more
(More and more)
More and more
(More and more)

Now I know can't deny that I am falling
('Cause I love you) You should know
I'm lovin' you so
Wanna have you by me forever (and ever)
Can I hold you, through my eyes let me tell you
I'm lovin' you more and more
(Can I know you) You should know
I'm lovin' you so
Wanna have you by me forever (and ever)
(Can I hold you) I wanna hold you
Through my eyes let me tell you
I'm loving you more and more...
"
"""As You Are""",Gary Valenciano,"""Interactive""","

In a world
When nothing seems to matter no more
Where everybody is out to get a little more and more
There you are shining like a star
Every minute of the day
(Showing us the way)
And all that one has got to do
Is call your name and know
That what you were before
You are today will be tomorrow
'Cause you have a soul desire
To share this love with everyone
So when you're down and out and lonely
If you need some lovin' He's got a lot to show
God, He'll never leave
You just got to believe
Don't you go believin' the Devil
He takes pleasure in his lies
Jesus is the giver of life

And He'll just take you as you are
No need to be a hero or a superstar
All your needs are known
He'll make you know
That He is provider
And He'll just take you as you are
Don't you know that He can mend your broken heart
No matter where you've gone
Or what you've done
No, it doesn't matter
('Cause He'll just take you as you are)

You walk around
And show the world that all is alright
Yet not a word is heard about the truth
(You're losing the fight)
Day by day
Taking come what may
Giving in to just 'bout anything and everything and everything
Suddenly things zip from bad to worst
And now you find
You need direction
You need a hand, the loving kind
But He's got a soul desire
To share this love with everyone
So when you gotta get it goin'
He will hear you calling eager to make you know
That He'll never leave
You just got to believe
To the soul of every believer
He takes pleasure in your life
Jesus is the way, the truth and life

And He'll just take you as you are
No need to be a hero or a superstar
All your needs are known
He'll make you know
That He is provider
And He'll just take you as you are
Don't you know that He can mend your broken heart
No matter where you've gone
Or what you've done
No, it doesn't matter
('Cause He'll just take you as you are)

Quit feeling so unworthy
Don't we never really make up too much
Why I feel so alive
It's only because of a Yahweh's touch
[?]
What we've got to do
It's only because of the faithfulness
Of Him we'll promise to

Take you as you are
(No need to be a hero or a superstar)
All your needs are known
He'll make you know
He is provider
And He'll just take you as you are
Don't you know that He can mend your broken heart
No matter where you've gone
Or what you've done
No, it doesn't matter
('Cause He'll just take you as you are)

He'll just take you as you are
No need to be a hero or a superstar
All your needs are known
He'll make you know
That He is provider
He'll just take you as you are
"
"""Di Bale Na Lang""",Gary Valenciano,"""Interactive""","

Minsan sabi niya sa akin sandali na lang
Akala ko naman ay sigurado na ako
Handa kong tanggapin ang kanyang oo
Bigla na lang nagbago ang isip niya
Hindi ko akalain na gano'n pala siya
Pinaasa niya lang ako
Bitin na bitin ako
Oooh woh

Hindi ko na alam kung makakaya ko pa
Di bale na lang kaya
Ako pa ba kaya ang nasa puso niya
Di bale na lang kaya
Ngunit mahal ko siya
Di bale na lang
Di bale na lang
Di bale na lang

Ngayon araw-araw lumilipas ang panahon
Kalimutan ko siya'y malayo sa isip ko
Di kaya, pinaikot niya lang ako
Bigla na naman nagbago ang isip niya
Pagkakataon ko na mapasagot ko siya
Pag ang sinabi ko'y di mabili
Baka mapahiya muli...

Hindi ko na alam kung makakaya ko pa
Di bale na lang kaya
Ako pa ba kaya ang nasa puso niya
Di bale na lang kaya
Ngunit mahal ko siya
Di bale na lang
Di bale na lang
Di bale na lang

Bakit ka naman ganyan
Ano pa ba kayang paraan
Pero kung kailangan mo naman ako
Agad akong tumatakbo
Di bale na lang
Di bale na lang
Di bale na lang

Bitin na bitin ako
oh... oh... oh

Hindi ko na alam kung makakaya ko pa
Di bale na lang kaya
Ako pa ba kaya ang nasa puso niya
Di bale na lang kaya
Ngunit mahal ko siya
Di bale na lang
Di bale na lang
Di bale na lang

Hindi ko na alam kung makakaya ko pa
Di bale na lang kaya
Ako pa ba kaya ang nasa puso niya
Di bale na lang kaya
Ngunit mahal ko siya
Di bale na lang
Di bale na lang
Di bale na lang

Di bale na lang...
Ooh ooh ooh ooh ooooooh...
"
"""Take Me Out Of The Dark""",Gary Valenciano,"""Interactive""","

Just what is it in me
Sometimes I just don't know
What keeps me in your love
Why you never let me go
And though you're in me now
I fall and hurt you still
My Lord, please show me how
To know just how you feel
'Cause you have forgiven me
Too many times, it seems
I feel I'm not what you might call
A worthy Christian after all
And though I love you so
Temptation finds its way to me

Teach me to trust in you with all of my heart
To lean not on my own understanding
'Cause I just forget
You won't give me what I can't bear
Take me out of the dark, my Lord
I don't wanna be there, no no no more

You've never left my side
You gave your hand to me
To hold, oh Jesus
I'm no longer in the cold
And yet, I leave you there
When I feel satisfied
I'd like to thank you everyday
Not only when I feel this way
I've never known a man
Who'd give his life for sinners like me
And yet because he loves us so
He's promised us eternity
And we can have that promise and be His
If we have faith and just believe

Teach me to trust in you with all of my heart
To lean not on my own understanding
'Cause I just forget
You won't give me what I can't bear
Take me out of the dark, my Lord
'Cause I don't wanna be alone
Take me out of the dark, my Lord
I don't wanna be there, no no
My Lord

Teach me to trust in you with all of my heart
To lean not on my own understanding
'Cause I just forget
That you won't give me what I can't bear
Take me out of the dark, my Lord
'Cause I don't wanna be alone
I don't wanna be there no more
May your glory be yours, my King, my Lord
"
"""May Kasama Ka""",Gary Valenciano,"""Interactive""","

Sa hirap ng buhay
Balita ko'y nais mong bumigay
Sa tindi ng problema
Nais mo raw bumitaw
Huwag kang mawawalan ng pag-asa
Hindi ka nag-iisa

Sa hirap at ginhawa
Kaibigan may kasama ka
Kahit na anong pagsubok
Kahit na ano pa'ng dumating
Kahit na kahapon mo'y kay dilim
Araw ay sisikat din

Kaibigan ba't hindi ka magdasal
Isiping laging may nagmamahal
Tunay na magkaibigan
Walang iwanan

Kumulog, bumagyo, makalbo man ang ulo
Lumahar, kumidlat, tumaba o pumayat
Tumanda, bumaha, iwan ka man ng iyong asawa
Hindi ka nag-iisa
Kaibigan may kasama ka
(Kaibigan, may kasama ka)

Malayo man ang pangarap
Maaabot mo rin
Basta't ika'y magsikap
Malayo ang mararating
Huwag lang mawawalan ng pag-asa
Hindi ka nag-iisa
Sa hirap at ginhawa
Kaibigan may kasama ka

Kumulog, bumagyo, makalbo man ang ulo
Lumahar, kumidlat, tumaba o pumayat
Tumanda, bumaha, iwan ka man ng iyong asawa
Hindi ka nag-iisa
Kaibigan may kasama ka
(Kaibigan, may kasama ka)

Kumulog, bumagyo, makalbo man ang ulo
Lumahar, kumidlat, tumaba o pumayat
Tumanda, bumaha, iwan ka man ng iyong asawa
Hindi ka nag-iisa
Kaibigan may kasama ka
(Kaibigan, may kasama ka)

Laging may kasama ka
"
"""Face To Face""",Gary Valenciano,"""Interactive""","

If you let me I will be your shelter
I will be your strength and shield
As you battle in the field alone

There are moments when I sit
And look into this heart that now
You've made your home
Never really understanding
All that you have done
To change this heart
To flesh from stone
It's at these moments when I feel
I'd rather go my way
That I hear your spirit say

Babe won't you stay
Right here with me
I know your burdens
I know all your needs
And when you feel you stand alone
As you battle in the field
I will forever be your strength
Forever be your shield
For the rest of your days
'Til we meet face to face

Day by day I seem to fear the fight
As I do battle with these thoughts in my head
Thinking of what it would be like
For just today to do all that I've often felt
Only one could love somebody with a heart so cold
So lost just like my own
(But you keep on sayin')

Babe won't you stay
Right here with me
I know your burdens
I know all your needs
And when you feel you stand alone
As you battle in the field
I will forever be your strength
Forever be your shield
For the rest of your days
'Til we meet face to face

Sometimes I feel you should just give up on me
'Cause I keep pushin' you to the limit
But you never ever let me go
And with that still small voice
I hear you say to me
Come home
Come home

Babe won't you stay
Right here with me
I know your burdens
I know all your needs
When you feel you stand alone
As you battle in the field
I will forever be your strength
I'll forever be your shield
For the rest of your days
'Til we meet, we meet face to face

If you let me I will be your shelter
I will be your strength and shield...
"
"""Ikaw Lamang""",Gary Valenciano,"""Interactive""","

Ikaw lamang
Ang tangi kong iniisip
Ang lagi kong panaginip
Tayong dalawa ay laging nagmamahalan

Pangarap ko
Na kailan ma'y 'di maglaho
Ang pag-ibig kong ito
Pagka't hinding-hindi ko makakayang mawalay sa 'yo

Ikaw lamang ang buhay ko
Sana nama'y pakinggan mo
Ang puso ko na mayroong sinasabi

Ikaw lamang
Ang tangi kong minamahal
Ang lagi kong dinarasal
Sana'y habang buhay tayong magkasama
Ang puso ko'y
Ibibigay lamang sa 'yo
Ito ang aking pangako
Mula ngayon hanggang magpakailan pa man
Ikaw lamang

Ikaw lamang ang buhay ko
Sana giliw pakinggan mo
Ang puso ko na mayroong sinasabi

Ikaw lamang
Ang tangi kong minamahal
Ang lagi kong dinarasal
Sana'y habang buhay tayong magkasama
Ang puso ko'y
Ibibigay lamang sa 'yo
Ito ang aking pangako
Mula ngayon hanggang magpakailan pa man
Ikaw lamang
Ikaw lamang
"
"""Show Me The Way""",Gary Valenciano,"""Interactive""","

Show me the way to make you feel right
Never hesitate to give some room for me
Show me the way into your heart tonight
And I'll be there for you my love... girl anytime

So many time it seems through thick and thin we've been
Bumping around messing around almost have called it quits... (but love)
Is always on top of it all thicker and stronger we go
Coz we make a vow to show us how... we're made for one another
You know how much I care for all the things you are
I'm so devoted to you

If you just close your eyes and maybe realize
Running around loosing around
Leaving our cares behind (but life) full or uncertainties
Stress in big quantities we make mistake loosing our faith
But baby never to late...
If we just focus to live and love we will conquer the pain
And have everything to gain...

If you care... if you aware, I'm pulling myself alone
If you dare... love is share, sentimental groove baby
Deep inside my heart, it's just one name it's you
Baby... baby... baby... baby...

Come on baby just show me the way
You got to give me some direction once a while in the day
I can't do this alone, so leave me here on my own
You know it takes two together this lover thing going on
You can trust me girl in this crazy world
You know that no one else but me that can give love before

Yeah... oh so baby baby don't you give it a doubt cause
All the love I feel for you just wanna make me go shout... ohh!

If we focus to live and love
We conquer the pain and have everything to gain...
"
