Song,Artist,Album,Lyrics
"""Dahil Sa'yo""",Inigo Pascual,"""Inigo Pascual""","

Araw araw ikaw ang gusto kong kasama
Buhay ko'y kumpleto na tuwing nandidito ka
Sa tabi ko o aking giliw di pa din ako makapaniwala
Na ang dati kong pangarap ay katotohanan na

Ikaw ang tanging inspirasyon
At basta't nandito ka ako'y liligaya

Dahil sa'yo ako'y matapang
Dahil sa'yo ako'y lalaban
Para sa'yo pagmamahal na walang katapusan
Dahil sa'yo merong pangarap
Pagmamahal ko sayo'y tapat
Para sa'yo pagmamahal na higit pa sa sapat

Gagawin ko ang lahat para lang sa'yo sinta
At basta't nandito ka ako'y liligaya

Minuminuto naghihintay ng tawag mo
Marinig lang boses mo masaya't kuntento na ko
Wala ng iba pang hahanapin basta't ikaw ang aking kapiling
Lahat magagawa dahil kasama ka

Ikaw ang tanging inspirasyon
At basta't nandito ka ako'y liligaya

Dahil sa'yo ako'y matapang
Dahil sa'yo ako'y lalaban
Para sa'yo pagmamahal na walang katapusan
Dahil sa'yo merong pangarap
Pagmamahal ko sayo'y tapat
Para sa'yo pagmamahal na higit pa sa sapat

Gagawin ko ang lahat para lang sa'yo sinta
At basta't nandito ka ako'y liligaya

Ipinagdarasal ko ng sobra na sana'y tanggapin mo aking inaalay
Na pasasalamat sa pagliliwanag ng buhay kong ito
Na dati rati'y di ganito na kay ligaya
Oh tanggapin ang regalo
Oh mga rosas at choco
Liliwanag din ang buhay mo pag nilabas ko na ang puso ko

Ikaw ang tanging inspirasyon
Sa bawat araw na haharapin
Gagawin ko ang lahat para lang sa'yo sinta
At basta't nandito ka ako'y liligayaâ¦

Dahil sa'yo ako'y matapang
Dahil sa'yo ako'y lalaban
Para sa'yo pagmamahal na walang katapusan
Dahil sa'yo merong pangarap
Pagmamahal ko sayo'y tapat
Para sa'yo pagmamahal na higit pa sa sapat

Gagawin ko ang lahat para lang sa'yo sinta
At basta't nandito ka ako'y liligaya
"
"""Binibini""",Inigo Pascual,"""Inigo Pascual""","

Binibini sa aking pagtulog
Ika'y panaginip ko
Panaganip ng kathang dakila
Nitong pag-iisip ko
Ang katulad mo raw ay birhen
Sa abang altar ng punong pag-ibig
O kay ganda
O kay gandang mag-alay sa 'yo

Alaala, at isip at pagod
Sa yo'y binigay ko raw
Binibini, ang aking dalangi't dasal
Dininig mo raw
Wika mo raw ay iingatan ka
Magpakailanman ang purong pag-ibig
O kay ganda
O kay ganda mag-alay sa 'yo
Hooh...

Sa 'king tanong magkatutoo
Kaya
Sagot mo para nang sinadya
Hooh...

Pagsapit ng magandang umaga
Ako'y bumalikwas din
Panaginip naglaho't natunaw
Nguni't nar'yan ka pa rin
Paraluman, ikaw ay akin
Sa bisang lakas ng purong pag-ibig
O kay ganda
O kay gandang mag-alay sa 'yo
O kay ganda
O kay gandang mag-alay sa 'yo
"
"""Dito""",Inigo Pascual,"""Inigo Pascual""","

Eto na naman
Wala ng magawa
Dahil sa nararamdaman
Pilit-pilitin man itago ang laman
Ng puso di ko magawa

Sana naman makita mo
Na Ikaw lang naman ang hanap-hanap ko

Dito ka na lang sa piling ko
'Wag na wag ka nang aalis
Dito ka na lang sa yakap ko
'Wag na wag ka ng bibitiw

Dito ka na lang
Dito ka lang

Naguguluhan kung saan saan naghanap
Pero di makahanap ng katulad mo
Kung sa'kin ka lang di ka sasaktan
Pangako hinding hindi ka iiwan

Sana naman makita mo
Na Ikaw lang naman ang hanap-hanap ko

Dito ka na lang sa piling ko
'Wag na wag ka nang aalis
Dito ka na lang sa yakap ko
'Wag na wag ka ng bibitiw
"
"""That Hero""",Inigo Pascual,"""Inigo Pascual""","

Waiting for a hero to save you
Waiting for a miracle
Waiting for an angel to come
But nobody's come your way

Waiting for divine intervention
Waiting for some action
Waiting for redemption to come
But nothing has happened

Suspend all your disbelief, no
'Cause what you've been lookin' for
Is here all along

You could be that hero! Hero!
You could be that hero! Hero!
You could be that hero! Hero!
You could be that hero! Hero!
You could be that hero!

You could be tha... oh
You could be tha... no
You could be that, that hero

Lookin' for a better life
Dreamin' of a better you
Hoping for a brighter tomorrow
It now all depends on you
Neither here nor there
Been lookin' everywhere
Can't find it anywhere
It's in you...

You could be that hero!
Flying up in the sky
Invincible from the fire
You could be that hero!
Slaying villains
The mountais will move
At the touch of your hand
You could be that hero!
Saving worlds in a day
Breaking bondages
Come what may
You could be that hero!
Just believe and receive
And His power be vested on you

Just like in a movie scene
You're trapped somewhere in between
A vicious killing machine
You're shouting, ""Somebody save me!""
But life ain't a movie
You gotta get up
Just stand up
'Cause you know
You know the hero is you!
You!
You know, you know
But you wish, you...

You could be that hero!
Flying up in the sky
Invincible from the fire
You could be that hero!
Slaying villains
The mountais will move
At the touch of your hand
You could be that hero!
Saving worlds in a day
Breaking bondages
Come what may
You could be that hero!
Just believe and receive
And His power be vested on you
You could be that hero!

Neither here nor there
Been lookin' everywhere
Can't find it anywhere
It's in you, you, you...

Neither here nor there
Been lookin' everywhere
Can't find it anywhere
It's in you...
"
"""Fallen""",Inigo Pascual,"""Inigo Pascual""","

One, two...

Hmmm hmmm, ohh ohh

I never thought someone like you, would ever come along
The big question was where, where did I belong
Now I'm sitting next to you, singing you this song
Please notice me, cause I've been here all day long

I never really knew what I wanted or needed
You came and all the fear and sadness ended
I thought to myself, maybe it's right
Or maybe it's wrong, but I hope you like me too
Cause I think I just realised
I have fallen for youuuu, woah
Fallen for youuuu

Your laugh, your smile and the way you cringe your nose
When you try to lie but you can't cause it really shows
The funny little things that you do that makes me crazy
I'll try to show you, cause I really want you to see it

I never really knew what I wanted or needed
You came and all the fear and sadness ended
I thought to myself, maybe it's right
Or maybe it's wrong, but I hope you like me too
Cause I think I just realised
I have fallen for youuuu, woah
Fallen for youuuu

No matter how far
No matter how long
I'll have to wait for you
You know I'd do it 'cause I really want you
Dont matter what they think
Don't matter what they say
I will wait for you
I will wait for you, yeah

Don't you know, don't you know that I've fallen for youuuu
I have fallen for youuuu, oh
Fallen for youuuu
(Don't you know, don't you know)
(I have fallen for you)

I never really knew what I wanted or needed
(I have fallen for you)
You came, and all the fear and sadness ended
(I have fallen, fallen, fallen)
I thought to myself, maybe it's right or maybe it's wrong
But I hope you like me too
Cause I think I just realised
I have fallen for you (fallen, I have fallen for you)
Fallen for you (da da da da da da da, I'm fallen)
Ooh yeah (fallen, fallen)
"
"""Your Love""",Inigo Pascual,"""Inigo Pascual""","

You tell your friends you're on my mind
You don't need nothing but my time
These moments will never come again
'Cause I'm still moving on with all the pain girl

I'm in love when I'm sober
Don't wait too long till it's over
I'm in love when I'm sober
Don't wait too long till I'm gone home

Your love's got me feeling so high tonight
Your love's got me feeling so high tonight
Yeah, yeah, yeah

I keep holding on to something I don't realize
Thinking bout you, thinking out loud what we were from the start

'Cause I'm in love when I'm sober
Don't wait too long till it's over
'Cause I'm in love when I'm sober
Don't wait too long till I'm gone home

Your love's got me feeling so high tonight
Your love's got me feeling so high tonight
Yeah, yeah, yeah

Your love's got me feeling so high tonight
Your love's got me feeling so high tonight
"
"""Ikaw At Ako""",Inigo Pascual,"""Inigo Pascual""","

ohoooh ikaw at ako ohooho

bakit kaya ganyan ang epekto ng pag-ibig
dati-rati'y estranghero ngayon ay makapiling
ang sarap ng piling
sino bang mag aakalang aabot sa ganto ohooh
pero di na rin importante yun basta alam ko ikaw at ako

ohhoooh ikaw at ako lang keso na kung keso
ohoooh ikaw at ako oh oh oh
wo oh ikaw at ako oh oh oh
wo oh ikaw at ako oh oh oh

tumigil man ang ikot ng mundo
palibutan man ng pagbabago

oh oh ikaw at akooo
wohoohohoh ikaw at ako oh oh oh

minsan di mo napapansin na ako ay nakatitig
at napapa OMG lalo akong nahuhumaling
pasensya na kung minsan matigas ang ulo ko ohoohh
iniingatan ko lang naman ang laman, ikaw ang laman ng isip ko

ohooohh ikaw at ako lang keso na kung keso
ohooohh ikaw at ako oh oh ohh

wo oh ikaw at ako ohoohh ohoohh ohoohh
wo oh ikaw at ako ohoohh ohoohh ohoohh

tumigil man ang ikot ng mundo
palibutan man ng pagbabago
wo oh ikaw at akoooo
ohoohh ikaw at ako ohoohh ohoohh

ohoohh ikaw at ako wo oh oh
ohoohh ikaw at ako wo oh oh
wo oh ikaw at ako lang keso na kung keso
ikaw at ako wo oh oh

ohoohh ikaw at ako ohoohh ohoohh
ohoohh ikaw at ako ohoohh ohoohh
tumigil man ang ikot ng mundo
palibutan man ng pagbabago

wo oh ikaw at akooo
ikaw at ako
wooooohhh oh oh oh
ikaw at ako
wooooohhh oh oh oh
ikaw at ako
wooooohhh oh oh oh
ikaw at ako
wooooohhh oh oh oh
"
"""Live Life Brighter""",Inigo Pascual,"""Inigo Pascual""","

Go well, you gotta live life brighter
Go well

Today is a new day, you gotta find your way
Discover possibilities
Now you do it your own way
You gotta find your own way up
There's no other way but up
Stack the deck, 'cause you gotta live life
You gotta live life

And I am thankful for the love
Another day has begun
I'm captivated
If you live another day, another chance
And in a glance
You'll know you gotta live brighter

Everything is good under the sun
Go well, you gotta live life brighter
Go well, you gotta live life brighter

Be good to your body, be good to yourself
Run outside today, don't forget to play
On your way up, there's no other way but up
Exercise your right to life
You gotta live life

Forever thankful for the love
Another day has begun
I'm captivated
If you think and get ahead
Get up from bed, just use your head
You know you gotta live brighter

Everything is good under the sun
Go well, you gotta live life brighter
Go well, you gotta live life brighter
Go well, you gotta live life brighter
Go well, you gotta live life brighter

A new day
Running free and nobody can stop me
'Cause life just gets brighter and brighter
A new day
If you and I made it this far
Oh there's no need to worry
There's no need to worry

Forever thankful for the love
Another day has begun
I'm captivated
If you think and get ahead
Get up from bed, just use your head
You know you gotta live brighter

Everything is good under the sun
Go well, you gotta live life brighter
Go well, you gotta live life brighter
Go well, you gotta live life brighter
Go well, you gotta live life brighter
"
"""Dito (Acoustic Version)""",Inigo Pascual,"""Inigo Pascual""","

Heto na naman
Wala ng magawa
Dahil sa nararamdaman
Pinipilit naman itago ang laman
Ng puso di ko magawa

Sana naman makita mo
Na Ikaw lang naman ang hanap-hanap ko

Dito ka na lang sa piling ko
'Wag na wag ng aalis
Dito ka na lang sa yakap ko
Wag na wag ng bibitiw

Naguguluhan kung saan saan naghanap
Pero di makahanap ng katulad mo
Kung sa'kin ka lang di ka sasaktan
Pangako hinding hindi ka iiwan

Sana naman makita mo
Na Ikaw lang naman ang hanap-hanap ko

Dito ka na lang sa piling ko
'Wag na wag ng aalis
Dito ka na lang sa yakap ko
Wag na wag ng bibitiw
"
"""Lullabye-Bye""",Inigo Pascual,"""Inigo Pascual""","

She found me on a balcony
In my head I was living dead
Standing so close to the edge
Wanted to be free so I didn't see that
She was there, I didn't even care
Until she threw her arms around me
And said ""don't you ever give in""
I know you're tired, but I swear
You'll never have a nightmare again

If you just let me sing this lullaby for you,
Don't want you to cry so just
Close your eyes now and sleep
And sleep (for a little while)
While I sing this lullaby for you
Just know that I am here for you
You can rest here with me
And when you wake you'll see

Lullabye-bye
For the pain and the sorrow
Lullabye-bye
When you wake up tomorrow
You can bid goodbye
To every tear that you ever cried
With this lullaby
(With this lulla-lulla-bye-bye)

When she found me
I was lost at sea with
Lightning flashing, waves were crashing
The storm was blowing me away
Drowning endlessly in
My own misery and
I couldn't breathe, I wanted to leave
Until she threw her arms around me
And said ""don't you ever give in""
I know you're tired, but I swear
You'll never have a nightmare again

If you just let me sing this lullaby for you,
Don't want you to cry so just
Close your eyes now and sleep
And sleep (for a little while)
While I sing this lullaby for you
Just know that I am here for you
You can rest here with me
And when you wake you'll see

Lullabye-bye
For the pain and the sorrow
Lullabye-bye
When you wake up tomorrow
You can bid goodbye
To every tear that you ever cried
With this lullaby
(With this lulla-lulla-bye-bye)

And I was about to give up
Just wanted all my nightmares to stop
But then she saved my life
The night she said to me

Let me sing this lullaby for you,
Don't want you to cry so just
Close your eyes now and sleep
And sleep
While I sing this lullaby for you
Just know that I am here for you
You can rest here with me
And when you wake you'll see

Lullabye-bye
For the pain and the sorrow
Lullabye-bye
When you wake up tomorrow
You can bid goodbye
To every tear that you ever cried
With this lullaby
(With this lulla-lulla-bye-bye)

Lullabye-bye
For the pain and the sorrow
Lullabye-bye
When you wake up tomorrow
You can bid goodbye
To every tear that you ever cried
With this lullaby
(With this lulla-lulla-bye-bye)

Lullabye-bye
For the pain and the sorrow
Lullabye-bye
When you wake up tomorrow
You can bid goodbye
To every tear that you ever cried
With this lullaby
(With this lulla-lulla-bye-bye)

Lullabye-bye
For the pain and the sorrow
Lullabye-bye
When you wake up tomorrow
You can bid goodbye
To every tear that you ever cried
With this lullaby
With this lullaby, babe
"
