Song,Artist,Album,Lyrics
"""Grow Old With You""",Jimmy Bondoc,No Album,"

I wanna make you smile
Whenever you're sad
Carry you around
When your arthritis is bad
Oh, all I wanna do
Is grow old with you

I'll get you medicine
When your tummy aches
Build you a fire
If he furnace breaks
Oh, it could be so nice
To grow old with you

I'll miss you
I'll kiss you
I'll give you my coat when you are cold
I need you
I'll feed you
Even let you hold the remote control so

Let me do the dishes
In our kitchen sink
Put you to bed
When you've had too much to drink
Oh, I could be the man
To grow old with you

I'll miss you
I'll kiss you
Give you my coat when you are cold
I need you
I'll feed you
Even let you hold the remote control

I'll miss you
I'll kiss you
Give you my coat when you are cold
I need you
I'll feed you
Even let you hold the remote control

I wanna make you smile
Whenever you're sad
Carry you around
When your arthritis is bad
Oh, all I wanna do
Is grow old with you

I could be the man
To grow old with you
"
"""Hanggang Dito Na Lang""",Jimmy Bondoc,No Album,"

Akala ko'y habang buhay tayo
Akala ko'y hanggang dulo
Kay haba pa ng kalsada
Dito na ba tayo bababa
Kung ganito na nga bang usapan
Kung dito na ang hangganan
Dapat sigurong iwasan
Ang mga minsang kamustahan

Mga nakasanayan
Dapat ng kalimutan
Upang di tayo magkasakitan

Hanggang dito na lang
Hanggang dito na lang
Ikaw ba ang nagbago
O ako
O tayo
Baka tayo

Hanggang dito na lang
Hanggang dito na lang
Kung tunay ang paalam
Wag ka nang magparamdam
Dahil humihirap lang
Hanggang dito na lang...

Akala ko'y habambuhay ang awit
Akala ko'y hanggang langit
Kay haba pa ng kantahan
Dito na ba tayo tatantan
Kung ganito na nga ang tadhana
Sara'ng pinto at bintana
Dapat sigurong iwasan ang pagkatok sa'ting nakaraan
Mga nakaugalian dapat nang pagbawalan
Sunugin na ang mga larawan

Hanggang dito na lang
Hangang dito na lang
Ikaw ba ang nagbago
O ako
O tayo
Baka tayo

Hanggang dito na lang
Hangang dito na lang
Kung tunay ang paalam
Wag ka nang magparamdam dahil humihirap lang

Hanggang dito na lang
Ang ganda na sana
Bakit biglang nag-iba
Ikaw ba ang nagbago
O ako
O tayo
Baka tayo

Hanggang dito na lang
Hanggang dito na lang
Kung tunay ang paalam wag ka nang magparamdam
Dahil humihirap lang
Hanggang dito na lang
"
"""I Believe""",Jimmy Bondoc,No Album,"

I believe
Na ikaw lang at ako
Kung kaya't tayo ay pinagtagpo

I believe
Ang kapalaran mo'y ako
At sana ay ganun din ang puso mo

Noong una ay hindi mo ako gusto
Kaibigan lang ang turing mo
Paano na ako

Araw araw maghihintay
Hawak lamang ang sinabi mong
Baka mahal mo rin ako
Tama na sa'kin ang minsa'y
Binigyan mo ng pag-asa
Basta't mahal kita
Ikaw lang at ako ang magsasabi ng I Love You

I Believe
May ibang pangarap ka
At ka'y tagal nating di magkikita

Kung saan
Ka dalhin ng puso mo
Asahan mong ang pag-ibig ko'y sa'yo

Lumipas ang araw at parang kay tagal
Sa mga bituin nakatingin
Kausap ay ikaw

Araw araw maghihintay
Hawak lamang ang sinabi mong
Baka mahal mo rin ako
Tama na sa'kin ang minsa'y
Binigyan mo ng pag-asa
Basta't mahal kita
Ikaw lang at ako ang magsasabi ng I Love You

Ang buhay ko'y ikaw kailanpaman
Kahit tayo'y magkalayo
Tadhana na ang siyang daan
Ng pag-ibig mo'y maramdaman
Basta't ito ang pangako ko

Araw araw maghihintay
Hawak lamang ang sinabi mong
Baka mahal mo rin ako
Tama na sa'kin ang minsa'y
Binigyan mo ng pag-asa
Basta't mahal kita
Ikaw lang at ako ang magsasabi ng I Love You
Ikaw lang at ako ang magsasabi ng I Love You
"
"""Let Me Be The One""",Jimmy Bondoc,No Album,"

Somebody told me you were leavin'
I didn't know
Somebody told me you're unhappy
But it doesn't show

Somebody told me that you don't want me no more, no
So you're walkin' out the door

Nobody told me you've been cryin'
Every night
Nobody told me you'd been dyin'
But didn't want to fight

Nobody told me that you fell out of love from me
So I'm settin' you free

Let me be the one to break it up
So you won't have to make excuses
We don't need to find a set up where
Someone wins and someone loses

We just have to say our love was true
But has now become a lie
So I'm tellin' you I love you one last time
And goodbye

Somebody told me you still love me
I don't know why
Nobody told me that you only
Needed time to fly

Somebody told me that you want to come back when
Our love is real again

Let me be the one to break it up
So you won't have to make excuses
We don't need to find a set up where
Someone wins and someone loses

We just have to say our love was true
But has now become a lie
So I'm tellin' you I love you one last time
And goodbye

Just turn around and walk away
You don't have to live like this, no, no
But if you love me still then stay
Don't keep me waiting for that final kiss

We can work together through this test
Or we can work through it apart
I just need to get this off my chest
That you will always have my heart

Let me be the one

Let me be the one to break it up
So you won't have to make excuses
We don't need to find a set up where
Someone wins and someone loses

We just have to say our love was true
But has now become a lie
So I'm tellin' you I love you one last time
And goodbye
"
"""Yaya""",Jimmy Bondoc,No Album,"

May pag-ibig pa palang ganto
Tila sumusubaybay ang buong mundo
Bawat tingin, bawat sulyap
Walang bawal sa pangarap
May wakas ba ang hiwagang kay sarap

Yaya-yain kita
Sa tamang panahon, sa altar ng Poon
Yaya-kapin kita
Kung hindi man ngayon,
darating tayo do'n
Kung mahal mo ako
at mahal din kita
Balang-araw tayo ring dalawa

Kahit pader, di tayo mapaghiwalay
Kahit matatanda'y di tayo masaway
Bawat puso'y sumisigaw
Hinihintay lang ang araw
na kahit 'sang saglit, ikaw ay matanaw

Yaya-yain kita
Sa tamang panahon, sa altar ng Poon
Yaya-kapin kita
Kung hindi man ngayon,
sa madaling panahon
Kung mahal mo ako
at mahal din kita
Balang-araw tayo ring dalawa

Kung may hahadlang man sa pagmamahalan
Wag mag-alala, puso ko'y sa'yo lamang
Panahon natin ito
Bakit natin isusuko
Balang-araw, alaala natin ito

Yaya-yain kita
Sa tamang panahon, sa altar ng Poon
Yaya-kapin kita
Kung hindi man ngayon,
Sa madaling panahon
Kung mahal mo ako
at mahal din kita
Balang-araw tayo ring dalawa
(Balang araw sinta)
Kung mahal mo ako
at Mahal din kita
Balang araw tayo ring dalawa
"
"""Ika'y Mahal Pa Rin""",Jovit Baldivino,No Album,"

Kailangan ba na magwakas itong pag-ibig
Bukas kaya'y wala kana sa king isip
Hindi mo ba naalalang mga kahapon
Na dati ay anong saya't anong tamis

Sadyang pag-ibig natin ay nakakapanghinayang
Ngunit sa ting mga mata ito'y kalabisan lamang
Patuloy lang masasaktan ang mga puso
O bakit kay sakit pa rin ng paglayo

Wala ka man ngayon sa aking piling
Nasasaktan man ang puso't damdamin
Muli't muli sa âyo na aaminin
Ika'y mahal pa rin

At kung sa kali na muling magkita
At madama na mayro'n pang pag-asa
Hindi na natin dapat pang dayain
Hayaan natin puso ang magpasya

Wala na bang puwang sayo ang aking puso
Wala na bang ganap ang dating pagsuyo
Mali ba ang maging tapat sa mga pangako
Sa atin aang lahat kaya'y isang laro

Sadyang pagibig natin ay nakakapanghinayang
Ngunit sa âting mga mata ito'y kalabisan lamang
Patuloy lang masasaktan ang mga puso
O bakit kay sakit pa rin ng paglayo

Wala ka man ngayon sa aking piling
Nasasaktan man ang puso't damdamin
Muli't muli sa âyo na aaminin
Ika'y mahal pa rin

At kung sa kali na muling magkita
At madama na mayro'n pang pag-asa
Hindi na natin dapat pang dayain
Hayaan natin puso ang magpasya

Wala ka man ngayon sa aking piling
Nasasaktan man ang puso't damdamin
Muli't muli sa âyo na aaminin
Ika'y mahal pa rin

At kung sa kali na muling magkita
At madama na mayro'n pang pag-asa
Hindi na natin dapat pang dayain
Puso ang magpapasya
Wala ka man ngayon sa aking piling
Nasasaktan man ang puso't damdamin
Muli't muli sa âyo na aaminin
Ika'y mahal pa rin
At kung sa kali na muling magkita
At madama na mayro'n pang pag-asa
Hindi na natin dapat pang dayain
Hayaan natin puso ang magpasya
"
"""Mula Sa Puso""",Jovit Baldivino,No Album,"

Bakit nga ba ang puso
Pag nagmamahal na
Ay sadyang nakapagtataka
Ang bawa't sandali
Lagi nang may ngiti
Dahil langit ang nadarama
Para bang ang lahat ay walang hangganan
Dahil sa tamis na nararanasan
Kung mula sa puso ay tunay ngang ganyan

Nais ko'y ikaw ang laging yakap-yakap
Yakap na sana'y walang wakas
Sana'y laging ako ang iniisip mo
Sa maghapon at sa magdamag

Init ng pag-ibig ating pagsaluhan
Kung mayroong hahadlang
'Di ko papayagan
Kung mula sa puso ay tunay ngang ganyan

Nais ko'y ikaw ang laging yakap-yakap
Yakap na sana'y walang wakas
Sana'y laging ako ang iniisip mo
Sa maghapon at sa magdamag

Init ng pag-ibig ating pagsaluhan
Kung mayroong hahadlang
Aking paglalaban
Kung mula sa puso ay tunay ngang ganyan
Kung mula sa puso ay tunay ngang ganyan
"
"""Pusong Bato""",Jovit Baldivino,No Album,"

Nang ika'y ibigin ko
Mundo ko'y biglang nagbago
Akala ko ika'y langit
Yun pala'y sakit ng ulo
Sabi mo noon sa 'kin
Kailan may di mag babago
Naniwala naman sa'yo
Ba't ngayo'y iniwan mo

Di mo alam dahil sa'yo
Ako'y di makakain
Di rin makatulog
Buhat ng iyong lokohin
Kung ako'y muling iibig
Sana'y di maging katulad mo
Tulad mo nama'y pusong bato

Kahit san ka man ngayon
Dinggin mo itong awitin
Baka sakaling ikay magising
Ang matigas mong damdamin

Di mo alam dahil sa'yo
Ako'y di makakain
Di rin makatulog
Buhat ng iyong lokohin
Kung ako'y muling iibig
Sana'y di maging katulad mo
Tulad mo nama'y pusong bato

Di mo alam dahil sa'yo
Ako'y di makakain
Di rin makatulog
Buhat ng iyong lokohin
Kung ako'y muling iibig
Sana'y di maging katulad mo
Tulad mo nama'y pusong bato

Di mo alam dahil sa'yo
Ako'y di makakain
Di rin makatulog
Buhat ng iyong lokohin
Kung ako'y muling iibig
Sana'y di maging katulad mo
Tulad mo nama'y pusong bato
Tulad mo nama'y pusong bato
Tulad mo nama'y pusong bato
"
"""The Side Character""",Janine Berdin,"""WTF I actually wrote these songs""","

I'm at the bottom of the list
I'm not the type to take a risk
You see my name and ask, ""who's this?""
Perfect example of it is what it is

My only goal's to do no wrong
Whichever is I'll go along
Bury my thoughts in all my songs ('cause)
My music is where I belong

And if we meet eyes
Look away and pass by
I'm not worth the time, go with the flow

Cus I make sure that I
Don't stand out cus I'm
Afraid to go and break the status quo

I'm mediocre, I'm a bore
I'm the first knight to die in a war
A side character, nothing more
If not extraordinary, what am I here for?

You on your worst day is my best
A look at you and I'm depressed
Stuck in a cycle of a medieval quest
Nah, I'm really just a mess

Yeah I make sure that I
Don't stand out cus I'm
Afraid to go and break the status quo

Cus when I'll choose to try
To word out all my rhymes
I still won't get the lead for the whole show

Ay, hehe, sorry

I'm mediocre, I'm a bore
I'm the first knight to die in a war
A side character, nothing more
If not extraordinary, what am I here for?

I'm mediocre, I'm a bore
I'm the first knight to die in a war
A side character, nothing more
I'm not extraordinary, what am I here for

If this were a movie
Then I'd understudy
The fifth extra crossing the street

Wish I were the main the girl
The center of your world
A wish is a dream that can't be

I'm sorry that I'm me
I'm sorry that I'm me
I'm sorry that I'm positively negative and weak

But I'm happy that I'm me
I'm glad that I am me
I'd rather be the supporting role who's pretty cute and meek
"
"""Araw-Araw, Ikaw""",Janine Berdin,"""WTF I actually wrote these songs""","

Pagpikit ng aking mga mata
Ikaw ang nakikita
Ayokong mawala
Pa'no nakuha
Di inaakala
Araw, araw-araw
Ikaw

Ang tanong nila
Pag himbing ko ba
Anong 'yong panaginip?
'Wag ka sanang
Magalinlangan kung ikaw ang sasabihin
Dahil araw-araw, ikaw...
Araw (araw)
Araw (araw)
Ikaw

Libo-libo ang pagdududa ko
Sa'yo lang sigurado
Ito na nga
Ikaw nga talaga
Ang simula gitna at dulo
Araw, araw ikaw...
Araw (araw)
Araw (araw)
Ikaw

Ang tanong nila
Pag himbing ko ba
Anong 'yong panaginip?
'Wag ka sanang
Magalinlangan kung ikaw ang sasabihin
Dahil araw-araw, ikaw...
Araw (araw)
Araw (araw)
Ikaw
"
