Song,Artist,Album,Lyrics
"""Crazy Love""",Kim Chiu,"""Gwa Ay Di""","

I hate the way you walk
Hate the way you talk
Hate the way you look at me

I hate the way you smile
Hate those big brown eyes
Cause I know there not for me

[Chorus:]
Cause/but we can never be
More than friends and it hurts me
Every time I close my eyes
All I see is you and this
Crazy love, crazy love,
Oh this crazy love, crazy love...

I hate thinking of you
Cause every time I do
I just keep on missing you
And I hate the way I feel every time you're near
Cause it feel like time standing still

[Chorus]

I hate it when you're blue
And how I care for you
Hate the way my heart decides
And I hate those sleepless nights
And the pain I kept inside
But I keep pretending it's all right

[Chorus]

I don't know what to do
Hate me for loving you
Cause I know its wrong for me to say
I love you
"
"""Gwa Ai Di""",Kim Chiu,"""Gwa Ay Di""","

Ikaw, nag-iisang ikaw
Nagbibigay lakas na kayanin ang pagsubok ng mundo
Kung wala masukuban kapag umuulan
Asahan mo nandito lang ako

[Chorus:]
Hanggang sa ating pagtanda
Lagi kong patatanda Gwa Ai Di
Asahan mo ang puso ko ay para lang sayo
Minamahal kita Gwa Ai Di

Mula ngayon at kailanman
Ang puso ko ay sa iyo lamang
Pilitin man ang panahon
Ilayo tayong dal'wa
Ikaw pa rin ang hahanapin ko
Kung ika'y mag-iiba
Ako'y mangangamba
Dahil ikaw, ikaw ang buhay ko

[Chorus]

Mula ngayon at kailanman
Ang puso ko ay sa iyo lamang
Isa man sa ating mawala
Mayron ala-ala
Hahawakan sa muling pagkikita

[Chorus]
"
"""Trying""",Kim Chiu,"""Gwa Ay Di""","

I've finally know what the meaning of love is
I've finally know how it will end
I've finally know when to make decisions
I've finally know how to control

But the weird thing that I'm feeling
Is not the same
And I don't know what I'm feeling
And I don't know how it remains

And I'm trying to do my best, do my best for you
And I'm trying to be myself, be myself for you
Oh it's just hard to love but the love is strong
I just can't feel the love and I feel that it's not wrong
I'm trying to do my best, do my best
Just to love you

I saw you with someone and it's hard to explain
To explain the feeling that can't go away
It's hard to forget what you did to me
I don't really know what my feeling should be

But the weird thing that I'm feeling
Is not the same
And I don't know what I'm feeling
And I don't know how it remains

And I'm trying to do my best, do my best for you
And I'm trying to be myself, be myself for you
Oh it's just hard to love but the love is strong
I just can't feel the love and I feel that it's not wrong
I'm trying to do my best, do my best
Just to love you, love you

I finally know what the meaning of love is...
"
"""Peng You""",Kim Chiu,"""Gwa Ay Di""","

[Juris:]
Sa lahat ng luha
Lagi kang may kasama
Sa gitna ng ulan
Karamay mo ako kaibigan

[Kim:]
Sa tatahakin mong daan
Di kita iiwan
Di ka na mag-iisa
Kaibigan

[Chorus:]
[Kim:]
Peng you e sheng yi chi chou
Na xie re chi bu chai you
[Juris:]
Ating pagkakaibigan
Di magbabago kailanman

[Kim:]
Peng you bu zhen gu dan gua
Yi sheng peng you ni hui dong
[Juris:]
Kahit na magkalayo
Nandito ka sa 'king puso

[Repeat Chorus]

[Kim & Juris:]
Ni shing hua ni bei she
Kaibigan' kahit kailan
"
"""Yue Liang Dai Biao Wo De Xin""",Kim Chiu,"""Gwa Ay Di""","

Ni wen wo ai ni you duo shen
Wo ai ni you ji fen
Wo de qing ye zhen
Wo de ai ye zhen
Yue liang dai biao wo de xin

Ni wen wo ai ni you duo shen
Wo ai ni you ji fen
Wo de qing bu yi
Wo de ai bu bian
Yue liang dai biao wo de xin

Qing qing de yi ge wen
Yi jin da dong wo de xin
Shen shen de yi duan qing
Jiao wo si nian dao ru jin

Ni wen wo ai ni you duo shen
Wo ai ni you ji fen
Ni qu xiang yi xiang
Ni qu kan yi kan
Yue liang dai biao wo de xin

Qing qing de yi ge wen
Yi jin da dong wo de xin
Shen shen de yi duan qing
Jiao wo si nian dao ru jin

Ni wen wo ai ni you duo shen
Wo ai ni you ji fen
Wo de qing ye zhen
Wo de ai ye zhen
Yue liang dai biao wo de xin

Wo de qing ye zhen
Wo de ai ye zhen
Yue liang dai biao wo de xin
Yue liang dai biao wo de xin
"
"""Heartbreak Song""",Kim Chiu,"""Gwa Ay Di""","

Bakit kaya ganito aking nadarama
Nasasaktan, nang hindi naman nalalaman
Kung meron man akong hiling
Sa puso kong ito
Hindi sana'y hindi sa tulad mo

Gulong gulo ang isip ko
Sa puso kong ito
Hindi alam kung bakit ba
Ikaw ang minahal
Kung kaya ko lang sanang pigilan
Ang aking pusong,
Piliin ka para ibigin ko

Pag ibig ba ay sadyang di maintindihan
Puso't isipan ay hindi rin magkasunduan
Kung kaya kong, limutin ka
Ay ginawa ko na
Ano bang meron ka't mahal kita

Gulong gulo ang isip ko
Sa puso kong ito
Hindi alam kung bakit ba
Ikaw ang minahal
Kung kaya ko lang sanang pigilan
Abng aking pusong,
Piliin ka para ibigin ko

Gulong gulo ang isip ko
Sa puso kong ito
Hindi alam kung bakit ba
Ikaw ang minahal
Kung kaya ko lang sanang pigilan
Ang aking pusong,
Piliin ka para ibigin ko
"
"""I've Fallen For You""",Kim Chiu,"""Gwa Ay Di""","

[Kim:]
What is this I'm feeling
I just can't explain
When you're near,
I'm just not the same
I try to hide it
Try not to show it
It's crazy
How could it be?

I've fallen for you
Finally my heart gave in
And I've fallen in love
I finally know how it feels

[Gerald:]
When you said hello
I look in your eyes
Suddenly I felt good inside
Is this really happen
Or am I just dreamin'
I guess it's true
I can't belive

[Both:]
I've fallen for you
Finally my heart gave in
And I've fallen in love
I finally know how it feels
So this is love

[Gerald:]
Doesn't matter where I am
[Kim:]
Thoughts of you still linger in my mind
[Both:]
No matter what time of day
I've really really fallen for you

[Both:]
I've fallen for you
Finally my heart gave in
And I've fallen in love
I finally know how it feels

I've fallen for you
Finally my heart gave in
And I've fallen in love
I finally know how it feels
So this is love
"
"""Mr. Right""",Kim Chiu,"""Chinita Princess""","

Isang araw na di' handa
Naglaro ang tadhana
Nang ika'y makita
Mata natin ay nagtugma
Puso ko may kulang, napuno nalang bigla
Bakit kaya? Pagibig na kaya?

Hindi ko mapigilan ang aking nadarama
Pag ika'y kasama, ang pangit ay gumaganda
Sabi nga nila, kung tunay na ang pagsinta
Mala pelikula, happy ending pa

Ikaw nga ba si Mr. Right?
Ikaw nga ba love of my life?
Ikaw nga ba ang icing sa ibabaw ng cupcake ko?
Ikaw nga ba si Mr. Right? (Mr. Right)
Ikaw nga ba love of my life? (Of my life?)
Ikaw nga ba magbabalik ngiti sa'king mga mata
Si Mr. Right ka ba?
Mr. Right na ba? Mr. Right ka ba?

Kahit na malabo, di alam sa'n tutungo
Pero di' ipagkakait ang hinihiling ng puso ko
Matagal narin naghihintay, tumibok ang puso ko
O sana nga, si Mr. Right ka na

Ikaw nga ba si Mr. Right?
Ikaw nga ba love of my life?
Ikaw nga ba ang icing sa ibabaw ng cupcake ko?
Ikaw nga ba si Mr. Right? (Mr. Right)
Ikaw nga ba love of my life? (Of my life)
Ikaw nga ba magbabalik ngiti sa'king mga mata
Si Mr. Right ka ba?

May iisang nilalang para sa buhay mo
May iisang nilalang na para lang sa'yo

Ikaw nga si Mr. Right? (Mr. Right)
Ikaw nga ba love of my life? (Of my life)
Ikaw nga ba ang icing sa ibabaw ng cupcake ko?
Si Mr. Right ka ba?
Mr. Right ka ba?
Mr. Right ka ba?
Mr. Right ka ba?
Mr. Right ka ba?
"
"""Darating Din""",Kim Chiu,"""Chinita Princess""","

ooohh

dati-rati pangarap lang sa isipan
dati-rati ay pasulyap sulyap lang
kaytagal ko ring naghihintay
kaytagal ko ring sumasablay
ngiti mo ay inaasam
pansin mo ba'y di ko pa alam

dara-dara-darating din
ika'y maging akin. pa pa
para-para-parating din
ikay makapiling
balag araw isang araw
pana-panahon lang 'yan
dara-dara-darating din
ika'y maging akin

unti-unting bumibilis
unti-unting nababago
pag ikot ng mundo
dinig ang panalangin ko
biglang ika'y nasa tabi
yakap-yakap ko at kaylambing
ngunit naglahong kaybilis
daig pa ang ihip ng hangin

dara-dara-darating din
pag-ibig na akin. pa pa
para-para-parating din
ligayang 'di inaasahan
bumubuhos unti-unti
mula sa langit
dara-dara-darating din
panahon para sakin

ngunit kung kinakailangan
akoy narito lamang
at i-bip-bip-bip-bip-bip mo lang
payakap at akoy magpapaalam
andito lang ako naghihintay sayo

dara-dara-darating din
pag-ibig na akin. pa pa
para-para-parating din
ligayang 'di inaasahan
bumubuhos unti-unti
mula sa langit
dara-dara-darating din
panahon para sakin
"
"""Wala Man Sa'yo Ang Lahat""",Kim Chiu,"""Chinita Princess""","

Wala man sayo ang lahat, wag kang mangamba (aaaah, aaah)
Wala man sayo ang lahat, iniibig kita (aaaah, aaah)
Hindi ka man yung tipo, na makikita sa TV at sa dyaryo
Ang sinisigaw ng puso, ikaw ang mahal ko (woooh, woah, wooohoh, woah)
Wala man sayo ang lahat, sakin ay ikaw lang (aang, aaang)
Wala man sayo ang lahat, hanap ka sa tuwina (aaah, aaah)
Ang bawat pintig ng puso ko, sinisigaw ang pangalan mo
Sa lungkot at sa ligaya, kasama mo ko

Ang mundo ko ay naging masaya
Salamat sa Diyos, nakilala kita
Buong buhay koây nag iba, gumaan talaga
Ganito pala pag nag magmahal, Sinta

Wala man sayo ang lahat, wag kang mag â alala (aaaah, aaah)
Wala man sayo ang lahat,sa puso koây ikaw lang (aaang, aaang)
Kahit ano pang ang sabihin nila, bastaât para sakin ang mahalaga
Ang pag-ibig na wagas, nating dalawa

Ang mundo ko ay naging masaya
Salamat sa Diyos, nakilala kita
Buong buhay koây nag iba, gumaan talaga
Ganito pala pag nag mamahal, Sinta

Ang mundo ko ay naging masaya
Salamat sa Diyos, nakilala kita
Buong buhay koây nag iba, gumaan talaga
Ganito pala pag nag mamahal

Ang mundo ko ay naging masaya
Salamat sa Diyos, nakilala kita
Buong buhay koây nag iba, gumaan talaga
Dahil ikaw ang aking kasama Sinta

Wala man sayo ang lahat
"
