Song,Artist,Album,Lyrics
"""Anak""",Lani Misalucha,No Album,"

Noong isilang ka sa mundong ito
Laking tuwa ng magulang mo
At ang kamay nila ang iyong ilaw
At ang nanay at tatay mo'y
Di malaman ang gagawin
Minamasdan pati pagtulog mo
At sa gabi'y napupuyat ang iyong nanay
Sa pagtimpla ng gatas mo
At sa umaga nama'y kalong ka
Ng iyong amang tuwang-tuwa sa iyo
Ngayon nga ay malaki ka na
Nais mo'y maging malaya
Di man sila payag
Walang magagawa
Ikaw nga ay biglang nagbago
Naging matigas ang iyong ulo
At ang payo nila'y sinuway mo
Di mo man lang inisip na
Ang kanilang ginagawa'y para sa iyo
Pagkat ang nais mo'y
Masunod ang layaw mo
Di mo sila pinapansin
Nagdaan pa ang mga araw
At ang landas mo'y naligaw
Ikaw ay nalulong sa masamang bisyo
At ang una mong nilapitan
Ang iyong inang lumuluha
At ang tanong,""anak, ba't ka nagkaganyan""
At ang iyong mga mata'y biglang lumuha ng di mo napapansin
Nagsisisi at sa isip mo'y
Nalaman mong ika'y nagkamali
Nagsisisi at sa isip mo'y
Nalaman mong ika'y nagkamali
Nagsisisi at sa isip mo'y
Nalaman mong ika'y nagkamali...
"
"""Bayan Kang Magiliw (Awit Sa Ating Bayang Minamahal)""",Lani Misalucha,No Album,"

Bayan kang magiliw sa amin
Kailan pa ma'y hindi magdidilim
Busilak ang dilaw, puti, pula, bughaw
Dama sa 'yong tatlong bituin at araw

Sa dami ng iyong pinagdaanan
Iba't ibang sigwa ang naranasan
Kapit lang sa Dios na may pagtitiwala
Pinagtagumpayan nang mapayapa

Magkaisang tinig, sa panalangin pagpalain
Ang pinakamamahal na lupang hinirang natin
Watawat mo'y itataas, itatanyag, itatanghal
Ang awit sa ating bayang minamahal

Tunay ang pagmamahal sa'yo
Buhay ay langit sa piling mo
Duyan ng magiting ang pumipintig
Lulan ng walang hanggang pag-ibig

Magkaisang tinig, sa panalangin pagpalain
Ang pinakamamahal na lupang hinirang natin
Watawat mo'y itataas, itatanyag, itatanghal
Ang awit sa ating bayang minamahal

Namumukod-tanging pagsinta, sa dibdib mo'y buhay
Walang kasing alab ng pusong binibigyang pugay
Binibigyang pugay

Magkaisang tinig, sa panalangin pagpalain
Ang pinakamamahal na lupang hinirang natin
Watawat mo'y itataas, itatanyag, itatanghal
Ang awit sa ating bayang minamahal

Watawat mo'y itataas, itatanyag, itatanghal
Ang awit sa ating bayang minamahal

Bayan kang magiliw
Bayan kang magiliw sa amin
"
"""Bayaning Tunay""",Lani Misalucha,"""Songs From Home""","

[Gary V:]
Bawat araw ay may digmaan
Di mo man lang nakikita ang kalaban

[RVA:]
Balot na balot sa panablang saplot
Halos walang pahinga

[ZZP:]
At kagipita'y hindi nila iniinda
[POPS:]
Di man lang makapiling ang pamilya
[Erik:]
Ang maglingkod ang kanilang isinumpa
[Angeline:]
Kahit buhay pa nila ang nakataya

[Sam C:]
Kailangan na sila ay tulungan
[KZ:]
Hindi natin sila dapat kalimutan
[Lea:]
Sino pa ba kundi tayo-tayo rin
Ang kikilos para sa bayan natin

[Martin:]
Saludo, saludo
Sa inyong kabayanihan
[Ogie:]
Salamat, salamat
Sa inyong pagmamalasakit
[Piolo:]
Mahal namin kayo, ng taos puso
[Martin / Ogie / Piolo:]
Bayaning tunay kayo

[Bamboo:]
Saludo, saludo
Sa inyong kabayanihan
[Ely:]
Salamat, salamat
Sa inyong pagmamalasakit
[Rico:]
Mahal namin kayo, ng taos puso
Bayaning Tunay kayo

[Lani:]
Kayrami ng mga nasawi
Sa puso natin sila'y Mananatili
[Morissette:]
Hindi sa ganito matatapos ito
[Janine:]
Magsama-sama na tayo

[Christian B / Kyla:]
Saludo, saludo
Sa inyong kabayanihan
[Jed and Klarisse:]
Salamat, salamat
Sa inyong pagmamalasakit
[Jason Dy / Noel C / Nyoy:]
Mahal namin kayo, ng taos puso
Bayaning tunay kayo

[All (with aria by Lara Maigue):]
Saludo, saludo
Sa inyong kabayanihan
Salamat, salamat
Sa inyong pagmamalasakit
Mahal namin kayo, ng taos puso
Bayaning tunay kayo
Bayaning tunay kayo
"
"""Bukas Na Lang Kita Mamahalin""",Lani Misalucha,No Album,"

Kay hirap palang umibig sa di tamang panahon
Kung bakit ngayon ko lang natagpuan ang isang katulad mo

Sana noon pakita nakilala
Sana noon pa lang na ang puso ay malaya pang magmahal

Bukas nalang kita mamahalin
Sabay sa paglaya ng ating mga puso
Bukas na lang kita mamahalin

Kay hirap pa lang umibig sa di tamang panohon
Kung bakit ngayon ko lang natagpuan ang isang katulad mo

Sana noon pakita nakilala
Sana noon pa lang na ang puso ay malaya pang magmahal

Bukas nalang kita mamahalin
Sabay sa paglaya ng ating mga puso
Bukas na lang kita
Bukas na lang kita
Bukas na lang kita
Mamahalin
"
"""Grown Up Christmas List""",Lani Misalucha,No Album,"

Do you remember me?
I sat upon your knee
I wrote to you
With childhood fantasies

Well I'm all grown up now
Can you still help somehow
I'm not a child
But my heart still can dream

So here's my lifelong wish
My grown up Christmas list
Not for myself
But for a world in need

No more lives torn apart
That wars would never start
And time would heal all hearts

And everyone would have a friend
And right would always win
And love would never end
This is my grown up Christmas list

As children we believe
The grandest sight to see
Was something lovely
Wrapped beneath the tree

But heaven surely knows
That packages and bows
Can never heal a hurting human soul

No more lives torn apart
That wars would never start
And time would heal our hearts

And everyone would have a friend
And right would always win
And love would never end, no
This is my grown up Christmas list

What is this illusion
Called the innocence of youth
Maybe only in our blind belief
Can we ever find the truth
Ohhh

No more lives torn apart
(No more torn apart)
That wars would never start
(Never start)
And time would heal all hearts
(Oh, hearts)

Everyone would have a friend
(One would have a friend)
And right would always win
(Would always win)
And love would never end
(Never, never end, no)

This is my grown up Christmas list
This is my only lifelong wish
This is my grown up Christmas list
"
"""Healing""",Lani Misalucha,No Album,"

Now that we have gotten through
One more fall
I can just admit I've got it all
Cause I do
Cause I've got you
We've crossed these battle lines to many times
It passes through the heart
But it never leaves a mark

Cause Your love just keeps on healing me
No matter how I bruise
If I just trust You
Your love just keeps on healing me
One more clue
One more chance that wasn't there before
In your arms
No pain can harm the way I'm feeling
Lord I know that Your love is healing

I've kicked around those lines inside my head
But I've never listened to the words that You said
See where it's lead
Well I know I have it now
Cause You showed me how
And all I had to do
Was just to keep my eyes on You

Cause Your love just keeps on healing me
No matter how I bruise
If I just trust You
Your love just keeps on healing me
One more clue
One more chance that wasn't there before
In your arms
No pain can harm the way I'm feeling
Lord I know that Your love is healing

Cause Your love just keeps on healing me
No matter how I bruise
If I just trust You
Your love just keeps on healing me
One more clue
One more chance that wasn't there before
In your arms
No pain can harm the way I'm feeling

Lord I know that Your love is healing
"
"""I Can't Give Anymore""",Lani Misalucha,No Album,"

I gave my all to you
You took the best of me
I should have left before
I was torn completely
Wondering, can we come back from this?
Wishing I'd get back what we had
All our moments of bliss

I don't want to try
I don't want to write our love story
Another story with an ending that leads nowhere

I can't give anymore
I can't give anymore
Our last petal falls
I lost my life to keep you
I never left your side
But I can't give anymore
What was this for?

You have no remedy
It's all been said and done
It's time we realize this is our setting sun
Here I am, nothing left to prove
I keep tryin' to fight but I still
Can't get through to you

I don't want to try
I don't want to write our love story
Another story with an ending that leads nowhere

I can't give anymore
I can't give anymore
Our last petal falls
I lost my life to keep you
I never left your side
But I can't give anymore

We both can see it
We both can see the end
We both can see it
We both can see the end

Thought I could win, try it again
But the memories keep burning my mind
Hoped I still could but I

I can't give anymore
I can't give anymore
Our last petal falls
I lost my life to keep you
I never left your side
But I can't give anymore
What was this for?

I can't give anymore
What was this for?
"
"""Iisa Lang""",Lani Misalucha,No Album,"

Pagibig na walang hanggan
Tanging sa'yo lamang inaaalay
Sana ay tanggapin ang pagibig na wagas
Asahan mo na hanggang wakas

At sa pagsapit ng gabi
Nais ko'y nariyan ka sa'king tabi
Minsan lang ako nangarap ng ganito
Sana nama'y magkatotoo

Iisa lang ang tinitibok ng puso
Iisa lang ang tanging mamahalin
Kung may dal'wang mahalagang tao dito sa mundo
Wala ng iba kundi ikaw at ako

Giliw sana'y pakinggan mo
Ang tunay kong nadarama
Totoong pagsinta at wala ng iba pang
Mamahalin at sasambahin

Iisa lang ang tinitibok ng puso
Iisa lang ang tanging mamahalin
Kung may dal'wang mahalagang tao dito sa mundo
Wala ng iba kundi ikaw at ako

Wala ng iba, kundi ikaw
Wala ng iba, kundi ikaw at ako
"
"""Iisa Pa Lamang""",Lani Misalucha,No Album,"

Sa dinami-dami ng aking minahal
Panandalian lamang at ilan ang nagtagal
Iisa pa lamang ang binabalikan
Alaala ng kahapong pinabayaan

Sa dinami-dami ng aking nakapiling
Kung sinu-sino ang umibig sa akin
Iisa pa lamang ang inaasam-asam
Ang nakalipas di maaaring balikan

At kahit iba na ang minamahal
Kung sinuman ang siyang may-ari ng iyong puso
Bawa't pangalan, kalaro't kaibigan
Iisa pa lamang ang minahal ko ng ganito

Sa dinami-dami ng aking nakapiling
Kung sinu-sino ang umibig sa akin
Iisa pa lamang ang inaasam-asam
Ang nakalipas di maaaring balikan

At kahit iba na ang minamahal
Kung sinuman ang siyang may-ari ng iyong puso
Bawa't pangalan, kalaro't kaibigan
Iisa pa lamang ang minahal ko ng ganito

At kahit iba na ang minamahal
Kung sinuman ang siyang may-ari ng iyong puso
Bawa't pangalan, kalaro't kaibigan
Iisa pa lamang ang minahal ko ng ganito
Iisa pa lamang
Iisa pa lamang
Iisa pa lamang ang minahal ko ng ganito
"
"""Isang Panalangin""",Lani Misalucha,No Album,"

Bumubulong ang langit
Sa ating mga puso
Nagpapaalala
Na ang Diyos ay pakinggan
Maging tunay sa paglilingkod
Sa kapwa at bayan
Buhayin natin
Ang pagmamahalan

Kay dilim man ng ating landasin
Huwag bibitiw, huwag lisanin
Iyong alalahanin
Pagsubok ay lilipas din
Nasa ating kamay
Ang tunay na pag-asa
Sa gabay ng Ama
Na lagi nating kasama

Isang panalangin
Isang panalangin ko'y mamalas
Katunlaran ng bayong Pilipinas
At sa bawat Pilipino
Dalangin ay maging maliwanag ang bukas
At manalig sa Diyos sundin kanyang landas
Isang panalangin ko'y maging ganap
Ang kapayapaan sa mundo

Nasa ating kamay
Ang tunay na pag-asa
Ang biyayang yaglay
Sa kapwa ay mag-alay

Isang panalangin
Isang panalangin ko'y mamalas
Kaunlaran ng bayang Pilipinas
At sa bawat Pilipino
Dalangin ay maging maliwanag ang bukas
At manalig sa Diyos sundin kanyang landas
Isang panalangin ko'y maging ganap
Ang kapayapaan sa mundo
Pag-ibig ay ialay... mo
(Ang pag-ibig ay ialay mo)
"
