Song,Artist,Album,Lyrics
"""Love Me Instead""",Moira Dela Torre,"""Moira""","

Oh my gosh
You just walked past me
Dreamed you just said you loved me
My heart is down on one knee
How do I move on from here

My heart is missing a half beat
I accidentally stepped on your feet
Didn't know how was I supposed to feel
Someone pinch me is this real

Hold me I'm falling
Save me I'm drowning
Baby just maybe
Maybe you can love me instead

Can't get you out of my head
I want you here till the end
Till all these fairytales come true
Can you love me instead

Can't live just being your friend
I'll hold your hand till the end
Won't you hear me say I love you
Again and again and again and again
Can you love me instead

Can't keep up you won't stop talking
All I hear is you proposing
Can you be my happy ending
Maybe take a chance on me

Hold me I'm falling
Save me I'm drowning
Baby just maybe
Maybe you can love me instead

Can't get you out of my head
I want you here till the end
Till all these fairytales come true
Can you love me instead

Can't live just being your friend
I'll hold your hand till the end
Won't you hear me say I love you
Again and again and again and again

You walked away I couldn't remember
What you said but I saw a number
On a tiny piece of paper
With ""Maybe take a Chance on Me""

Hold me I'm falling
Save me I'm drowning
Baby just maybe
Maybe you can love me instead

Can't get you out of my head
I want you here till the end
Till all these fairytales come true
Can you love me instead

Can't live just being your friend
I'll hold your hand till the end
Won't you hear me say I love you
Can you love me instead

Can't get you out of my head
I want you here till the end
Till all these fairytales come true
Can you love me instead

Oooh... Love me love me love me
Won't you here me say I love you
Again and again and again and again
Can you love me instead
"
"""Be My Fairytale""",Moira Dela Torre,"""Moira""","

Can you be my fairytale?
Can you make this ship set sail?
My mind is left in wonder
As I fix you in my gaze

Can you make my heart beat twice
Everytime I think it dies?
My mind is left in wonder
As I fix you in my eyes

And I... I need a Savior now
And I... I need to love You now

Be my fairytale, make this ship set sail
You're the real love I've been hoping for
Be my fairytale, I know this love won't fail
I need a knight in shining armor to say
""Hey hey, be my fairytale""

Can you be my destiny?
Can you stay right here with me?
My mind is left in wonder
As I solve this mystery

Can you hold my hand so tight
And show me how the birds could fly?
My mind is left in wonder
As I fix you in my eyes

And I... I need a Savior now
And I... I need to love You now

Be my fairytale, make this ship set sail
You're the real love I've been hoping for
Be my fairytale, I know this love won't fail
I need a knight in shining armor to say
""Hey hey, be my fairytale""

It's been hard to admit but I'm falling apart
Catch every piece of me
And place me in your heart

Hard to admit but I'm falling apart
Catch every piece of me
And place me in your heart

I need a knight in shining armor to say
(I'll be your knight in shining armor to say)
Knight in shining armor
(Knight in shining armor)
Knight in shining armor to say

Be my fairytale, make this ship set sail
You're the real love I've been hoping for
Be my fairytale, I know this love won't fail
I'll be your knight in shining armor to say
""Hey, hey, be my fairytale""

Oh... Be my fairytale

Can you be my fairytale?
Can you make this ship set sail?
My mind is left in wonder
As I fix you in my gaze
"
"""Happily Ever After""",Moira Dela Torre,"""Moira""","

When reality is better than your dreams
That is exactly what I feel when you look at me
When heaven's gate to open just for me
That's exactly what I feel when you're next to me
And now the wait is over
And now I stare at you in wonder

Who could've thought it's always been you
It's been you all this time
No I can't believe that you're mine
Who could've thought that fairytales were true
Cause here I am with you
About to say I do
To happily ever after with you

When reality is better than my dreams
When there's nothing else to dream
When my dream is next to me
When loving you is like catching a falling stars
Baby you're catching my heart and letting me fall into your arms
I can't believe the wait is over
And now I stand and loving you forever

Who could've thought it's always been you
It's been you all this time
No I can't believe that you're mine
Who could've thought that fairytales were true
Cause here I am with you
About to say I do
To happily ever after with you

I'm giving up and trying not to love you
I'm saying yes to happily ever after with you
I've fallen in love a thousand times
Over and over again
And I can't believe it's me who gets to love you too
My best friend

Who could've thought it's always been you
It's been you all this time
No I can't believe that you're mine
Who could've thought that fairytales were true
Cause here I am with you
About to say I do
To happily ever after with you
"
"""If You Tell Me You Love Me""",Moira Dela Torre,"""Moira""","

Been staring at my toes
All day long
I failed to catch my head
I'm trapped in a love song
The words I love you
Seem to just get by
I failed to catch my head
From reaching cloud nine

Can you tell me what to do?
Tell me how to be without you
When you and I are falling

If you tell me you love me
Make sure you'll fight for me
Be sure you'll wait for me
Don't leave me in a corner in tears
If you tell me you love me
Make sure you'll fight for me
Be sure you're ready
To be here in the battle with me
Don't give up on me
If you tell me you love me

Been trying to catch my breath
It's just been too long
Erasing memories
I trapped in that love song
I've heard I love you
Followed by goodbyes
Erasing memories
Cause I need to fight

Can you tell me what to do?
Baby how can I unlove you?
When you and I are falling

If you tell me you love me
Make sure you'll fight for me
Be sure you'll wait for me
Don't leave me in a corner in tears
If you tell me you love me
Make sure you'll fight for me
Be sure you're ready
To be here in the battle with me
Don't give up on me

Don't even make a sound
If you won't be around too long
Babe can you hear my song?
Don't ever leave me alone
Cause I won't leave you

If you tell me you love me
Make sure you'll fight for me
Be sure you'll wait for me
Don't leave me in a corner in tears
If you tell me you love me
Make sure you'll fight for me
Be sure you're ready
To be here in the battle with me
Don't give up on me
If you tell me you love me
If you tell me you love me
If you tell me you love me
"
"""After Your Heart""",Moira Dela Torre,"""Moira""","

Bring me to the highest mountains
Bring me to the widest plains
Fly me to the skies above
I'd still call out Your name
Bring me to the deepest waters
Drive me through the longest roads
Take me away from these shadows
I'd still call out Your name
I'll stand firm and pray

Cause I don't wanna go somewhere else
I wanna run towards You
I don't wanna look away
Cause my eyes are fixed on You
I don't wanna live for someone else
Cause You gave a brand new start
And these feet'll keep on going
I'm after Your heart

Bring me to Your love's chambers
Bring me in Your midst
Bring me to the palm of your hands
Sail me towards the rising sun
Sail me through the rivers run
Spread my wings a wide
And I'll still call out Your Name
I'd stand firm and pray

Cause I don't wanna go somewhere else
I wanna run towards You
I don't wanna look away
Cause my eyes are fixed on You
I don't wanna live for someone else
Cause You gave a brand new start
And these feet'll keep on going
I'm after Your heart

Nothing else can satisfy, I'm after Your heart
To You alone, I give my life, I'm after Your heart
Cause no matter where I go
No matter what I do
These feet were made to run after You
Only You

Cause I don't wanna go somewhere else
I wanna run towards You
I don't wanna look away
Cause my eyes are fixed on You
I don't wanna live for someone else
Cause You gave a brand new start
And these feet'll keep on going
I'm after Your heart
I'm after Your heart...

Bring me to the highest mountains
Bring me to the widest plains
Fly me to the skies above
I'd still call out Your name
"
"""Wala Nang Kulang Pa""",Moira Dela Torre,"""Moira""","

Kulang pa ba na maisip kita
Makilala at makasama ka
Bakit parang sa isip ko
Di ka mawala wala

Ewan ko ba kung bakit
Ikaw lang ang nasa isip
Nahuhulog na naman
Pero hindi mo ko maramdaman
'Kaw lang ang nakikita
Pero di ka maniwala
Nahuhulog na sa iyo
Pero para naman kasing ayaw mo

Pwede bang, ako nalang

Kulang pa ba na maisip kita
Makilala at makasama ka
Bakit parang sa isip ko
Di ka mawala-wala
Iisa lang naman pangarap ko
Baka sakaling mahalin mo rin ako
Di na baling umasa lang sa'yo
Dahil wala ng kulang pa
Kung akin ka na

Paano kaya kung tayo
Simula hanggang sa dulo
Nahuhulog na sa'yo
Pero kasi parang wala lang sa'yo

Pwede bang, ako nalang

Kulang pa ba na maisip kita
Makilala at makasama ka
Bakita parang sa isip ko
'Di ka mawala-wala
Iisa lang naman pangarap ko
Baka sakaling mahalin mo rin ako
'Di na baling umasa lang sa'yo
Pero wala ng kulang pa
Kung akin ka na

Kulang pa ba na maisip kita
Makilala at makasama ka
Bakit parang sa isip ko
'Di ka mawala-wala
Iisa lang naman pangarap ko
Baka sakaling mahalin mo rin ako
'Di na baling umasa lang sa'yo
Pero wala ng kulang pa
Pero wala ng kulang pa
Kung akin ka na
Kung akin ka na
"
"""Stay""",Moira Dela Torre,"""Lost In Translation""","

Stay with me
Come a little bit closer
Please don't leave
I don't even remember
That was it
Trust me I won't hurt you like before

Stop right there
Don't come anymore closer
I don't care
If you've forgotten about her
I'm okay and I won't let you hurt me anymore

Go ahead
I can see if you feel different
Words unsaid
Just created more distance
I'm aware
That maybe I can't have you anymore

Don't you dare
Tell me I'll be it on fire
I'm aware
Oh, I saw what you did there
Game well played
But I won't let you play me anymore

I can find a million reasons
Why you'd wanna walk away
If you know what I've been thinking
Now it's left for me to say
My time on my calendar are counting on the days
I wish I can be easier
I'm sorry I can't (I'm sorry you won't)
Stay
"
"""Planes""",Moira Dela Torre,"""Lost In Translation""","

Soon you'll be
In between heaven and me
Apologies if I seem unwilling
It's hard for me to watch you leave
Distance may make the heart grow fonder
But I'm just trying to keep you longer, to keep you longer

'Cause if I just let you go
Without ever letting you know
It would be hard to keep moving
With all the loose ends we've left unsown

Your gravity is making it hard for me to leave
Recklessly abandoning all that's been known to me
Distance may make the heart grow fonder
But I'm just trying to keep you longer
Even if I'm not sure it'll make us stronger

'Cause if I just let you go
Without ever letting you know
It would be hard to keep moving
With all the loose ends we've left unsown

Should I try to let you know
How it kills me that you let me go
Baby, it's hard to keep waiting
With all the feelings we've left unknown

My head is in the clouds, now, so are you
I left my heart on the ground along with you
This space is creeping in and I don't know what to do
Now, let this love take flight
Take me back, take me back to you

'Cause if I just let you go
Without ever letting you know
It would be hard to keep moving
With all the loose ends we've left unsown

Should I try to let you know
How it kills me that you let me go
Baby, it's hard to keep waiting
With all the feelings we've left unknown

'Cause if I just let you go
Without ever letting you know
It would be hard to keep moving
With all the loose ends we've left unsown
"
"""Lost In Translation""",Moira Dela Torre,"""Lost In Translation""","

Hush now, don't say a word
Will I ever be heard?
Or will we just drown each other out?
Hold me, till all I can
Here is both of us breathing
Or will we just tire each other out?

The silence is killing me
Say something won't you please
Close enough but don't hear a thing
Words escaping I wish there was a way for me to read your mind

Cause I hear what you're trying to say
Tryna make conversation but we're lost in translation
Here we are stuck in a grave
Tryna find a solution, do you think maybe we've reached the end
We've reached the end

Keep still, let it sink in
Tell me what it is you're thinking
Maybe we're running out of time
Hold fast, maybe we can
Understand what we've been feeling
I wish I could somehow read your mind

The silence is killing me
Say something won't you please
Close enough but don't hear a thing
Words escaping I wish there was a way for me to read your mind

Cause I hear what you're trying to say
Tryna make conversation but we're lost in translation
Here we are stuck in a grave
Tryna find a solution, do you think maybe we've reached the end
We've reached the end
"
"""Goodnight My Love""",Moira Dela Torre,"""Lost In Translation""","

Goodnight my love, know I love you
Someday in time I'll get to hold you
Inside my arms it's long over due
Goodbye my love, I'll see you soon

Heavens got you safe and sound
Though you're not here right now
I'm beginning to tear at the seams
A moments all that we're allowed
Is it okay to let go
Now do I know how

Goodnight my love, know I love you
Someday in time I'll get to hold you
Inside my arms it's long over due
Goodbye my love, I'll see you soon
Goodbye my love, I'll see you soon
"
