Song,Artist,Album,Lyrics
"""Para-Paraan""",Nadine Lustre,"""Nadine Lustre""","

Para-Paraan, Para-Paraan
Para para lang, Para para lang [3x]

Napapatingin, Napapakilig
Madalas sa iyo napapatitig
Tuwing dumadaan, napapagaan
Araw na punong-puno ng kaguluhan

[Pre-Chorus:]
Oh hihikain yata ang tinamaang bata
Para lang sa sulyap mo ako'y mamamanata

[Chorus:]
Para-Paraan, Para-Paraan
Para para lang, Para para lang
Makasilay lang, makasilay lang
Makasilay lang sayo
Para-Paraan, Para-Paraan
Para para lang, Para para lang
Makasimple lang, makasimple lang
Makasimple lang sayo

Kinokontyaba na lahat ng kabarkada
Napapansin mo bang dalas makasalubong ka
Kahit na magpigil ako ay nang-gigigil
Ano pa bang magagawa ikaw ay feel na feel

[Pre-Chorus]

[Chorus]

Ano pa bang magagawa
Para ako`y iyong mapansin
Sana makita mong
Ako`y para sayo
At ika`y para sakin

Ano pa bang magagawa
Para ako`y iyong mapansin
Sana makita mong
Ako`y para sayo
At ika`y para sakin

[Chorus]
"
"""Bahala Na""",Nadine Lustre,"""Nadine Lustre""","

Bahala Na

Na na na na na...
Whoa...
Na na na na na...

Naniniwala na ako sa forever
Magmula nung nakilala kita
Eh kaya nga 'di ako sumu-render
Ano man ang sinasabi nila

Pagkat sa 'yo natagpuan ang ipinagkait sa akin
At sa 'yo naramdaman ang hindi ko akalaing
Ipaglalaban ko

[Chorus:]
Na na na na na na
Na na na na na
Wala na kong paki basta, bahala na
Na na na na na na
Na na na na na
Alam ko lang kasi minamahal kita
At kahit pa sabihin na
Sa 'kin 'di ka itinadhana
Na na na na na na
Na na na na na
Mahal kita kasi kaya bahala na

Ikaw yung bida na prinsesa ng drama
Ikaw yung action star na leading man
Parang pelikula 'pag tayo nagsama
Ang umekstra 'di pagbibigyan

Pagkat sa 'yo natagpuan ang ipinagkait sa akin
At sa 'yo naramdaman ang hindi ko akalaing
Ipaglalaban ko

[Repeat Chorus]

Bahala na
Kahit 'di pa tayo ganon ka sigurado
Isusugal ang ating puso bahala na
Kahit may tumutol 'di na mapuputol
Ang pag-ibig ko sa 'yo
Pagkat sa 'yo natagpuan ang ipinagkait sa akin
At sa 'yo naramdaman ang hindi ko akalaing
Ipaglalaban ko
Yeah...

[Repeat Chorus]
"
"""Mr. Antipatiko""",Nadine Lustre,"""Nadine Lustre""","

Oooh, ooh
oh, oh, ooh
yeah, cmon
Mr. Antipatiko, yeah

Unang beses pa lang ay napahanga na sayo
di maipagkailang malakas ang dating mo
Pero laking gulat sa ugali
oh well, baka sakaling
ikaw'y wala lang sa mood
Kaya ito'y pinalampas ko para di magkagulo
oh bakit ang supla-suplado mo?

Ba, baaa, bakit ba ika'y napaka-antipatiko?
Ah, aaaah, ano ba talaga ang problema mo?
Oh sobrang misteryoso, di mabasa ng diretso
aaminin kong ako'y nahulog na sayo
Tayo'y magtapatan na oh, Mr. Antipatiko

Laging nasa tabi mo, handang tumulong sayo
kaso minsan di ko talaga matantsa ang kakulitan mo
Oh no, ikaw rin pala'y mababaw
isip batang mukhang mamaw
Nakakaaliw ka rin minsan
sadistang maginoo, minsan naman seryoso
Oh bakit ang gulo gulo?

Ba, baaa, bakit ba ika'y napaka-antipatiko?
Ah, aaaah, ano ba talaga ang problema mo?
Oh sobrang misteryoso, di mabasa ng diretso
aaminin kong ako'y nahulog na sayo
Tayo'y magtapatan na oh, Mr. Antipatiko

Parang aso't pusang nagbabangayan
away bati tayong dalawa oh lagi na lang
Oh kelan ba kasi magkakaaminan?
obvious na obvious na, mapride ka laaaang!

Yeah, yeeeah
oooh

Ba, baaa, bakit ba ika'y napaka-antipatiko?
Ah, aaaah, ano ba talaga ang problema mo?
Oh sobrang misteryoso, di mabasa ng diretso
aaminin kong ako'y nahulog na sayo
Tayo'y magtapatan na oh, Mr. Antipatiko

Ba, baaa, bakit ba ika'y napaka-antipatiko?
Ah, aaaah, ano ba talaga ang problema mo?
Oh sobrang misteryoso, di mabasa ng diretso
aaminin kong ako'y nahulog na sayo
Tayo'y magtapatan na oh, Mr. Antipatiko

Ang supla-suplado mo
(oh Mr. Antipatiko)
uuuuh
(oh Mr. Antipatiko)
"
"""Aba Bakit Hindi?""",Nadine Lustre,"""Nadine Lustre""","

Gwapo ka na sana
kaso mga trip mo raw sa buhay medyo kakaiba
Medyo isip bata
At ang kulang na lang magkasungay
'Yan ang sabi nila
Sabi ni 'tay ang lakas naman nitong magyabang
Bakit sino ba yan?
Sabi ni 'Nay
Ba't di na lang si ganito, si ganyan

At kung sino pa man
Ang sabe ko naman (Ano?)
Mahal kita kase (Ano?)
Teka, teka ba't wala akong maisip?
Aba siguro nga (Ay 'to)
Di naman kase (Ako)
Naghahanap ng dahilan pag-umiibig

Aba aba nakapagtataka
Ano nga ba ang nakita ko sa tulad mo
Aba aba nakapagtataka
Basta alam ko lang bigla na lang nahulog sayo
Ang dami nilang hindi makaintindi
At ang tanong nila ay bakit?
Bakit ba? Abay bakit hindi?
Bakit hindi? Bakit hindi?

Ika'y nakakatakot
Sabi daw nila'y masyado kang masungit (sungit)
Lagi kang nakasimangot
Baka bigla na lang mukha mo raw ay mapunit (punit)
Sabi ng tropa bakit daw ako umibig 
sa may tililing ling ling (Siguro nga)
sabi ni kuya baka daw bandang huli ikaw pala ay 

bading ding ding (Hindi naman)

Ang sabe ko naman (Ano?)
Mahal kita kase (Ano?)
Okay lang kahit wala akong maisip?
Aba siguro nga (Ay 'to)
Di naman kase (Ako)
Naghahanap ng dahilan pag-umiibig

Aba aba nakapagtataka
Ano nga ba ang nakita ko sa tulad mo
Aba aba nakapagtataka
Basta alam ko lang bigla na lang nahulog sayo
Ang dami nilang hindi makaintindi
At ang tanong nila ay bakit?
Abay bakit hindi?

Ang sabe ko naman (Ano?)
Mahal kita kase (Ano?)
Di naman kailangan may maisip?
Kahit pa gan'to (gan 'to)
Di naman kase (Ako)
Nagbabasta-basta na lang pag-umiibig

Aba aba nakapagtataka
Ano nga ba ang nakita ko sa tulad mo
Aba aba nakapagtataka
Basta alam ko lang bigla na lang nahulog sayo
Ang dami nilang mga hindi makaintindi
At ang tanong nila ay bakit?
Abay bakit hindi?

Aba aba nakapagtataka
Ano nga ba ang nakita ko sa tulad mo
Aba aba nakapagtataka
Basta alam ko lang bigla na lang nahulog sayo
Ang dami nilang mga hindi makaintindi
At ang tanong nila ay bakit?
Abay bakit hindi?

Aba aba nakapagtataka nakapagtataka nakapagtataka
Aba aba nakapagtataka nakapagtataka nakapagtataka
"
"""Me & You""",Nadine Lustre,"""Nadine Lustre""","

Well I haven't seen you in a while
But I'm still held captive by your smile
Don't you think we deserve another try?
Cause we never really let it go
And your arms still feel like coming home
And maybe we be better off this time?
Lately, my life is like
Keep playing the same day and it never seems to end
But when I look into your eyes you make me feel alive again

Can we disappear?
Can we leave this place?
Can we fly away?
Far away, from here where it's all so new
All we need is me and...
You... ohh... ohhh... ohhh... ohhh...
You... ohh... ohhh... ohhh... ohhh...
You... ohh... ohhh... ohhh... ohhh...
You... ohh... ohhh... ohhh... ohhh
All we need is me and you

Do you still remember the first day?
When you turned your head and look my way?
When you crash landed into my heart,
And I always knew that we would be
Finding a way back eventually and this time,
I hope we never part

Lately, my life is like
Keep playing the same day and it never seems to end
But when I look into your eyes,
You make me feel alive again

Can we disappear?
Can we leave this place?
Can we fly away? far away,
From here where it's all so new
All we need is me and...
You... ohh... ohhh... ohhh...
You... ohh... ohhh... ohhh...
You... ohh... ohhh... ohhh...
You... ohh... ohhh... ohhh... ohhh
All we need is me and you
You... ohh... ohhh.ohhh...
You... ohh... ohhh... ohhh...
You... ohh... ohhh... ohhh...

All we need is me and you
All we need is me and you
Can we disappear? (yeah)
Far away from here
All we need is me and you.
You... ohh... ohhh.ohhh...
You... ohh... ohhh.ohhh...
All we need is me and you
You... ohh... ohhh.ohhh...
You... ohh... ohhh.ohhh...
All we need is me and you

Can we disappear?
Can we leave this place?
Can we fly away? far away,
From here where it's all so new
All we need is me and you
You... ohh... ohhh... ohhh...
You... ohh... ohhh... ohhh...
You... ohh... ohhh... ohhh...
All we need is me and you
"
"""Dance With Danger""",Nadine Lustre,"""Wildest Dreams""","

When the lights go down
And the stars come out
Meet you right here
Don't feel no fear
Let's dance with danger

You were down for the count
But you're not right now
Need you right here
I feel no fear
Let's dance with danger

A promise
It's honest
It's not about the outcome (Let go)

A fire
Ignited
See the me that I've become
Let's go

In darkness
We guided
Look beyond the bright side (Let go)

Ascension
Is starting
You don't wanna fight it
Let's go

Found myself before I lost it all
Distant voices I could hear them call
Learn to see the beauty in it all
Feelings rushing like a waterfall

When the lights go down
And the stars come out
Meet you right here
Don't feel no fear
Let's dance with danger

You were down for the count
But you're not right now
Get ready
Because I'm ready

Found myself before I lost it all
Distant voices I could hear them call
Learn to see the beauty in it all
Feelings rushing like a waterfall
"
"""Ivory""",Nadine Lustre,"""Wildest Dreams""","

You're my lil' rider
You fuel the fire in me
However far away
I'm breathing for your love
You can take me higher
All that I desire in you
You're just like a dream come true

Oh oh oh oh
Oh oh oh oh
Oh oh oh oh

You're just like a dream come true

Oh oh oh oh
Oh oh oh oh
Oh oh oh oh

You're just like a dream come true

You're my lil' rider
You fuel the fire in me
However far away
I'm breathing for your love
You can take me higher
All that I desire in you
You're just like a dream come true

Wake up, know I gotta make that blue
100 for the run then I'm coming back to you
Can't buy time but you can spend it
If I'm spending, I promise you won't forget it
Looking at me like you've seen heaven
If I let you inside, call that a blessing
Lessons on lessons on lessons, you want me to teach you
Ok, on top or underneath you
Both ways, pace a little slowly, take you for a ride

Wear my name out
Like it's out of your control
When we reach the top
Just smile, there's more

You're my lil' rider
You fuel the fire in me
However far away
I'm breathing for your love
You can take me higher
All that I desire in you
You're just like a dream come true

Tell me all the secrets that you keep
In your arms you know you're safe with me

Confide just a little bit
Let's try and make sense of it
This whole heart that I listen with

I hear all the things you don't say
These hands need no guidance, love your way
I need your love
Your love, your trust
Take me all the way

You're my lil' rider
You fuel the fire in me
However far away
I'm breathing for your love
You can take me higher
All that I desire in you
You're just like a dream come true
(Take me higher!)

Oh oh oh oh
Oh oh oh oh
Oh oh oh oh

You're just like a dream come true

Oh oh oh oh
Oh oh oh oh
Oh oh oh oh

You're just like a dream come true
"
"""Seconds""",Nadine Lustre,"""Wildest Dreams""","

(You)
You're the one for me
I'm the only one for you
So baby is it cool? Yeah
Baby is it cool?
Baby is it cool? Yeah

Boy I'm thinking 'bout you again
How you make a daydream feel so good
It's like I got you under my skin
Don't need my permission just come through

Ever had a feeling that's so true?
You're coming back for seconds, you know I want to
Kinda clear we both want the same thing
Relax enjoy the ride, yeah

You're the one for me
I'm the only one for you
So baby is it cool? Yeah
Baby is it cool?
Baby is it cool? Yeah

Hey
If it's not too late, we can get right back to it
Wait
No, it's not too late, your beautiful eyes like honey
I'm burning up inside
Why don't you call me up?
Go on and hit me up
Come on and hit me up
Make this telephone ring
Make my hotline bling
You wanna hear me sing
Come on and make me sing

You're the one for me
I'm the only one for you
So baby is it cool? Yeah
Baby is it cool?
Baby is it cool? Yeah

You're the one for me
I'm the only one for you
So baby is it cool? Yeah
Baby is it cool?
Baby is it cool? Yeah

What's on your mind?
Not crossing lines
Just tell me

Slow it down
It's time to see things clearly
Ooh
Ooh
Baby, you're the only one for me
Yeah!

You're the one for me
I'm the only one for you
So baby is it cool? Yeah
Baby is it cool?
Baby is it cool? Yeah

You're the one for me
I'm the only one for you
So baby is it cool? Yeah
Baby is it cool?
Baby is it cool? Yeah
"
"""Intoxicated""",Nadine Lustre,"""Wildest Dreams""","

Let's just turn things up a notch
I don't really wanna stop

Let's just turn things up a notch
I don't really wanna stop

Let's just turn things up a notch
I don't really wanna stop

Let's just turn things up a notch
I don't really wanna stop

You made me drink too much
Don't wanna think too much
I'm in the bank too much
I never gave two fucks bout you

Kitty girl come out to play
Alter ego takes the stage
Tell the devil not today

Get the fuck out of my way
Swear you better not delay
Tonight we make the great escape

Couple o' bottles of wine
Hustling dollars, I'm wired
Can you keep up with my high?
Can you keep up with my high?
Yes

Let's just turn things up a notch
I don't really wanna stop

Let's just turn things up a notch
I don't really wanna stop

Let's just turn things up a notch
I don't really wanna stop

Let's just turn things up a notch
I don't really wanna stop

Intoxicated got me feeling high
Read between the lines
Make me feel alive
Make me feel

Finally got my pradas dirty
All night we gone
We gone oh oh

Body on me stimulated
Good night we gone
We gone ohh oh oh

Couple bottles of wine
Hustling dollars I'm wired
Can you keep up with my high
Can you keep up with my high

Let's just turn things up a notch
I don't really wanna stop

Let's just turn things up a notch
I don't really wanna stop

Let's just turn things up a notch
I don't really wanna stop

Let's just turn things up a notch
I don't really wanna stop

Intoxicated got me feeling high
Read between the lines
Make me feel alive
Make me feel

Intoxicated got me feeling high
Read between the lines
Make me feel alive
Make me feel

Intoxicated got me feeling (Yes)
I don't really wanna stop (Yes)

Intoxicated got me feeling (Yes)
I don't really wanna stop (Yes)

I don't really wanna stop
"
"""Complicated Love""",Nadine Lustre,"""Wildest Dreams""","

Let me love you baby, baby
Let me love you baby, baby
Let me touch you
Let me touch you freely, baby

I don't want a complicated love
I don't want a complicated love
I don't want a complicated love
I don't want a complicated love

I just can't help it
I don't wanna be with no one else
But when I'm with you I'm not myself

I'm sick of the tension
Starting the drama, pick a fight
But after all the shit you're always right

I'm in for the pleasure
I'm in it for the pain
I dive too deep
Always thought I was clever yeah

Take my money and run
But before everyone
Bad boy with a gun
All for the fun
See the sunrise

Let me love you baby, baby
Let me love you baby, baby (Love)
Let me touch you
Let me touch you freely, baby

I don't want a complicated love
I don't want a complicated love
I don't want a complicated love
I don't want a complicated love

(Yeah)
Let's keep it simple
I keep you grounded, lift me up your feet then down I pick you up
You're all I think of
When you're around the sun is up
When lights go out you know what's up

I don't wanna call you mine, yeah
Don't wanna draw a line, yeah
I'll let you reach new heights, yeah
We don't got time for fighting
Make you feel good inside, yeah
We know how to optimize it
No need to compromise when we're like this

This feeling's so visceral
My love's unconditional
Ooh ooh
Ooh ah

Love

Let me love you
Let me love you baby, baby
Let me touch you
Let me touch you freely, baby
Baby

I don't want a complicated love
I don't want a complicated love
I don't want a complicated love
I don't want a complicated love
"
