Song,Artist,Album,Lyrics
"""Pagkakataon""",Ogie Alcasid,"""Ogie Alcasid""","

Hindi ko magawang limutin ka
At ang ating nakaraan
Umaasa pa ring magbabalik
Sa akin ang pag-ibig nasa'n ka nasa'n ka

Pagkakataon ang aking hinihiling
Na sana'y madama muli ang pag-ibig
Pagkakataon mapatunayan ko
Na para lang sa 'yo ang pag-ibig ko

Masdan mo ang matang lumuluha
At ang pusong nagdurusa
Sa bawa't sandali nalulumbay
At nais kong mayakap ka
Minsan pa minsan pa

Pagkakataon ang aking hinihiling
Na sana'y madama muli ang pag-ibig
Pagkakataon mapatunayan ko
Na para lang sa 'yo ang pag-ibig ko

Pagkakataon ang aking hinihiling
Na sana'y madama muli ang pag-ibig
Pagkakataon mapatunayan ko
Na para lang sa 'yo ang pag-ibig ko

Pagkakataon ang aking hinihiling
Na sana'y madama muli ang pag-ibig
Pagkakataon mapatunayan ko
Na para lang sa 'yo ang pag-ibig ko
"
"""Nandito Ako""",Ogie Alcasid,"""Ogie Alcasid""","

Mayro'n akong nais malaman
Maaari bang magtanong?
Alam mo bang matagal na kitang iniibig?
Matagal na akong naghihintay

Ngunit mayro'n kang ibang minamahal
Kung kaya't ako'y di mo pinapansin
Ngunit ganon pa man nais kong malaman mo
Ang puso kong ito'y para lang sa 'yo

Nandito ako umiibig sa iyo
Kahit na nagdurugo ang puso
Kung sakaling iwanan ka niya
Huwag kang mag-alala
May nagmamahal sa iyo,
Nandito ako

Kung ako ay iyong iibigin
Di kailangan ang mangamba
Pagkat ako ay para mong alipin
Sa iyo lang wala ng iba

Ngunit mayro'n ka ng ibang minamahal
Kung kaya't ako'y di o pinapansin
Ngunit ganon pa man nais kong malaman mo
Ang puso kong ito'y para lang sa 'yo

Nandito ako umiibig sa iyo
Kahit na nagdurugo ang puso
Kung sakaling iwanan ka niya
Huwag kang mag-alala
May nagmamahal sa iyo,
Nandito ako

Nandito ako umiibig sa iyo
Kahit na nagdurugo ang puso
Kung sakaling iwanan ka niya
Huwag kang mag-alala
May nagmamahal sa iyo,
Nandito ako

Nandito ako...
"
"""Pangako (Duet Version)""",Ogie Alcasid,"""Ogie Alcasid""","

Ah, ah-ah-ah-ah-ah
Da-la-la, la-la-la-la, la-la-la-la

Bakit ba may lungkot sa 'yong mga mata?
Ako kaya'y 'di nais makapiling, sinta?
'Di mo ba pansin, ako sa 'yo'y may pagtingin?
Sana ang tinig ko'y iyong dinggin

Ako ngayo'y hindi mapalagay
'Pagkat ang puso ko'y nalulumbay
Sana ay pagkaingatan mo ito
At tandaan mo ang isang pangako

Pangako, hindi kita iiwan
Pangako, 'di mo pababayaan
Pangako, hindi ka na mag-iisa
Pangakong magmula ngayo'y
Tayong dal'wa ang magkasama

Da-la-la, la-la-la-la, la-la-la-la

Ano itong nadarama ko?
Ako kaya'y nahuhulog, umiibig na sa 'yo?
Sa tuwing kasama ka'y anong ligaya
Sana sa akin ay magtiwala

Kung tunay man ang nadarama mo
Mayro'n akong nais malaman mo
Ang aking puso ay iyong-iyo
'Wag sanang lumimot sa pangako

Pangako, hindi kita iiwan
Pangako, 'di mo pababayaan
Pangako, hindi ka na mag-iisa
Pangakong magmula ngayo'y
Tayong dalawa, tayong dal'wa

Pangako, hindi kita iiwan
Pangako, 'di mo pababayaan
Pangako, hindi ka na mag-iisa
Pangakong magmula ngayo'y
Tayong dalawa ang magkasama

Pangako
Pangako
"
"""Sa Kanya""",Ogie Alcasid,"""Ogie Alcasid""","

Namulat ako at ngayo'y nag-iisa
Pagkatapos ng ulan
Bagama't nakalipas na ang mga sandali
Ay nagmumuni kung ako'y nagwagi
Pinipilit mang sabihin na ito'y wala sa akin
Ngunit bakit hanggang ngayon, nagdurugo pa rin

Sa kanya pa rin babalik sigaw, ng damdamin
Sa kanya pa rin sasaya bulong ng puso ko
Kung buhay pa ang alaala ng ating nakaraan
Ang pagmamahal at panahon alay pa rin sa kanya

At sa hatinggabi ay nag-iisa na lang
Ay minamasdan ang larawan mo
At ngayo'y bumalik nang siya'y kapiling pa
Alaala ng buong magdamag
Kung sakali man isipin na ito'y wala sa akin
Sana'y dinggin ang tinig kong nag-iisa pa rin

Sa kanya pa rin babalik sigaw, ng damdamin
Sa kanya pa rin sasaya bulong ng puso ko
Kung buhay pa ang alaala ng ating nakaraan
Ang pagmamahal at panahon alay pa rin sa kanya

Sa kanya pa rin babalik sigaw, ng damdamin
Sa kanya pa rin sasaya bulong ng puso ko
Kung buhay pa ang alaala ng ating nakaraan
Ang pagmamahal at panahon
Ang pagmamahal at panahon alay pa rin
Sa kanya, sa kanya, sa kanya, ooh
Sa kanya
"
"""Dito Sa Puso Ko""",Ogie Alcasid,"""Ogie Alcasid""","

Dito dito sa puso ko
Dito dito sa puso ko

Ikaw ang nagbigay ng buhay
Sa mundo kong wala nang kulay
Ako sa 'yo ay tila ganyan din
At iisa ang ating puso't damdamin
Tayo tayong nagsimula nito
Sana'y umapaw pa ang pagsuyo
O giliw kay saya
Tanggal aking kaba kapag kapiling ka

Dito dito sa puso ko
Pag-ibig ko'y hindi na maglalaho
Huwag sanang mag-alala sinta
Damdamin ko'y hindi na magbabago
Dito dito sa puso ko
Pag-ibig ko'y hindi na maglalaho
Huwag sanang mag-alala sinta
Damdamin ko'y hindi na magbabago

Ano ano ba ang nangyari
Ika'y nagtatampo't hindi ka nagsasabi
Bakit ba ang lambing mo'y kulang
Sa akin ay nag-aalinlangan
'Di ba sa 'yo'y nasabi na
Ikaw ang irog ko't ako'y iyung-iyo
O giliw kaysaya
Tanggal aking kaba kapag kapiling ka

Dito dito sa puso ko
Pag-ibig ko'y hindi na maglalaho
Huwag sanang mag-alala sinta
Damdamin ko'y hindi na magbabago
Dito dito sa puso ko
Pag-ibig ko'y hindi na maglalaho
Huwag sanang mag-alala sinta
Damdamin ko'y hindi na magbabago

Tayo tayong nagsimula nito
Sana'y umapaw pa ang pagsuyo
O giliw kay saya
Tanggal aking kaba kapag kapiling ka

Dito dito sa puso ko
Pag-ibig ko'y hindi na maglalaho
Huwag sanang mag-alala sinta
Damdamin ko'y hindi na magbabago
[Repeat till fade]
"
"""Tell Me Why""",Ogie Alcasid,"""Ogie Alcasid""","

Didn't know exactly what was going on
Didn't feel that love so right was going wrong
All the time I thought the world is made for you and me
Now, there's something in between the past and what was meant to be

Was it me or something that I didn't say
Was it you or something that we didn't do
Is there a chance for us to talk it over
Heard you make up your mind
Is there a place within your heart that can still be mine

Tell me why did it have to end this way
Tell me why did you have to go away
Was it hard for you to see
Exactly how much you mean to me
Tell me why was it hard for you to love me

Ta-la-la-la-la-la-la-la-la-la

Was it me or something that I didn't say
Was it you or something that we didn't do
Is there a chance for us to talk it over
Heard you make up your mind
Is there a place within your heart that can still be mine

Tell me why did it have to end this way
Tell me why did you have to go away
Was it hard for you to see
Exactly how much you mean to me
Tell me why was it hard for you to love me

Tell me why did it have to end this way
Tell me why did you have to go away
Was it hard for you to see
Exactly how much you mean to me
Tell me why was it hard for you to love me

Ta-la-la-la-la-la-la-la-la-la
"
"""Ako'y Iyong-Iyo""",Ogie Alcasid,"""Ogie Alcasid""","

Akoy iyong iyo

Ilang beses na akong sumapit
Tuwing itoy sumasapit
Mauubos ang mga palusot ko
Irog akoy nagsisisi
Wag nang mabusisi
Peksman ako ay magbabago

Batid ko ang kasalanan patawad na hirang
Di bat tayoy nagsumpaan tungo natin simbahan

Tapusin na natin ang mga tampuhan
Na tiyak iyong maaasahan

Akoy iyong iyo
Wag mo na sanang pahirapan ang damdamin ko
Sana akoy pakinggan mo
Pagkat di na mauulit ang panloloko
Akoy iyong iyo
Wag mo na sanang pahirapan ang puso ko
Sana akoy pakinggan mo
Pagkat di na mauulit ang panloloko

Ngayon akoy napapagod
At walang mga bisyo
Kung di magpaalipin sayo
Tanging ikaw ang ligaya
Dulot moy pag-asa
At sakin sadyang wala ng iba

Magmula sa ngayon ako ay nangangako
Di bibigyan ng pansin o tingin ang tawag ng tukso

Tapusin na natin ang mga tampuhan
Na tiyak iyong maaasahan

Akoy iyong iyo
Wag mo na sanang pahirapan ang damdamin ko
Sana akoy pakinggan mo
Pagkat di na mauulit ang panloloko
Akoy iyong iyo
Wag mo na sanang pahirapan ang puso ko
Sana akoy pakinggan mo
Pagkat di na mauulit ang panloloko

Magmula sa ngayon ako ay nangangako
Di bibigyan ng pansin o tingin ang tawag ng tukso

Tapusin na natin ang mga tampuhan
Na tiyak iyong maaasahan

Akoy iyong iyo
Wag mo na sanang pahirapan ang damdamin ko
Sana akoy pakinggan mo
Pagkat di na mauulit ang panloloko
Akoy iyong iyo
Wag mo na sanang pahirapan ang puso ko
Sana akoy pakinggan mo
Pagkat di na mauulit ang panloloko
[Repeat until fade]
"
"""Peksman""",Ogie Alcasid,"""Ogie Alcasid""","

Hindi na ba mapipigil ang pagdurusa kong ito
Wala na kayang katapusan ang paghahabol ko sa 'yo
Hindi mo ba ako pagbibigyan na ika'y makilala man lang
Heto na 'kong halos magkandarapa
Sa pagka-KSP bigay todo lang

Sadya bang walang pagtingin ka sa 'kin
O di mo lang ako pansin
Pagka't nagsusumigaw ang puso ko
Sana ito'y malaman mo

'Di bola yan, peksman... ma-dedbol man sige lang
Ikaw ang syang pangarap ko
Tanging inaasam na ika'y makamtan
Ang dinarasal ng aking puso
'Wag na sanang mag-alinlangan sa 'kin
Pagka't ako'y sobrang nabibitin
Laging langit na lang 'pag ika'y kapiling
Giliw ko ako'y iyong dinggin

Damdamin ko ba'y iyong nilalaro at kunwari'y 'di nabibisto
Na nais mo lang ang ako'y pahirapan, ang pasensya ko'y sinusubukan
Tanggapin mo pa rin ang aking pag-alay pagkat't ika'y sadyang walang kapantay
Dulot mo'y kasiyahan, langit ang hangganan
Mga araw ko'y tanggal ang lumbay

Ano pa ba ang dapat gawin giliw ko
Sana'y tanggapin mo na ang aking pag-samo
Pagka't nagsusumigaw ang puso ko
Sana ito'y malaman mo

'Di bola yan, peksman... ma-dedbol man sige lang
Ikaw ang syang pangarap ko
Tanging inaasam na ika'y makamtan
Ang dinarasal ng aking puso
'Wag na sanang mag-alinlangan sa 'kin
Pagka't ako'y sobrang nabibitin
Laging langit na lang 'pag ika'y kapiling
Giliw ko ako'y iyong dinggin

'Di bola yan, peksman... ma-dedbol man sige lang
Ikaw ang syang pangarap ko
Tanging inaasam na ika'y makamtan
Ang dinarasal ng aking puso
'Wag na sanang mag-alinlangan sa 'kin
Pagka't ako'y sobrang nabibitin
Laging langit na lang 'pag ika'y kapiling
Giliw ko ako'y iyong dinggin

'Di bola yan, peksman... ma-dedbol man sige lang
Ikaw ang syang pangarap ko
Tanging inaasam na ika'y makamtan
Ang dinarasal ng aking puso
'Wag na sanang mag-alinlangan sa 'kin
Pagka't ako'y sobrang nabibitin
Laging langit na lang 'pag ika'y kapiling
Giliw ko ako'y iyong dinggin

'Di bola yan, peksman...
'Di bola yan
'Di bola yan, peksman...

'Di bola yan, peksman...
'Di bola yan
'Di bola yan, peksman...
"
"""Ngayon Na""",Ogie Alcasid,"""Ogie Alcasid""","

Kay tagal nang
Naiwang mag-isa
Na 'di nadarama
May isang nagmamahal
Hanggang sa ika'y
Biglang natagpuan
Noon din naramdaman
Ikaw na ang sagot sa 'king dasal

Ngunit bakit ganito
Kung kailan ka mahal at kapiling na
Kaba ko'y 'di maitago
Takot nang umibig pa

Ngayon na ba
Ang pagkakataon kong minimithi
Ngayon na ba
Kasiyahan ba'y di lang sandali
Ngayon na
Pag-ibig ba ay ating kakampi
O masasaktan lang ba ako
Muli

Makakaya pa bang
Turuan ang pusong
Kay tagal nang sarado
Mabubuksan pa ba ito
Giliw ko, nasa 'yo
Ang tanging pag-asa
Puso ko'y buhay na
Turuan mong magbago

Alagaan mo sana
Ang pag-ibig kong laan
Kalakip nito'y pangakong
Mabubuhay kailanman
At sana'y

Ngayon na
Ang pagkakataon kong minimithi
Ngayon na
May makakapiling bawat sandali
Ngayon na
Sana pag-ibig ang ating kakampi
'Pagkat 'di ko na makakayang
Masaktan

Ngayon lang muling umibig
At muling nagkapag-asa
Kaya't sana'y ngayon na
Ngayon na

Ngayon na
Sana pag-ibig ang ating kakampi
'Pagkat 'di ko na makakayang
'Di ko na makakaya
'Di ko na makakaya
Masaktang muli

Ngayon na
Ngayon na
Ngayon na
"
"""Never Let You Go""",Ogie Alcasid,"""Ogie Alcasid""","

Now, listen to this
Aww!

Didn't know what to say or do
Didn't make it clear how much I feel for you
Didn't think there would come a time
That we could work it out and you'd be mine

I do all the things I've said
Didn't think you would understand
Just how much you really mean to me

This time, I'll never, ne'er go let you go babe
Ne'er go leave you
Never, ne'er go let you go
This time, I'll never, ne'er go let you go babe
Ne'er go leave you
Never, ne'er go let you go

Was it hard for you to know
That I what I bet for you was no show
Wasn't it easy for you to see things up clearly
When I really meant the things I said

What's that I'm supposed to do
To make you feel that my love is true
Oh, there could be no other girl but you

This time, I'll never, ne'er go let you go babe
Ne'er go leave you
Never, ne'er go let you go
This time, I'll never, ne'er go let you go babe
Ne'er go leave you
Never, ne'er go let you go

Never, never, never, never, never, never go let you go
(Never, never, never, never, never, never go let you go)
Never go let you go

Never, ne'er go let you go babe
Ne'er go leave you (This time, I'll never)
Never, ne'er go let you go
Never, ne'er go let you go babe
(Never, never, never never, 'cause I will never, 'cause I will never)
Ne'er go leave you
Never, ne'er go let you go
(Never, never, never never, never, never let you go this time)

This time, I'll never, ne'er go let you go babe
(Never, never, never, never, never go let you go)
Ne'er go leave you
Never, ne'er go let you go (Never gonna let you)
This time, I'll never, ne'er go let you go babe
(Never, never, never, never, never go let you go)
Ne'er go leave you
Never, ne'er go let you go (Never gonna let you)

Never, never, never, never
'Cause I would never, never, never, never
Never, never, never, never
Never, never, never, never let you go

This time, I'll never, ne'er go let you go babe
(Never, never, never, never, never go let you go)
Wooh (Never gonna let you)
This time, I'll never, ne'er go let you go babe
(Never, never, never, never, never go let you go)
Ne'er go leave you
Never, ne'er go let you go (Never gonna let you)
"
