Song,Artist,Album,Lyrics
"""Say Forever""",Rico Blanco,"""Your Universe""","

I'm at the central station
Without a destination, baby it's true, it's true
A million miles from nowhere
Tryin' to get to somewhere, baby with you, with you

Let's go outside stand by my side, say forever
You'll always be the one for me, say forever
I'm always there the one who cares, say forever

Let's go outside stand by my side, say forever
You'll always be the one for me, say forever
I'm always there the one who cares, say forever

Doin' a hundred ninety
The autobahn she loves me more than you do, if you do
Big city life conundrum
Trying to keep myself from fallin' for you, for you

Let's go outside stand by my side, say forever
You'll always be the one for me, say forever
I'm always there the one who cares, say forever

Let's go outside stand by my side, say forever
You'll always be the one for me, say forever
I'm always there the one who cares, say forever

I'm in my final verse and
The situations worse I dunno what to do, do you?
From Marrakesh to Hong Kong
The one thing I want from this world is you, it's true

Let's go outside stand by my side, say forever
You'll always be the one for me, say forever
I'm always there the one who cares, say forever

Let's go outside stand by my side, say forever
You'll always be the one for me, say forever
I'm always there the one who cares, say forever

I'm always there the one who cares, say forever...
"
"""Your Universe""",Rico Blanco,"""Your Universe""","

Tell me something
When the rain falls on my face
How do you quickly replace it with
A golden summer smile?

Tell me something
When I'm feelin' tired and afraid
How do you know just what to say to make
Everything alright?

I don't think that you even realize
The joy you make me feel when I'm inside
Your universe
You hold me like I'm the one who's precious
I hate to break it to you but its just
The other way around
You can thank your stars all you want but
I'll always be the lucky one

Tell me something
When I'm 'bout to lose control
How do you patiently hold my hand
And gently calm me down?

Tell me something
When you sing and when you laugh
Why do I always photograph my heart
Flyin' way above the clouds?

I don't think that you even realize
The joy you make me feel when I'm inside
Your universe
You hold me like I'm the one who's precious
I hate to break it to you but its just
The other way around
You can thank your stars all you want but
I'll always be the lucky one
...
"
"""Yugto""",Rico Blanco,"""Your Universe""","

Sa gitna ng kagubatan may ahas na hahalik
Tatawagin kang kaibigan na pinaka matalik
Pupulupot sa leeg mo't sisipsip ng iyong dugo
Ipapako ka sa krus kapag ikaw ay natuyo

Sa gitna ng kaguluhan may kumukulong bulkan
Di ma pigil ang yabang at sakdal na kasakiman
Susubukang angkinin ang lahat ng hindi kanya
Kung kaya kang paikutin tiyak paiikutin ka

Ngunit hindi nila kayang baliin ang iyong loob
Ang pag-ibig na hawak mo'y hindi malulubog

Lumiyab ka! Lumiyab

Sa gitna ng kadiliman may buwitreng nagmamasid
May magbabato ng putik ngunit walang mayayanig
Iiyak ang mga batang nahulugan ng candy
Lahat ng mga problema sa iba'y sinisisi

Sa gitna ng kagubatan may ahas na hahalik
Itinuring mong kaibigan na pinaka matalik
Leeg mo'y pupuluputan dugo mo'y sisipsipin
Kapag wala ka nang pakinabang ang ending mo'y sa bangin

Ngunit hindi nila kayang baliin ang iyong loob
Ang pag-ibig na hawak mo'y hindi malulubog

Lumiyab ka!
Lumiyab
Lumiyab

Tuwing hating gabi maririnig mo ang huni
Ng mga kaluluwang naliligaw
Lahat ng pera sa mundo hindi kayang gawing ginto
Ang huwad na tao...

Ang mga tinig palakas ng palakas
Hanggang gumuho ang mga hadlang
Ang mga tinig palakas ng palakas
Hanggang gumuho ang mga hadlang

Saksi ang langit sa lahat ng naganap
Saksi ang langit sa ikalawang yugto

Lumiyab ka!

Lumiyab ka!
(Sa ngalan ng katotohanan)
Lumiyab ka!
(Sa ngalan ng iyong dangal)
Lumiyab
(Ang puso mo'y iyong isipin)
Lumiyab
(Ialay mo sa may kapal)
"
"""Ayuz""",Rico Blanco,"""Your Universe""","

Wala na tayong mga problema
Tanggal lahat ng ating tinik sa dibdib
Pati arthritis mo'y mawawala
Ayuz na
Ayuz na

At sa mali mo'y may liquid paper
Sa lovelife mong panis, ctrl-alt-delete
Lahat ng biyenan biglang gaganda
Pasipul sipol na lang

Basta't kasama kita
Ayuz na ayuz na ayuz na
Basta't kasama kita
Ayuz na ayuz na ayuz na
Lahat ng hasel ay mawawala
Basta't kasama kita
Ayuz na ayuz na ayuz na

Walang perwisyo, walang bitin
Wala kang tropang dehins boto sa akiin
Pati impyerno ay e-airconan
May sorbetes pa yung pinaka mahal yah

Basta't kasama kita
Ayuz na ayuz na ayuz na
Basta't kasama kita
Ayuz na ayuz na ayuz na
Lahat ng hasel ay mawawala
Basta't kasama kita
Ayuz na ayuz na ayuz na
...
"
"""Helpless""",Rico Blanco,"""Your Universe""","

The morning wakes
I find myself entangled
Envisions of your warm embrace
I pour some coffee
And slowly swirl in memories
Of the night we watched the stars fade into space

I'm addicted to your
Tender kisses and it's keeping me up all night
I didn't expect that I'd be
So affected every time you look me in the eyes
I become so helpless, helpless

Day moves along
The symptoms only aggravate like
Wishing for a passerby
To stop a while
And listen to my story of
How much brighter you've made my life

I'm addicted to your
Tender kisses and it's keeping me up all night
I didn't expect that I'd be
So affected every time you look me in the eyes
I become so helpless, helpless
...
"
"""Start Again""",Rico Blanco,"""Your Universe""","

Is it too late to stop
This pain that I created
From eclipsing the million
Precious things we shared
Is it too late I realized
I've been such a fool
Is it too late I just want

One more chance to hold your hand again
Once more chance to be the one your heart beats for again

If it's okay I'd like
A minute to speak with you
I'm sure that he will understand
Just want to say that you're
The best to ever happen to me
If it's okay I just want

One more chance to be your guiding light
One more chance to be the one who makes things right again

One more chance to paint your brighter days
One more chance to be the reason you're okay

One more chance to kiss you in the dark
One more chance to never-ever be apart
I promise I won't break your heart
Baby please, can we just start again?
"
"""Outta This""",Rico Blanco,"""Your Universe""","

Can anybody hear me?
Can anybody hear me?
I am calling
This mess is getting deeper
This mess is getting deeper
I am sinking
I am sinking

Only you can get me outta this
Only you can get me out of this mess that I'm in
I don't know where to begin
I'm waiting for you
Don't know what to do

The lights get even bleaker
My will gets even weaker
I am fading
I try my best to kill
The emptiness until
My heart stops beating
But I'm not breathing

Only you can get me outta this
Only you can get me out of this mess that I'm in
I don't know where to begin
I'm waiting for you
Don't know what to do

Only you can get me outta this
Only you can get me out of this mess that I'm in
I don't know where to begin
I'm waiting for you
Don't know what to do

Only you can get me outta this
Only you can
...
"
"""Para Hindi Ka Mawala""",Rico Blanco,"""Your Universe""","

Lately parang absent sa iyong matang kislap
Na dati'y automatic kapag ako'y nakikita
Maybe wala ka lang sa mood o 'di kaya
Pagod kaya hindi ko na bini-bring up sa 'yo

Kapag ako ay nangulit
Baka ka lang ma-irita
'Pag nagmakaawa baka ka masuka

Ano bang dapat kong gawin
Ano bang dapat kong gawin
Para hindi ka mawala sa akin
Ano bang dapat kong gawin
Ano bang dapat kong gawin
Para hindi ka mawala
Para hindi ka mawala

Sometimes, medyo nakakinis nga 'ko
Alam ko yan, nagsisikap nga akong magbago
Dahil mahal na mahal na mahal kita
I always pray to God to keep you near
Never ever disappear

'Pag diniscuss ko pa
Ma wi-weird-an ka lang
'Pag nag emote ko
Lalo kang tatabang

Ano bang dapat kong gawin
Ano bang dapat kong gawin
Para hindi ka mawala sa akin
Ano bang dapat kong gawin
Ano bang dapat kong gawin
Para hindi ka mawala
Para hindi ka mawala

Kapag ako ay nangulit
Baka ka lang ma-irita
'Pag nagmakaawa baka ka masuka

Ano bang dapat kong gawin
Ano bang dapat kong gawin
Para hindi ka mawala sa akin
Ano bang dapat kong gawin
Ano bang dapat kong gawin
Para hindi ka mawala
Para hindi ka mawala

Ano bang dapat kong gawin
Ano bang dapat kong gawin
Para hindi ka mawala sa akin
Ano bang dapat kong gawin
Ano bang dapat kong gawin
Para hindi ka mawala
Para hindi ka mawala
"
"""Antukin""",Rico Blanco,"""Your Universe""","

Iniwan ka na ng eroplano
Okay lang baby 'wag kang magbago
Dito ka lang humimbing sa aking piling
Antukin

Kukupkupin na lang kita
Sorry wala ka nang magagawa
Mahalin mo na lang ako
Ng sobra sobra
Para patas naman tayo diba

Sasalubungin natin ang kinabukasan
Ng walang takot at walang pangamba
Tadhana'y merong trip na makapangyarihan
Kung ayaw may dahilan, kung gusto palaging merong paraan

Pinaiyak ka ng manghuhula
Hindi na raw tayo magkasamang tatanda
Buti na lang merong langit na nagtatanggol sa
Pag-ibig na pursigido't matiyaga

Sasalubungin natin ang kinabukasan
Ng walang takot at walang pangamba
Tadhana'y merong trip na makapangyarihan
Kung ayaw may dahilan, kung gusto palaging merong paraan

Long as we stand as one
Anuman ang ating makabangga
Nothing will ever break us
Wala talaga
As in wala

Sasalubungin natin ang kinabukasan
Ng walang takot at walang pangamba
Tadhana'y merong trip na makapangyarihan
Kung ayaw may dahilan, kung gusto hahalikan na lang natin ang kinabukasan
Ng buong loob at yayakapin pa
Tadhana'y medyo over rated kung minsan
Kung ayaw may dahilan, kung gusto palaging merong paraan

Gumawa na lang tayo ng paraan
Gumawa na lang tayo ng
Baby, gumawa na lang tayo ng paraan
"
"""Metropolis""",Rico Blanco,"""Your Universe""","

Big city close your eyes
Your pretty lights that turns like fireflies
Illuminate the starry sky
The gentle wind blows
Through it I send a hymn
A simple melody
To keep you close to me

Sweet, sweet dreams
Sleep tight, good night
Sweet, sweet dreams
Sleep tight, good night

I'm beating in your heart
A little drum
A little song
That's playing on repeat
Until we're in each others' arms again
But until then
I offer you a lullaby
To cross the miles
And kiss you into sleep

Sweet, sweet dreams
Sleep tight, good night
Sweet, sweet dreams
Sleep tight, good night

We'll be together when we close our eyes
We'll be together when we close our eyes
We'll be together
We'll be together in our

Sweet, sweet dreams
Sleep tight, good night
Sweet, sweet dreams
Sleep tight, good night

We'll be together when we close our eyes
We'll be together when we close our eyes
"
"""Kahit Walang Sabihin""",Rico Blanco,"""Your Universe""","

Muling kakagat
Ang hating gabi
Magigising
Ang panaginip
Bawat mithing naidlip
Daliang babangon

Kahit walang sabihin
Maririnig ang damdamin
Naghihimagsik
na dugo at laman
Sa ilalim ng buwan

Muling haplusin
Apoy ng katawan
Marahang ipikit
Ang iyong kamalayan
Bawat patak ng dugo
Muling aalon

Kahit walang aminin
Madarama sa hangin
Ang tibok ng pusong
May pagibig na
Higit sa walang hanggan

Kahit walang sabihin
Maririnig ang damdamin
Naghihimagsik
na dugo at laman
Sa ilalim ng buwan

Kahit walang aminin
Madarama sa hangin
Ang tibok ng pusong
May pagibig na
Higit sa walang hanggan

Hanggang
Naghihimagsik
na dugo at laman
Sa ilalim ng buwan
"
"""Amats""",Rico Blanco,"""Galactik Fiestamatik""","

Hindi ko alam kung ano ang sasabihin
Tuwing ika'y napapadaan
Hindi ko alam kung anong tumama sakin
Ngayun lang ito naramdaman

Sa unang ngiti pag-ibig
Sa unang sulyap walang hanggang kaligayahan
Sa panaginip akin ka
Obvious naman di ba ang amats ko sa 'yo kakaiba

Kelan kaya makakamit ang aking
Pangarap na mahawakan ka
At kelan kaya ang pagdampi ng labi
Sa buhay kong lo batt sa saya

Sa unang ngiti pag-ibig
Sa unang sulyap walang hanggang kaligayahan
Sa panaginip akin ka
Obvious naman di ba ang amats ko sa 'yo kakaiba

Sa unang ngiti pag-ibig
Sa unang sulyap walang hanggang kaligayahan
Sa panaginip akin ka
Obvious naman di ba ang amats ko sa 'yo kakaiba
"
"""Burado""",Rico Blanco,"""Galactik Fiestamatik""","

Wala na sa USB
Wala na sa Phonebook, Inbox at Sent Items
Wala na sa PC
Sa album at sa profile pics, wala rin

Burado
Sigurado
Burado
Sigurado

Wala na sa wallet
Wala sa bawat sulok ng apartment
Wala sa kalsada
Sa sinehan, sa restaurant, wala na

Burado
Sigurado
Burado
Sigurado
...
"
"""Lipat Bahay""",Rico Blanco,"""Galactik Fiestamatik""","

(Mga basura pilit pinagkakasya
Sa mga kahong bagong bili)
Mga basura pilit pinagkakasya
Sa mga kahong bagong bili
Lumang plaka, T-shirt na pangkampanya
Mga regalong matagal nang di pinapansin
Plastik na bulaklak, bote ng alak
Pager, thermometer, poster ni Dominique Wilkins

Lipat bahay
Bagong buhay
Lipat bahay
Bagong buhay

Makinilya, encyclopedia
Kobre kama na Return of The Jedi
Bala ng Family Comm
Step knot, Carpet, Majong
Circus CD na pinapirma ko sa Heads noon

Lipat bahay
Bagong buhay
Lipat bahay
Bagong buhay

Hindi ko
Yata kayang iwanan ka.. iwanan ka
...
"
"""When The Wheels Turn""",Rico Blanco,"""Galactik Fiestamatik""","

I'm waiting in the corner of the sun
Collapsin' in the weight of what we've done
Outside I see the silence of your dreams
Inside a little shadow of what seems to have been

And there's no way of knowing
When all these heartlights will return
And there's no way were fallin'
When the wheels turn

You take a sip from their cup of advice
Your enervated heart scattered the dice
Now all we built just feels like a mistake
The love we had before has turned to hate, to hate

And there's no way of knowing
When all these heartlights will return
And there's no way were fallin'
When the wheels turn

And in the distant silence
No pain, no sorrow will forgive
And I am left to wonder, ""have I wronged you?""
Until the summer wakes up
I will be laughing through my pain
There'll be no words of wisdom
When the wheels turn
When the wheels turn
When the wheels turn
"
"""Sayaw""",Rico Blanco,"""Galactik Fiestamatik""","

Kung ang problema mo'y hindi maubos ubos
Parang walang patid ang 'yong sakit ng ulo
Ba't 'di mo patayin lahat ng mga ilaw
Marahang ipikit ang iyong mga mata

Sayaw...

'Wag mong pigilan ang kembot mo hayaan mo silang tumitig
Wala kang pakialam
Isuko mo'ng lahat sa awitin, mga pabigat na damdamin
Ang puso mo'y palayain

Sayaw...

Kung ang problema mo'y hindi maubos ubos
Parang walang patid ang 'yong sakit ng ulo
Ba't 'di mo patayin lahat ng mga ilaw
Marahang ipikit ang iyong mga mata

Sayaw...
"
